teamID,varnum,Decision,Confidence,Similar,agrees_majority,actual_map_r
50GV,1,1,10,9,0,0.7191266401339713
9Q6R,1,1,10,10,0,0.7251981892764217
O21U,1,0,8,3,1,0.5092125023576719
U26C,1,0,8,6,1,0.7410488770556369
43FJ,1,0,3,5,1,0.555150374770163
C88N,1,0,7,4,1,0.697916677058023
4TQ6,1,0,7,8,1,-0.3832045163130908
T54A,1,1,5,5,0,0.6844412201900248
2T6S,1,1,8,7,0,0.6976188237328087
L7J7,1,1,10,10,0,0.744250495451051
0JO0,1,1,7,7,0,0.5708918106057822
X1Y5,1,0,6,4,1,0.6598616529514904
51PW,1,0,8,8,1,0.5722794130244974
6VV2,1,0,8,6,1,0.6448334979544253
O6R6,1,0,8,4,1,0.2808324025592107
C22U,1,1,8,9,0,0.6987635379281076
3PQ2,1,1,9,9,0,0.5672840945650756
UK24,1,0,4,5,1,-0.3696460292827948
4SZ2,1,0,7,7,1,0.1582345282813551
9T8E,1,0,5,4,1,-0.0365441827200659
94GU,1,0,8,8,1,0.5547853590779821
I52Y,1,0,8,5,1,0.7114648353005213
5G9K,1,0,7,7,1,
2T7P,1,0,8,5,1,0.6515770787680395
UI76,1,0,10,8,1,0.6619709896411339
B5I6,1,1,10,10,0,0.7360308128178754
V55J,1,1,4,3,0,0.5866538337575613
X19V,1,0,6,3,1,0.7007647283967264
0C7Q,1,0,7,9,1,0.7025283779799516
R5K7,1,1,6,5,0,0.4474117428755073
0I4U,1,0,4,5,1,0.6282627465575318
3C6G,1,1,6,7,0,0.7237574097419336
R9K3,1,1,5,7,0,0.7167222037873228
O03M,1,0,3,7,1,0.4496189369579934
08MQ,1,1,8,8,0,0.593423711365241
80GC,1,1,9,8,0,-0.2262167637115417
J7F9,1,0,9,8,1,0.7122067323733396
R7D1,1,1,4,8,0,0.6933758150298055
Q58J,1,0,9,9,1,-0.3044871427161688
L3V8,1,0,9,6,1,0.7283754686306158
SM54,1,0,5,5,1,0.4547292377708349
1KB2,1,0,6,6,1,0.5216359600464776
0H5E,1,0,4,6,1,0.6515770787680396
P5F3,1,1,3,2,0,-0.1835382380451976
Q6O0,1,0,7,6,1,0.7558752153781648
R42Q,1,0,5,5,1,0.2448676046450439
L9G5,1,1,5,7,0,0.0883235342533294
DC61,1,0,5,8,1,0.6660038739879262
E3B6,1,0,3,7,1,0.7339513864511313
16IN,1,1,8,9,0,
46CD,1,1,9,9,0,0.6844412201900248
6FH5,1,1,9,8,0,0.7425758303512735
K9P0,1,1,10,10,0,0.7090346383604849
9U7M,1,0,7,7,1,0.694479248676475
VG39,1,0,6,5,1,
1K0E,1,1,7,8,0,
X1Z4,1,1,8,9,0,
I9D6,1,0,7,6,1,0.5672840945650754
E6R3,1,0,5,3,1,0.6856365562728144
27SS,1,0,4,4,1,0.6813674030188116
B23O,1,0,6,5,1,0.4115938748256262
AO86,1,0,7,3,1,0.4612336939935846
L1A8,1,1,8,8,0,
IZ20,1,0,7,8,1,-0.2695358571852877
3TR7,1,0,2,3,1,0.7705645579223589
98BT,1,1,9,8,0,0.718116990696436
XU70,1,0,4,4,1,0.0584257811024767
0ED6,1,0,7,6,1,0.4145838891901672
I07H,1,0,3,3,1,0.1585327967927964
1P0Y,1,0,8,8,1,-0.1780098793383146
50GV,2,0,10,7,1,0.738637750016565
9Q6R,2,1,10,8,0,0.7188646323839926
O21U,2,0,8,5,1,0.7290639207681737
U26C,2,0,8,6,1,0.7440467988199517
43FJ,2,0,3,5,1,0.6595319688260997
C88N,2,0,8,7,1,0.6489360510107767
4TQ6,2,0,9,10,1,-0.0226338576534715
T54A,2,1,9,9,0,0.2720971200598253
2T6S,2,0,9,8,1,0.7468509754752553
L7J7,2,0,9,9,1,0.7500654323289829
0JO0,2,0,5,5,1,0.458975285281105
X1Y5,2,0,6,4,1,0.7270033222290521
51PW,2,0,8,8,1,0.5517260694152483
6VV2,2,0,8,9,1,0.6506405277325964
O6R6,2,1,8,4,0,0.2340132134856794
C22U,2,0,7,9,1,0.6595319688260998
3PQ2,2,0,8,5,1,0.5445613508919821
UK24,2,0,4,5,1,0.3705028263566642
4SZ2,2,1,5,5,0,0.3465640288656818
9T8E,2,0,5,4,1,0.6244599841253615
94GU,2,0,8,8,1,0.4979292991227407
I52Y,2,0,8,5,1,0.6924199768541008
5G9K,2,0,7,7,1,
2T7P,2,0,8,5,1,0.6564650748284993
UI76,2,1,6,5,0,0.6399308303712028
B5I6,2,1,10,8,0,0.73272290839491
V55J,2,0,5,4,1,0.6334492684447357
X19V,2,0,7,6,1,0.7072235498718875
0C7Q,2,0,7,8,1,0.7145764195612786
R5K7,2,0,8,7,1,0.4478026534944554
0I4U,2,0,7,7,1,0.6026843813672973
3C6G,2,0,7,7,1,0.7300932301731248
R9K3,2,1,3,4,0,0.7201831983472347
O03M,2,0,8,8,1,0.4116176421201981
08MQ,2,0,6,5,1,0.6516268554560634
80GC,2,1,9,8,0,0.2068354523235734
J7F9,2,0,8,7,1,0.7076759071089744
R7D1,2,0,7,7,1,0.6822780002313562
Q58J,2,0,9,9,1,0.343255468466599
L3V8,2,0,9,9,1,0.7154088297384094
SM54,2,0,9,5,1,0.5404983721842879
1KB2,2,0,6,6,1,0.611820324860836
0H5E,2,0,7,7,1,0.662650931810693
P5F3,2,0,5,5,1,0.4601684015069895
Q6O0,2,0,8,7,1,0.7664489092301111
R42Q,2,0,5,5,1,0.3521685837234846
L9G5,2,1,4,7,0,0.3050098343719286
DC61,2,1,1,5,0,0.6911375383733033
E3B6,2,1,7,7,0,0.2333856497523763
16IN,2,0,7,7,1,
46CD,2,0,8,8,1,0.6847154138702263
6FH5,2,0,2,8,1,0.7546013076234617
K9P0,2,0,10,7,1,0.6976647020355151
9U7M,2,1,9,9,0,0.6880751803327054
VG39,2,0,7,5,1,
1K0E,2,0,9,8,1,
X1Z4,2,1,6,8,0,
I9D6,2,0,7,6,1,0.566144618435482
E6R3,2,1,5,6,0,0.6675856491923807
27SS,2,0,6,5,1,0.633724170894333
B23O,2,0,6,5,1,0.3963401791172579
AO86,2,0,7,3,1,0.6343815882147239
L1A8,2,0,5,5,1,
IZ20,2,0,7,8,1,0.2395022065529726
3TR7,2,0,2,3,1,0.7641401421902086
98BT,2,1,7,6,0,0.7317130107798719
XU70,2,0,5,5,1,0.4254004227334022
0ED6,2,0,9,8,1,0.4294147003474124
I07H,2,0,3,3,1,0.4458793524537464
1P0Y,2,0,8,8,1,0.6263439071572166
50GV,3,1,10,7,0,
9Q6R,3,1,10,8,0,
O21U,3,0,8,3,1,
U26C,3,0,8,6,1,
43FJ,3,0,5,3,1,
C88N,3,0,7,5,1,
4TQ6,3,1,10,10,0,
T54A,3,0,2,7,1,
2T6S,3,1,6,3,0,
L7J7,3,0,9,9,1,
0JO0,3,0,5,5,1,
X1Y5,3,0,7,6,1,
51PW,3,0,8,8,1,
6VV2,3,0,8,7,1,
O6R6,3,0,8,4,1,
C22U,3,1,5,7,0,
3PQ2,3,0,7,6,1,
UK24,3,0,4,5,1,
4SZ2,3,0,6,6,1,
9T8E,3,0,5,4,1,
94GU,3,0,8,8,1,
I52Y,3,0,8,6,1,
5G9K,3,0,7,7,1,
2T7P,3,0,8,5,1,
UI76,3,0,10,8,1,
B5I6,3,0,5,5,1,
V55J,3,0,7,7,1,
X19V,3,0,8,6,1,
0C7Q,3,0,8,8,1,
R5K7,3,1,8,7,0,
0I4U,3,0,6,6,1,
3C6G,3,0,7,7,1,
R9K3,3,0,2,2,1,
O03M,3,0,8,7,1,
08MQ,3,1,8,8,0,
80GC,3,0,8,6,1,
J7F9,3,0,9,9,1,
R7D1,3,0,5,3,1,
Q58J,3,1,9,9,0,
L3V8,3,0,9,9,1,
SM54,3,0,5,5,1,
1KB2,3,0,8,8,1,
0H5E,3,0,7,7,1,
P5F3,3,1,7,6,0,
Q6O0,3,0,8,8,1,
R42Q,3,1,6,5,0,
L9G5,3,1,4,7,0,
DC61,3,0,5,8,1,
E3B6,3,0,6,6,1,
16IN,3,0,6,5,1,
46CD,3,1,5,4,0,
6FH5,3,0,8,8,1,
K9P0,3,0,10,7,1,
9U7M,3,0,9,9,1,
VG39,3,1,8,8,0,
1K0E,3,1,6,5,0,
X1Z4,3,0,4,7,1,
I9D6,3,0,7,5,1,
E6R3,3,0,7,3,1,
27SS,3,0,7,7,1,
B23O,3,0,7,6,1,
AO86,3,0,7,4,1,
L1A8,3,0,7,7,1,
IZ20,3,1,7,8,0,
3TR7,3,0,3,4,1,
98BT,3,0,7,6,1,
XU70,3,1,8,7,0,
0ED6,3,0,8,6,1,
I07H,3,0,3,3,1,
1P0Y,3,0,1,1,1,
50GV,4,1,10,8,0,
9Q6R,4,1,10,8,0,
O21U,4,1,8,7,0,
U26C,4,0,8,6,1,
43FJ,4,0,5,3,1,
C88N,4,0,4,3,1,
4TQ6,4,1,9,9,0,
T54A,4,1,6,6,0,
2T6S,4,0,6,3,1,
L7J7,4,1,5,6,0,
0JO0,4,0,5,5,1,
X1Y5,4,0,7,6,1,
51PW,4,1,8,8,0,
6VV2,4,0,6,5,1,
O6R6,4,0,8,4,1,
C22U,4,0,8,7,1,
3PQ2,4,0,7,5,1,
UK24,4,0,4,5,1,
4SZ2,4,1,6,5,0,
9T8E,4,0,5,4,1,
94GU,4,0,8,8,1,
I52Y,4,0,8,6,1,
5G9K,4,0,7,7,1,
2T7P,4,0,8,5,1,
UI76,4,0,10,8,1,
B5I6,4,0,5,5,1,
V55J,4,0,7,7,1,
X19V,4,0,5,3,1,
0C7Q,4,0,8,8,1,
R5K7,4,1,7,6,0,
0I4U,4,0,8,8,1,
3C6G,4,1,5,4,0,
R9K3,4,1,5,5,0,
O03M,4,0,2,7,1,
08MQ,4,0,6,5,1,
80GC,4,0,4,5,1,
J7F9,4,0,7,5,1,
R7D1,4,0,5,4,1,
Q58J,4,1,9,9,0,
L3V8,4,0,9,9,1,
SM54,4,0,8,5,1,
1KB2,4,0,8,8,1,
0H5E,4,1,6,5,0,
P5F3,4,1,7,9,0,
Q6O0,4,0,9,9,1,
R42Q,4,1,6,5,0,
L9G5,4,1,6,5,0,
DC61,4,1,2,5,0,
E3B6,4,0,6,6,1,
16IN,4,0,6,5,1,
46CD,4,0,8,7,1,
6FH5,4,0,8,8,1,
K9P0,4,0,5,5,1,
9U7M,4,1,9,9,0,
VG39,4,1,8,8,0,
1K0E,4,0,6,5,1,
