teamID,1,2,3,4,5,6,7,8,9
4SZ2,7,5,6,6,9,9,7,8,7
1K0E,7,9,6,6,8,7,7,6,9
R42Q,5,5,6,6,6,6,7,8,8
Q58J,9,9,9,9,9,9,9,9,9
L1A8,8,5,7,7,8,8,3,8,3
50GV,10,10,10,10,10,10,10,10,10
T54A,5,9,2,6,9,9,5,5,5
R9K3,5,3,2,5,8,5,3,4,5
P5F3,3,5,7,7,4,4,6,6,7
IZ20,7,7,7,7,7,7,7,6,6
9Q6R,10,10,10,10,10,10,8,8,8
XU70,4,5,8,9,9,9,6,8,8
80GC,9,9,8,4,3,9,6,5,4
C22U,8,7,5,8,9,8,8,8,8
E6R3,5,5,7,3,4,4,7,7,7
L9G5,5,4,4,6,10,10,9,9,7
2T6S,8,9,6,6,10,9,7,8,10
R5K7,6,8,8,7,9,7,8,8,7
98BT,9,7,7,8,9,7,8,8,8
L7J7,10,9,9,5,8,8,8,9,8
O21U,8,8,8,8,8,8,8,8,8
UI76,10,6,10,10,10,6,10,10,5
E3B6,3,7,6,6,8,8,7,7,7
DC61,5,1,5,2,9,5,5,5,5
VG39,6,7,8,8,10,7,9,6,5
B5I6,10,10,5,5,10,6,8,7,6
X1Z4,8,6,4,4,9,5,4,4,4
9U7M,7,9,9,9,9,7,9,7,7
08MQ,8,6,8,6,7,7,7,7,6
3C6G,6,7,7,5,8,8,8,8,8
46CD,9,8,5,8,9,8,9,9,5
1P0Y,8,8,1,1,8,8,5,5,5
43FJ,3,3,5,5,10,10,10,10,10
R7D1,4,7,5,5,9,5,8,9,8
16IN,8,7,6,6,8,7,8,6,6
6FH5,9,2,8,8,10,8,8,9,9
0H5E,4,7,7,6,8,5,8,7,1
V55J,4,5,7,7,4,7,5,7,7
51PW,8,8,8,8,8,8,6,6,7
4TQ6,7,9,10,9,7,8,10,10,9
I07H,3,3,3,3,9,9,9,9,9
3PQ2,9,8,7,7,7,8,8,8,7
L3V8,9,9,9,9,9,9,9,9,9
K9P0,10,10,10,5,10,8,9,9,10
SM54,5,9,5,8,8,6,8,8,8
O03M,3,8,8,2,8,7,7,7,7
0JO0,7,5,5,5,5,5,5,5,5
Q6O0,7,8,8,9,9,8,8,6,7
0I4U,4,7,6,8,9,9,9,9,9
X19V,6,7,8,5,9,6,9,9,9
X1Y5,6,6,7,7,8,6,8,8,8
0ED6,7,9,8,7,8,8,9,9,6
U26C,8,8,8,8,10,8,8,8,9
C88N,7,8,7,4,9,7,8,8,6
27SS,4,6,7,7,7,7,6,8,4
O6R6,8,8,8,8,8,8,8,8,8
94GU,8,8,8,8,8,8,8,8,8
3TR7,2,2,3,4,8,5,8,6,5
J7F9,9,8,9,7,9,7,9,9,9
I52Y,8,8,8,8,8,8,8,8,8
0C7Q,7,7,8,8,8,7,10,10,9
6VV2,8,8,8,6,9,7,8,7,6
B23O,6,6,7,7,8,7,6,6,8
AO86,7,7,7,7,7,7,7,7,7
2T7P,8,8,8,8,8,8,8,8,8
1KB2,6,6,8,8,5,5,8,8,7
I9D6,7,7,7,7,1,7,7,6,7
UK24,4,4,4,4,4,4,4,4,4
5G9K,7,7,7,7,7,7,7,7,7
9T8E,5,5,5,5,5,5,5,5,4
