teamID,fwhm,package,fmriprep,testing,movement_modeling
4SZ2,6.65,FSL,Yes,P,No
1K0E,,Other,No,NP,Yes
R42Q,12.73,Other,No,P,Yes
Q58J,16.24,FSL,No,P,No
L1A8,,SPM,No,P,Yes
50GV,10.26,FSL,Yes,P,No
T54A,12.28,FSL,Yes,NP,No
R9K3,11.77,SPM,Yes,P,Yes
P5F3,12.94,FSL,No,P,Yes
IZ20,21.28,Other,No,P,No
9Q6R,10.28,FSL,No,P,Yes
XU70,7.17,FSL,No,P,Yes
80GC,4.02,AFNI,Yes,P,Yes
C22U,11.16,FSL,No,P,No
E6R3,9.28,Other,Yes,Other,Yes
L9G5,7.22,FSL,No,P,No
2T6S,14.93,SPM,Yes,P,Yes
R5K7,12.06,SPM,No,P,Yes
98BT,11.48,SPM,No,P,Yes
L7J7,11.76,SPM,Yes,P,Yes
O21U,8.26,FSL,Yes,P,Yes
UI76,6.60,AFNI,Yes,P,Yes
E3B6,12.80,SPM,Yes,P,Yes
DC61,9.58,SPM,Yes,P,Yes
VG39,,SPM,Yes,P,No
B5I6,9.84,FSL,Yes,NP,Yes
X1Z4,,Other,No,NP,Yes
9U7M,14.78,Other,No,P,Yes
08MQ,13.14,FSL,No,NP,Yes
3C6G,14.26,SPM,No,P,Yes
46CD,10.92,Other,No,P,Yes
1P0Y,9.13,SPM,No,P,No
43FJ,10.66,FSL,No,P,Yes
R7D1,8.93,Other,Yes,NP,Yes
16IN,,Other,Yes,Other,No
6FH5,12.22,SPM,No,P,Yes
0H5E,14.17,SPM,No,P,No
V55J,12.85,SPM,No,P,No
51PW,11.15,FSL,Yes,P,Yes
4TQ6,14.88,FSL,Yes,NP,No
I07H,5.59,Other,Yes,NP,No
3PQ2,5.79,FSL,No,P,Yes
L3V8,14.74,SPM,No,P,No
K9P0,8.05,AFNI,Yes,P,Yes
SM54,7.05,Other,Yes,P,Yes
O03M,3.47,AFNI,Yes,NP,Yes
0JO0,8.12,Other,Yes,P,Yes
Q6O0,14.58,SPM,Yes,P,Yes
0I4U,8.69,SPM,No,P,Yes
X19V,8.48,FSL,Yes,P,Yes
X1Y5,8.69,Other,Yes,NP,Yes
0ED6,7.86,SPM,No,P,Yes
U26C,10.38,SPM,Yes,P,Yes
C88N,11.62,SPM,Yes,P,No
27SS,11.37,AFNI,No,P,Yes
O6R6,3.06,FSL,Yes,NP,No
94GU,11.19,SPM,No,P,Yes
3TR7,17.40,SPM,Yes,P,Yes
J7F9,14.88,SPM,Yes,P,Yes
I52Y,11.42,FSL,No,NP,Yes
0C7Q,8.68,Other,Yes,NP,Yes
6VV2,7.20,AFNI,No,P,Yes
B23O,3.32,FSL,Yes,NP,No
AO86,7.49,Other,Yes,NP,Yes
2T7P,7.66,Other,No,Other,Yes
1KB2,13.06,FSL,No,P,Yes
I9D6,6.21,AFNI,No,P,Yes
UK24,10.76,SPM,No,P,No
5G9K,,SPM,Yes,P,Yes
9T8E,9.85,SPM,Yes,NP,Yes
