,Task
hyp1_cluster1,-0.3890756684137776
hyp1_cluster2,0.8677301081232063
hyp1_cluster3,0.26051363435365543
hyp2_cluster1,0.26949290714342594
hyp2_cluster2,0.22317515063325422
hyp2_cluster3,0.859259080600034
hyp5_cluster1,-0.7795371339197308
hyp5_cluster2,-0.47639661471369227
hyp5_cluster3,0.6644510817715705
hyp6_cluster1,-0.26203564141769975
hyp6_cluster2,-0.8454627460876538
hyp6_cluster3,0.47735630120524053
hyp7_cluster1,0.7228066669600384
hyp7_cluster2,0.7698736409109719
hyp7_cluster3,0.18902618288154555
hyp8_cluster1,0.2547344869848089
hyp8_cluster2,0.8180766224925441
hyp8_cluster3,0.1620975453312576
hyp9_cluster1,-0.5615733370596748
hyp9_cluster2,0.5402668751644715
hyp9_cluster3,-0.14847780176791453
