,Task,Gain,Loss
hyp1_cluster1,-0.32196019894550193,0.08420178145522204,0.09772460595093152
hyp1_cluster2,0.7664169630350209,0.1203783522378421,-0.20497317807036539
hyp1_cluster3,0.2713439609191298,0.10463551341421058,-0.015101614650579492
hyp2_cluster1,0.270454786726913,0.2208686255256429,0.16894752631602963
hyp2_cluster2,0.22868854393127036,0.1896413622738405,0.18506152970787101
hyp2_cluster3,0.7659167076978383,0.10567624767852742,-0.20634967308690338
hyp5_cluster1,-0.6743715014556039,-0.12754689932900684,0.18731017643912232
hyp5_cluster2,-0.45208011284168315,-0.07284368670272058,0.1278108851803667
hyp5_cluster3,0.5549213908677622,0.1438421030292162,-0.14497006249839142
hyp6_cluster1,-0.2210492321866004,-0.005353100235744022,0.22622677110258324
hyp6_cluster2,-0.7592776417086247,-0.05455230717733992,0.25688894170970017
hyp6_cluster3,0.35128120259841017,0.07620407109654724,-0.2125048654031564
hyp7_cluster1,0.6146039530230896,0.13636294693815526,-0.16161770699138195
hyp7_cluster2,0.6864090164768684,0.09009658205045182,-0.20415005699920827
hyp7_cluster3,0.10336395324465278,-0.04028447000635811,-0.07243221573013013
hyp8_cluster1,0.21424427257108355,-0.004840676364111886,-0.23427413879345627
hyp8_cluster2,0.7196857503065142,0.06300656588004155,-0.2663669429162352
hyp8_cluster3,0.264076871935813,0.04358856140097837,0.07630829210235866
hyp9_cluster1,-0.4922921967108073,-0.13714555218678998,0.02669470925990891
hyp9_cluster2,0.4599403172001842,0.1130380599195122,-0.04916516845765015
hyp9_cluster3,0.017430640701690123,0.008750041469908454,0.10940063672069787
