teamID,hyp1,hyp2,hyp5,hyp6,hyp7,hyp8,hyp9
50GV,1,1,1,1,1,1,1
9Q6R,1,1,1,1,1,1,1
O21U,1,1,1,1,1,1,1
U26C,1,1,3,3,1,1,1
43FJ,1,1,1,2,1,2,2
C88N,1,1,1,1,1,1,1
4TQ6,2,3,1,2,2,2,1
T54A,1,2,2,3,2,3,3
2T6S,1,1,2,3,3,1,1
L7J7,1,1,1,1,1,1,2
0JO0,1,2,2,1,2,2,2
X1Y5,1,1,2,1,2,1,1
51PW,1,2,1,1,2,2,1
6VV2,1,1,1,1,1,1,1
O6R6,3,2,2,1,3,3,3
C22U,1,1,1,1,1,1,1
3PQ2,1,1,2,1,2,1,1
UK24,2,3,3,3,3,2,3
4SZ2,3,2,2,2,2,2,1
9T8E,3,1,2,1,3,2,3
94GU,1,2,1,1,2,2,1
I52Y,1,1,1,1,1,1,1
2T7P,1,1,2,1,2,1,1
UI76,1,1,2,1,2,1,1
B5I6,1,1,1,1,1,1,1
V55J,1,1,1,1,1,1,1
X19V,1,1,1,1,1,1,1
0C7Q,1,1,1,1,1,1,1
R5K7,1,2,2,1,2,2,1
0I4U,1,1,1,1,2,1,1
3C6G,1,1,1,1,1,1,1
R9K3,1,1,1,1,1,1,1
O03M,1,2,2,1,2,2,1
08MQ,1,1,1,1,1,1,1
80GC,2,3,2,2,2,2,3
J7F9,1,1,1,1,1,1,1
R7D1,1,1,1,1,1,1,1
Q58J,2,3,1,2,2,2,1
L3V8,1,1,1,1,1,1,1
SM54,1,1,1,1,2,2,2
1KB2,1,1,1,1,1,2,1
0H5E,1,1,1,1,1,1,1
P5F3,2,3,1,2,2,2,2
Q6O0,1,1,1,1,1,1,1
R42Q,3,2,1,2,3,3,1
L9G5,3,2,2,2,3,2,1
DC61,1,1,2,1,3,3,1
E3B6,1,2,1,2,1,2,3
46CD,1,1,1,1,1,1,2
6FH5,1,1,1,1,1,1,1
K9P0,1,1,1,1,1,1,2
9U7M,1,1,1,1,1,1,1
I9D6,1,1,2,1,2,1,1
E6R3,1,1,1,1,1,1,1
27SS,1,1,2,1,2,1,2
B23O,1,2,2,1,2,2,1
AO86,1,1,2,1,3,3,3
IZ20,2,3,1,2,2,2,1
3TR7,1,1,1,1,1,1,1
98BT,1,1,1,1,1,1,3
XU70,3,3,1,2,2,2,1
0ED6,1,2,2,1,2,2,1
I07H,3,2,3,3,2,2,1
1P0Y,2,1,1,2,2,2,3
