,teamID,hyp,n_na,n_nonzero
0,08MQ,1,0,221708
1,08MQ,2,0,228483
2,08MQ,3,0,221708
3,08MQ,4,0,228483
4,08MQ,5,0,170168
5,08MQ,6,0,228483
6,08MQ,7,0,220646
7,08MQ,8,0,228483
8,08MQ,9,0,223434
9,0C7Q,1,0,186596
10,0C7Q,2,0,191728
11,0C7Q,3,0,186596
12,0C7Q,4,0,191728
13,0C7Q,5,0,159444
14,0C7Q,6,0,165925
15,0C7Q,7,0,171115
16,0C7Q,8,0,213530
17,0C7Q,9,0,182806
18,0ED6,1,0,228483
19,0ED6,2,0,228178
20,0ED6,3,0,228483
21,0ED6,4,0,228178
22,0ED6,5,0,228458
23,0ED6,6,0,228483
24,0ED6,7,0,228435
25,0ED6,8,0,228470
26,0ED6,9,0,228483
27,0H5E,1,0,228483
28,0H5E,2,0,214300
29,0H5E,3,0,228483
30,0H5E,4,0,214300
31,0H5E,5,0,213920
32,0H5E,6,0,228483
33,0H5E,7,0,207129
34,0H5E,8,0,228483
35,0H5E,9,0,228483
36,0I4U,1,0,228479
37,0I4U,2,0,228389
38,0I4U,3,0,228479
39,0I4U,4,0,228389
40,0I4U,5,0,228446
41,0I4U,6,0,228483
42,0I4U,7,0,228354
43,0I4U,8,0,228483
44,0I4U,9,0,228483
45,0JO0,1,0,223811
46,0JO0,2,0,228483
47,0JO0,3,0,223811
48,0JO0,4,0,228483
49,0JO0,5,0,228483
50,0JO0,6,0,228483
51,0JO0,7,0,228483
52,0JO0,8,0,228483
53,0JO0,9,0,228483
54,16IN,1,0,220238
55,16IN,2,0,228163
56,16IN,3,0,220238
57,16IN,4,0,228163
58,16IN,5,0,227269
59,16IN,6,0,228244
60,16IN,7,0,227269
61,16IN,8,0,228244
62,16IN,9,0,227239
63,1KB2,1,0,228483
64,1KB2,2,0,226690
65,1KB2,3,0,228483
66,1KB2,4,0,226690
67,1KB2,5,0,220615
68,1KB2,6,0,228336
69,1KB2,7,0,219512
70,1KB2,8,0,228483
71,1KB2,9,0,227990
72,1P0Y,1,0,224907
73,1P0Y,2,0,220384
74,1P0Y,3,0,224907
75,1P0Y,4,0,220384
76,1P0Y,5,0,224985
77,1P0Y,6,0,228194
78,1P0Y,7,0,224907
79,1P0Y,8,0,220384
80,1P0Y,9,0,227596
81,27SS,1,0,227467
82,27SS,2,0,224280
83,27SS,3,0,227467
84,27SS,4,0,224280
85,27SS,5,0,223667
86,27SS,6,0,226347
87,27SS,7,0,227654
88,27SS,8,0,228357
89,27SS,9,0,228483
90,2T6S,1,0,223996
91,2T6S,2,0,216632
92,2T6S,3,0,223996
93,2T6S,4,0,216632
94,2T6S,5,0,228483
95,2T6S,6,0,228483
96,2T6S,7,0,228345
97,2T6S,8,0,228162
98,2T6S,9,0,227997
99,3C6G,1,0,227278
100,3C6G,2,0,215631
101,3C6G,3,0,227278
102,3C6G,4,0,215631
103,3C6G,5,0,219536
104,3C6G,6,0,227941
105,3C6G,7,0,217856
106,3C6G,8,0,227596
107,3C6G,9,0,228483
108,3PQ2,1,0,227216
109,3PQ2,2,0,228063
110,3PQ2,3,0,227216
111,3PQ2,4,0,228063
112,3PQ2,5,0,226434
113,3PQ2,6,0,228355
114,3PQ2,7,0,227475
115,3PQ2,8,0,228221
116,3PQ2,9,0,228128
117,3TR7,1,0,228483
118,3TR7,2,0,228280
119,3TR7,3,0,228483
120,3TR7,4,0,228280
121,3TR7,5,0,228192
122,3TR7,6,0,228483
123,3TR7,7,0,227930
124,3TR7,8,0,228483
125,3TR7,9,0,228483
126,43FJ,1,0,228380
127,43FJ,2,0,214641
128,43FJ,3,0,228380
129,43FJ,4,0,214641
130,43FJ,5,0,208956
131,43FJ,6,0,227728
132,43FJ,7,0,211504
133,43FJ,8,0,226401
134,43FJ,9,0,228483
135,46CD,1,0,220073
136,46CD,2,0,223941
137,46CD,3,0,220073
138,46CD,4,0,223941
139,46CD,5,0,228483
140,46CD,6,0,228483
141,46CD,7,0,217135
142,46CD,8,0,227542
143,46CD,9,0,228483
144,4SZ2,1,0,225056
145,4SZ2,2,0,213744
146,4SZ2,3,0,225056
147,4SZ2,4,0,213744
148,4SZ2,5,0,226915
149,4SZ2,6,0,228208
150,4SZ2,7,0,195983
151,4SZ2,8,0,201825
152,4SZ2,9,0,214836
153,4TQ6,1,0,116761
154,4TQ6,2,0,135553
155,4TQ6,3,0,116761
156,4TQ6,4,0,135553
157,4TQ6,5,0,228483
158,4TQ6,6,0,228483
159,4TQ6,7,0,122588
160,4TQ6,8,0,106809
161,4TQ6,9,0,228217
162,50GV,1,0,222822
163,50GV,2,0,206388
164,50GV,3,0,222822
165,50GV,4,0,206388
166,50GV,5,0,205989
167,50GV,6,0,224476
168,50GV,7,0,196493
169,50GV,8,0,225379
170,50GV,9,0,224124
171,51PW,1,0,226022
172,51PW,2,0,211784
173,51PW,3,0,226025
174,51PW,4,0,211784
175,51PW,5,0,215118
176,51PW,6,0,227935
177,51PW,7,0,205124
178,51PW,8,0,228483
179,51PW,9,0,227847
180,5G9K,1,0,228470
181,5G9K,2,0,228483
182,5G9K,3,0,228470
183,5G9K,4,0,228483
184,5G9K,5,0,228483
185,5G9K,6,0,228477
186,5G9K,7,0,228483
187,5G9K,8,0,228483
188,5G9K,9,0,228483
189,6FH5,1,0,226242
190,6FH5,2,0,217445
191,6FH5,3,0,226242
192,6FH5,4,0,217445
193,6FH5,5,0,218771
194,6FH5,6,0,228301
195,6FH5,7,0,216724
196,6FH5,8,0,227346
197,6FH5,9,0,228483
198,6VV2,1,0,228483
199,6VV2,2,0,224973
200,6VV2,3,0,228483
201,6VV2,4,0,224973
202,6VV2,5,0,222307
203,6VV2,6,0,228394
