,median_corr
UK24,0.01795619118130533
9T8E,0.06745156233234066
O6R6,0.19401308852826937
L9G5,0.3103710179205606
80GC,0.3477467456079623
AO86,0.35091167711573185
T54A,0.37115784742577995
DC61,0.37408315057866187
E3B6,0.3791829797077031
I07H,0.3899929942246133
0JO0,0.41701293569878134
1P0Y,0.4535332043475717
R42Q,0.4557566288716706
4SZ2,0.4782147481818633
I9D6,0.4868272973484588
0ED6,0.5100482638019559
SM54,0.5159974436370539
B23O,0.5161555317386135
O03M,0.5383395413323591
R5K7,0.5559958241828683
UI76,0.578933103762633
94GU,0.5840149431278951
IZ20,0.5889317763151938
2T7P,0.5917774138286983
Q58J,0.6032522665835565
4TQ6,0.62295844844764
2T6S,0.6269383316001058
XU70,0.6446729527043633
27SS,0.64625650254062
P5F3,0.6709126372739052
3PQ2,0.6712864361336979
51PW,0.6992561638819202
43FJ,0.7139877688959726
0I4U,0.7451999285183076
X1Y5,0.7557679186663001
1KB2,0.7667429999167309
V55J,0.7763547959992594
6VV2,0.7792961085895704
08MQ,0.7865875301339378
0H5E,0.8063504631611619
C22U,0.8289336122963953
46CD,0.8362957820586856
9U7M,0.8445834002028009
E6R3,0.8446053747374171
I52Y,0.8476214326814662
0C7Q,0.8490634963682612
C88N,0.8551986325072464
R7D1,0.8554405175862395
K9P0,0.8652074599050916
O21U,0.8659560223376784
L3V8,0.8663468858520919
98BT,0.8678048181487408
X19V,0.8708530835765623
9Q6R,0.8780213835568216
J7F9,0.8913072190818246
3C6G,0.8963498291392886
R9K3,0.9020834225213861
B5I6,0.9089890766006664
L7J7,0.9176491814861056
U26C,0.9191341022329169
6FH5,0.9214259888876843
50GV,0.9273864695654488
3TR7,0.9459539786936845
Q6O0,0.9497452926611228
