,08MQ,0C7Q,0ED6,0H5E,0I4U,0JO0,16IN,1KB2,1P0Y,27SS,2T6S,3C6G,3PQ2,3TR7,43FJ,46CD,4SZ2,4TQ6,50GV,51PW,5G9K,6FH5,6VV2,80GC,94GU,98BT,9Q6R,9T8E,9U7M,AO86,B23O,B5I6,C22U,C88N,DC61,E3B6,E6R3,I07H,I52Y,I9D6,IZ20,J7F9,K9P0,L3V8,L7J7,L9G5,O03M,O21U,O6R6,P5F3,Q58J,Q6O0,R42Q,R5K7,R7D1,R9K3,SM54,T54A,U26C,UI76,UK24,V55J,X19V,X1Y5,XU70
08MQ,1.0,0.779200203078566,0.965498527242727,0.9284979626493,0.9662644485585361,0.965699855131454,0.9603865495463557,0.9690480254548478,0.9723524288459098,0.9653803565254307,0.9656823483585212,0.9671923075239733,0.9680807762503119,0.9679013318277508,0.9426303050992852,0.9651308850111386,0.8713120888643794,0.5682304591588871,0.8841445534241059,0.9025748086290883,0.965699855131454,0.9644524975599935,0.9698183234638901,0.9526266724439018,0.9705185943812012,0.965699855131454,0.93954035967665,0.965699855131454,0.878117846841997,0.965699855131454,0.9551564011326882,0.9414179610736904,0.9553489756349488,0.9703479033451067,0.9664132561284647,0.965699855131454,0.9271368110537764,0.5193471724373367,0.9733765750624773,0.965699855131454,0.7923828030969481,0.9651177549314391,0.9706542718714303,0.9408139774075095,0.9613187852050262,0.9483725266212366,0.9570952762349935,0.9328046287907634,0.71577316474311,0.7238656705312868,0.6983407955952959,0.971030667489485,0.8810020876826722,0.9609380128937383,0.9505871333972331,0.9730877133090865,0.9652665625013677,0.9653540963660316,0.9679669822262488,0.965699855131454,0.965699855131454,0.955397119260514,0.9067808108261883,0.9657304919840863,0.7394729586008587
0C7Q,0.779200203078566,1.0,0.749127943873286,0.8198990734540426,0.7494824560251747,0.7489178625980927,0.7436045570129944,0.7854501210155679,0.7640349610255468,0.7525286345154781,0.7495218462642735,0.7921377082758893,0.7533295693771528,0.7513381739560493,0.8147126919727069,0.7905052016999077,0.7948643881601695,0.687368425659677,0.8725506930493735,0.8042173815995063,0.7489178625980927,0.7961380058910291,0.7701316946993868,0.7750073309611656,0.757089148864467,0.7489178625980927,0.8175312824148843,0.7489178625980927,0.8503214681179782,0.7489178625980927,0.7796553791748183,0.8233128941759343,0.8030794413588758,0.7862860694231081,0.7508042173815995,0.7489178625980927,0.8358871338349024,0.6732710967555573,0.7616803000660881,0.7489353693710255,0.7855157714140658,0.796855783581273,0.7718079682077004,0.8210982873999378,0.7975735612715169,0.7515044882989106,0.7770775068604666,0.825623788203061,0.60693793411326,0.8128132071095004,0.7782023170213976,0.7572160729682296,0.725712635075695,0.7528743932809006,0.8135047246403452,0.7730859626317932,0.7713746755776141,0.7559424552373699,0.7516489191756061,0.7489178625980927,0.7489178625980927,0.8081345220432155,0.8525492049736741,0.7502790141936162,0.8164808760389175
0ED6,0.965498527242727,0.749127943873286,1.0,0.9065313393118963,0.9992253252977246,0.9997899187248067,0.9944766131397085,0.960526603729818,0.9841388637229028,0.9961616400344884,0.9991859350586259,0.9532875531221141,0.9953782119457465,0.9973696073668501,0.9256180985018579,0.9501232039145144,0.8576349225106463,0.536468796365594,0.8601208842671009,0.8978523566304714,0.9997899187248067,0.9484294236332681,0.9785060595317814,0.9622685276366294,0.991250990226844,0.9997899187248067,0.9290056590643505,0.9997899187248067,0.8513893812668776,0.9997899187248067,0.9647807495524832,0.9225150229995229,0.9415317550977534,0.9601545848049964,0.9979035639412998,0.9997899187248067,0.9064306753675329,0.48832079410722024,0.9866248254793574,0.9997461517924747,0.7788807044725428,0.9494798300092349,0.9765671844294761,0.9188561074565723,0.9503201551100082,0.9773681192911507,0.9698620903962221,0.9182958907227233,0.7296166454397045,0.6944674220839188,0.6723913814156852,0.9914742015817369,0.9105666504729018,0.9952731713081499,0.9318067427335951,0.9754730111211775,0.9763702332339824,0.9925902583562015,0.9970588621472932,0.9997899187248067,0.9997899187248067,0.932817758870463,0.8865386046226634,0.9984287671292832,0.7110901029835918
0H5E,0.9284979626493,0.8198990734540426,0.9065313393118963,1.0,0.9071046861254448,0.9065400926983627,0.9012267871132644,0.9249615945168788,0.9166677608399749,0.909021677761584,0.9070040221810813,0.9310977184298176,0.9088947536578214,0.9081113255690796,0.9371988287968908,0.931557271219303,0.8588954101618064,0.612920873763037,0.8955195791371787,0.8864729542241655,0.9065400926983627,0.9312290192268133,0.9184665817588179,0.9046274777554566,0.9118052546578957,0.9065400926983627,0.921819128775445,0.9065400926983627,0.9076824096322265,0.9065400926983627,0.9085139813465335,0.9257450226056205,0.9272024614522744,0.9306556724132649,0.9078049570427559,0.9065400926983627,0.9176175032715782,0.5691145511919924,0.915879956058,0.9065575994712954,0.7983307292008596,0.9322269052839818,0.9204142102475895,0.9421138552977684,0.9304499678313047,0.8949899992559621,0.9130526122293562,0.917928248491135,0.6812104182805723,0.7593650293457281,0.7291395858772862,0.9130000919105579,0.8319174730723948,0.906435052060766,0.9264671769890976,0.9221823943138001,0.9137397530669678,0.9080588052502812,0.9082382496728422,0.9065400926983627,0.9065400926983627,0.9338331517005641,0.9084483309480356,0.9076736562457601,0.7698603397189288
0I4U,0.9662644485585361,0.7494824560251747,0.9992253252977246,0.9071046861254448,1.0,0.9994354065729179,0.9941221009878196,0.9612837716591607,0.984887278265779,0.9958071278825996,0.9988314229067371,0.9540534744379232,0.9958290113487656,0.997820406769869,0.9262177054748055,0.9508891252303234,0.8582782964159259,0.5370946634979408,0.860554176897187,0.8980930747582971,0.9994354065729179,0.9490990576979469,0.9789130920024685,0.9627018202667157,0.9920256649291195,0.9994354065729179,0.9294389516944368,0.9994354065729179,0.8517701535781655,0.9994354065729179,0.9646625788351869,0.9230358494942731,0.9422539094812306,0.9609292595072719,0.9979342007939321,0.9994354065729179,0.9071265695916108,0.48870156641850815,0.9873032129305025,0.999391639640586,0.7795065716048897,0.9502457513250439,0.9771842981753566,0.919411947497188,0.9510510628799517,0.9770398672986612,0.9697001527465938,0.9189392646280029,0.7302162524126522,0.6949794951922025,0.6728947011375026,0.9921613424193485,0.9105010000744038,0.9944984966058744,0.9325376505035385,0.9762301790505201,0.977013607139262,0.9922357462043128,0.9973958675262492,0.9994354065729179,0.9994354065729179,0.9335661734133393,0.8870069107986153,0.9980742549773943,0.7115584091595436
0JO0,0.965699855131454,0.7489178625980927,0.9997899187248067,0.9065400926983627,0.9994354065729179,1.0,0.9946866944149018,0.9607366850050113,0.9843489449980961,0.9963717213096817,0.9993960163338191,0.9534888810108411,0.9955882932209399,0.9975796886420434,0.925688125593589,0.9503332851897077,0.8577574699211757,0.5365300700708586,0.859989583470105,0.8977648227658075,1.0,0.9485344642708647,0.9787161408069747,0.9624786089118228,0.9914610715020373,1.0,0.9289443853590857,1.0,0.8512055601510834,1.0,0.9649032969630126,0.9224975162265902,0.9416893160541484,0.9603646660801898,0.9981136452164932,1.0,0.906570729550995,0.48813697299142605,0.9868349067545507,0.999956233067668,0.7789419781778075,0.9496811578979618,0.9767772657046695,0.9188473540701059,0.950495222839336,0.9775782005663441,0.9699758844202852,0.9183746712009209,0.729809219941965,0.6944149017651203,0.6723301077104205,0.9916842828569302,0.910776731748095,0.9950630900329565,0.9320168240087884,0.9756830923963709,0.9765715611227094,0.9928003396313949,0.9972689434224866,1.0,1.0,0.9330015799862572,0.8864598241444659,0.9986388484044765,0.7109938157324615
16IN,0.9603865495463557,0.7436045570129944,0.9944766131397085,0.9012267871132644,0.9941221009878196,0.9946866944149018,1.0,0.9554233794199131,0.9790356394129979,0.9910584157245834,0.9940827107487209,0.9481755754257428,0.9902749876358417,0.9922663830569451,0.9203748200084908,0.9450199796046095,0.8525667117466069,0.5321096099053321,0.8546762778850068,0.892512790885974,0.9946866944149018,0.9432211586857665,0.9734028352218764,0.9571653033267246,0.9861477659169391,0.9946866944149018,0.9236310797739875,0.9946866944149018,0.8458922545659853,0.9946866944149018,0.9595899913779143,0.9171842106414919,0.9363760104690502,0.9550513604950915,0.9928003396313949,0.9946866944149018,0.9012574239658968,0.483007488522122,0.9815216011694524,0.9946429274825698,0.7737687267761715,0.9443678523128636,0.9714639601195713,0.9135340484850076,0.9451819172542377,0.9722999085271115,0.9646625788351869,0.9130613656158226,0.7297041793043684,0.6892066368176188,0.667305663878713,0.9863709772718321,0.9058748353269171,0.9897497844478582,0.9267035184236901,0.9703697868112726,0.9712582555376111,0.9874870340462967,0.9919556378373884,0.9946866944149018,0.9946866944149018,0.927688274401159,0.8811465185593677,0.9933255428193782,0.7056892635338297
1KB2,0.9690480254548478,0.7854501210155679,0.960526603729818,0.9249615945168788,0.9612837716591607,0.9607366850050113,0.9554233794199131,1.0,0.974426981438444,0.9606885413794461,0.9602464953628935,0.9596643951628786,0.9633014272396634,0.9627280804261149,0.9399867823864357,0.9587846798230065,0.873640489664439,0.5754520029936582,0.8898255012407925,0.8999312859162388,0.9607366850050113,0.960592254128316,0.9657129852111536,0.9539221736409274,0.9656867250517543,0.9607366850050113,0.941229763264663,0.9607366850050113,0.8847704205564528,0.9607366850050113,0.9488802230362872,0.9386693977232442,0.9624742322185895,0.9644831344126259,0.9612750182726942,0.9607366850050113,0.932502636957673,0.5262448409728514,0.9643255734562309,0.9606929180726793,0.8008210676505473,0.961021170065169,0.9684396650954338,0.9426084216331193,0.957694883207941,0.9448011449429498,0.9581194224515609,0.9388094519067064,0.7208063619612838,0.7331180000262602,0.708599764533904,0.9651396383976051,0.8830153665699417,0.9574103981477834,0.9502895182573758,0.9673980121059335,0.9695819820292976,0.9585614684681136,0.9626974435734825,0.9607366850050113,0.9607366850050113,0.9568501814139345,0.9120941164112866,0.9593755334094878,0.7483663992507101
1P0Y,0.9723524288459098,0.7640349610255468,0.9841388637229028,0.9166677608399749,0.984887278265779,0.9843489449980961,0.9790356394129979,0.974426981438444,1.0,0.9825938910115851,0.9838149884236465,0.9633014272396634,0.9852505438041342,0.985648822888355,0.9342051706253857,0.9599795170756686,0.864331263157434,0.552146111526897,0.873259717353151,0.8966443892981097,0.9843489449980961,0.9590822949628638,0.9764490137121798,0.961673297356915,0.9863753539650653,0.9843489449980961,0.9350805092720246,0.9843489449980961,0.8659112494146173,0.9843489449980961,0.9564825391823462,0.929377677989172,0.953261292962715,0.9662031748532713,0.9843620750777957,0.9843489449980961,0.9190267984926669,0.5034028789888088,0.983333552167995,0.9843051780657642,0.7885619499043692,0.9594586905809185,0.9771011410039259,0.9315310110599038,0.9571215363943926,0.9644393674802939,0.9653278362066324,0.9294126915350376,0.7312885422547848,0.7099784229023604,0.687140837611551,0.9858457740838487,0.9002376544425624,0.9794120350310527,0.9414442212330896,0.978746777659607,0.9773155989723524,0.9784360324400503,0.9854518716928612,0.9843489449980961,0.9843489449980961,0.9462367003234377,0.8982156221688266,0.9829877934025726,0.7263822691403737
27SS,0.9653803565254307,0.7525286345154781,0.9961616400344884,0.909021677761584,0.9958071278825996,0.9963717213096817,0.9910584157245834,0.9606885413794461,0.9825938910115851,1.0,0.9961879001938875,0.9554977832048774,0.9927653260855294,0.9942840386374479,0.9284935859560668,0.9516419164664329,0.857087835856497,0.5390029017476136,0.863521574909293,0.8996511775493143,0.9963717213096817,0.9510598162664181,0.979735910330309,0.9597519290275426,0.9884980501831646,0.9963717213096817,0.9318636397456266,0.9963717213096817,0.8544399364504143,0.9963717213096817,0.9631832565223671,0.9257231391394546,0.942735345736882,0.9615770101057847,0.9954044721051457,0.9963717213096817,0.9095775178021998,0.4917652516817444,0.985132373086838,0.9963454611502826,0.7777909078574774,0.9517163202513973,0.9782171977783906,0.9215652805679198,0.953239409496549,0.9744576182910764,0.9694287977661358,0.9215740339543861,0.726837445236626,0.6969665139200728,0.6741114218563307,0.9913560308644407,0.9071484530577767,0.9914348113426382,0.9346997369607367,0.9763177129151841,0.9755430382129087,0.9912466135336108,0.9942971687171475,0.9963717213096817,0.9963717213096817,0.9340826232148562,0.8897992410813934,0.9954394856510113,0.7135629346603467
