,teamID,hyp,dhl,volume,resels
0,08MQ,1,0.0162968,228483,283.286
1,08MQ,2,0.0156184,228483,295.591
2,08MQ,3,0.0162968,228483,283.286
3,08MQ,4,0.0156184,228483,295.591
4,08MQ,5,0.0121205,228483,380.897
5,08MQ,6,0.0223161,228483,206.876
6,08MQ,7,0.0121205,228483,380.897
7,08MQ,8,0.0223161,228483,206.876
8,08MQ,9,0.0180629,228483,255.588
9,0C7Q,1,0.056545,228483,81.6458
10,0C7Q,2,0.049091,228483,94.0429
11,0C7Q,3,0.056545,228483,81.6458
12,0C7Q,4,0.049091,228483,94.0429
13,0C7Q,5,0.0467661,228483,98.7182
14,0C7Q,6,0.124227,228483,37.1632
15,0C7Q,7,0.0467661,228483,98.7182
16,0C7Q,8,0.124227,228483,37.1632
17,0C7Q,9,0.0844777,228483,54.6495
18,0ED6,1,0.0759845,228483,60.758
19,0ED6,2,0.085317,228483,54.1119
20,0ED6,3,0.0759845,228483,60.758
21,0ED6,4,0.085317,228483,54.1119
22,0ED6,5,0.0757472,228483,60.9483
23,0ED6,6,0.124149,228483,37.1866
24,0ED6,7,0.0757472,228483,60.9483
25,0ED6,8,0.124149,228483,37.1866
26,0ED6,9,0.114671,228483,40.2599
27,0H5E,1,0.0129717,228483,355.902
28,0H5E,2,0.0145173,228483,318.011
29,0H5E,3,0.0129717,228483,355.902
30,0H5E,4,0.0145173,228483,318.011
31,0H5E,5,0.0131326,228483,351.542
32,0H5E,6,0.020182,228483,228.751
33,0H5E,7,0.0131326,228483,351.542
34,0H5E,8,0.020182,228483,228.751
35,0H5E,9,0.0170173,228483,271.292
36,0I4U,1,0.0563766,228483,81.8897
37,0I4U,2,0.0601101,228483,76.8035
38,0I4U,3,0.0563766,228483,81.8897
39,0I4U,4,0.0601101,228483,76.8035
40,0I4U,5,0.0614704,228483,75.1039
41,0I4U,6,0.0959537,228483,48.1135
42,0I4U,7,0.0614704,228483,75.1039
43,0I4U,8,0.0959537,228483,48.1135
44,0I4U,9,0.0800849,228483,57.6471
45,0JO0,1,0.0690209,228483,66.8879
46,0JO0,2,0.0917071,228483,50.3414
47,0JO0,3,0.0690209,228483,66.8879
48,0JO0,4,0.0917071,228483,50.3414
49,0JO0,5,0.111422,228483,41.434
50,0JO0,6,0.129627,228483,35.615
51,0JO0,7,0.111422,228483,41.434
52,0JO0,8,0.129627,228483,35.615
53,0JO0,9,0.103494,228483,44.6082
54,1KB2,1,0.0165833,228483,278.392
55,1KB2,2,0.0245815,228483,187.811
56,1KB2,3,0.0165833,228483,278.392
57,1KB2,4,0.0245815,228483,187.811
58,1KB2,5,0.0161601,228483,285.683
59,1KB2,6,0.0312872,228483,147.557
60,1KB2,7,0.0161601,228483,285.683
61,1KB2,8,0.0312872,228483,147.557
62,1KB2,9,0.0212705,228483,217.046
63,1P0Y,1,0.0485869,228483,95.0187
64,1P0Y,2,0.0508731,228483,90.7486
65,1P0Y,3,0.0485869,228483,95.0187
66,1P0Y,4,0.0508731,228483,90.7486
67,1P0Y,5,0.0485869,228483,95.0187
68,1P0Y,6,0.0508731,228483,90.7486
69,1P0Y,7,0.0485869,228483,95.0187
70,1P0Y,8,0.0508731,228483,90.7486
71,1P0Y,9,0.0855415,228483,53.9699
72,27SS,1,0.0251283,228483,183.724
73,27SS,2,0.0384038,228483,120.214
74,27SS,3,0.0251283,228483,183.724
75,27SS,4,0.0384038,228483,120.214
76,27SS,5,0.0324317,228483,142.35
77,27SS,6,0.0422636,228483,109.235
78,27SS,7,0.0324317,228483,142.35
79,27SS,8,0.0422636,228483,109.235
80,27SS,9,0.0315072,228483,146.527
81,2T6S,1,0.0111005,228483,415.895
82,2T6S,2,0.0133827,228483,344.974
83,2T6S,3,0.0111005,228483,415.895
84,2T6S,4,0.0133827,228483,344.974
85,2T6S,5,0.0091739,228483,503.239
86,2T6S,6,0.0177068,228483,260.729
87,2T6S,7,0.0091739,228483,503.239
88,2T6S,8,0.0177068,228483,260.729
89,2T6S,9,0.0199862,228483,230.993
90,2T7P,1,0.0821161,228483,56.2212
91,2T7P,2,0.128964,228483,35.7982
92,2T7P,3,0.0821161,228483,56.2212
93,2T7P,4,0.128964,228483,35.7982
94,2T7P,5,0.138239,228483,33.3962
95,2T7P,6,0.279099,228483,16.5413
96,2T7P,7,0.138239,228483,33.3962
97,2T7P,8,0.279099,228483,16.5413
98,2T7P,9,0.254176,228483,18.1632
99,3C6G,1,0.0127409,228483,362.35
100,3C6G,2,0.0186682,228483,247.301
101,3C6G,3,0.0127409,228483,362.35
102,3C6G,4,0.0186682,228483,247.301
103,3C6G,5,0.0167886,228483,274.987
104,3C6G,6,0.0372147,228483,124.055
105,3C6G,7,0.0167886,228483,274.987
106,3C6G,8,0.0372147,228483,124.055
107,3C6G,9,0.0278505,228483,165.766
108,3PQ2,1,0.189788,228483,24.3254
109,3PQ2,2,0.206414,228483,22.366
110,3PQ2,3,0.189788,228483,24.3254
111,3PQ2,4,0.206414,228483,22.366
112,3PQ2,5,0.177682,228483,25.9827
113,3PQ2,6,0.29486,228483,15.6571
114,3PQ2,7,0.177682,228483,25.9827
115,3PQ2,8,0.29486,228483,15.6571
116,3PQ2,9,0.272871,228483,16.9189
117,3TR7,1,0.00700568,228483,658.989
118,3TR7,2,0.0108725,228483,424.617
119,3TR7,3,0.00700568,228483,658.989
120,3TR7,4,0.0108725,228483,424.617
121,3TR7,5,0.00947616,228483,487.187
122,3TR7,6,0.0151405,228483,304.922
123,3TR7,7,0.00947616,228483,487.187
124,3TR7,8,0.0151405,228483,304.922
125,3TR7,9,0.013871,228483,332.829
126,43FJ,1,0.0305252,228483,151.241
127,43FJ,2,0.0237247,228483,194.593
128,43FJ,3,0.0305252,228483,151.241
129,43FJ,4,0.0237247,228483,194.593
130,43FJ,5,0.0202742,228483,227.711
131,43FJ,6,0.0536047,228483,86.1243
132,43FJ,7,0.0202742,228483,227.711
133,43FJ,8,0.0536047,228483,86.1243
134,43FJ,9,0.064524,228483,71.5496
135,46CD,1,0.0283758,228483,162.697
136,46CD,2,0.0295684,228483,156.135
137,46CD,3,0.0283758,228483,162.697
138,46CD,4,0.0295684,228483,156.135
139,46CD,5,0.0288826,228483,159.843
140,46CD,6,0.0450315,228483,102.521
141,46CD,7,0.0288826,228483,159.843
142,46CD,8,0.0450315,228483,102.521
143,46CD,9,0.0579232,228483,79.7031
144,4SZ2,1,0.125872,228483,36.6775
145,4SZ2,2,0.0782917,228483,58.9675
146,4SZ2,3,0.125872,228483,36.6775
147,4SZ2,4,0.0782917,228483,58.9675
148,4SZ2,5,0.0408343,228483,113.059
149,4SZ2,6,0.0481688,228483,95.8434
150,4SZ2,7,0.0408343,228483,113.059
151,4SZ2,8,0.0483727,228483,95.4394
152,4SZ2,9,0.0383825,228483,120.281
153,4TQ6,1,0.0112049,228483,412.021
154,4TQ6,2,0.011012,228483,419.238
155,4TQ6,3,0.0112049,228483,412.021
156,4TQ6,4,0.011012,228483,419.238
157,4TQ6,5,0.00980626,228483,470.787
158,4TQ6,6,0.00972887,228483,474.532
159,4TQ6,7,0.00980626,228483,470.787
160,4TQ6,8,0.00972887,228483,474.532
161,4TQ6,9,0.0254392,228483,181.479
162,50GV,1,0.0341847,228483,135.051
163,50GV,2,0.0492281,228483,93.781
164,50GV,3,0.0341847,228483,135.051
165,50GV,4,0.0492281,228483,93.781
166,50GV,5,0.0356773,228483,129.401
167,50GV,6,0.105959,228483,43.5704
168,50GV,7,0.0356773,228483,129.401
169,50GV,8,0.105959,228483,43.5704
170,50GV,9,0.0667852,228483,69.1271
171,51PW,1,0.0266459,228483,173.26
172,51PW,2,0.031006,228483,148.896
173,51PW,3,0.0254759,228483,181.217
174,51PW,4,0.031006,228483,148.896
175,51PW,5,0.0273083,228483,169.057
176,51PW,6,0.0900164,228483,51.2869
177,51PW,7,0.0272793,228483,169.237
178,51PW,8,0.0900447,228483,51.2708
179,51PW,9,0.0443232,228483,104.159
180,6FH5,1,0.0202203,228483,228.319
181,6FH5,2,0.02362,228483,195.456
182,6FH5,3,0.0202203,228483,228.319
183,6FH5,4,0.02362,228483,195.456
184,6FH5,5,0.0202065,228483,228.475
185,6FH5,6,0.0432204,228483,106.817
186,6FH5,7,0.0202065,228483,228.475
187,6FH5,8,0.0432204,228483,106.817
188,6FH5,9,0.033241,228483,138.884
189,6VV2,1,0.0988196,228483,46.7181
190,6VV2,2,0.11537,228483,40.0161
191,6VV2,3,0.0988196,228483,46.7181
192,6VV2,4,0.11537,228483,40.0161
193,6VV2,5,0.0989031,228483,46.6786
194,6VV2,6,0.30086,228483,15.3449
195,6VV2,7,0.0989031,228483,46.6786
196,6VV2,8,0.30086,228483,15.3449
197,6VV2,9,0.18297,228483,25.2318
198,80GC,1,0.56786,228483,8.12993
199,80GC,2,0.416146,228483,11.0938
200,80GC,3,0.56786,228483,8.12993
201,80GC,4,0.416146,228483,11.0938
202,80GC,5,0.556157,228483,8.301
203,80GC,6,0.417761,228483,11.051
204,80GC,7,0.556157,228483,8.301
205,80GC,8,0.417761,228483,11.051
206,80GC,9,1.97663,228483,2.33562
207,94GU,1,0.0263787,228483,175.015
208,94GU,2,0.0309861,228483,148.991
209,94GU,3,0.0263787,228483,175.015
210,94GU,4,0.0309861,228483,148.991
211,94GU,5,0.0258324,228483,178.716
212,94GU,6,0.0403561,228483,114.398
213,94GU,7,0.0258324,228483,178.716
214,94GU,8,0.0403561,228483,114.398
215,94GU,9,0.0441566,228483,104.552
216,98BT,1,0.0244192,228483,189.059
217,98BT,2,0.0169948,228483,271.652
218,98BT,3,0.0244192,228483,189.059
219,98BT,4,0.0169948,228483,271.652
220,98BT,5,0.0187456,228483,246.28
221,98BT,6,0.026195,228483,176.242
222,98BT,7,0.0187456,228483,246.28
223,98BT,8,0.026195,228483,176.242
224,98BT,9,0.0438953,228483,105.174
225,9Q6R,1,0.0339516,228483,135.978
226,9Q6R,2,0.0459043,228483,100.571
227,9Q6R,3,0.0339516,228483,135.978
228,9Q6R,4,0.0459043,228483,100.571
229,9Q6R,5,0.0339732,228483,135.891
230,9Q6R,6,0.125531,228483,36.777
231,9Q6R,7,0.0339732,228483,135.891
232,9Q6R,8,0.125531,228483,36.777
233,9Q6R,9,0.065834,228483,70.1258
234,9T8E,1,0.0386786,228483,119.36
235,9T8E,2,0.0198712,228483,232.329
236,9T8E,3,0.0386786,228483,119.36
237,9T8E,4,0.0198712,228483,232.329
238,9T8E,5,0.0233801,228483,197.461
239,9T8E,6,0.0344389,228483,134.054
240,9T8E,7,0.0233801,228483,197.461
241,9T8E,8,0.0344389,228483,134.054
242,9T8E,9,0.0380364,228483,121.375
243,9U7M,1,0.0114315,228483,403.853
244,9U7M,2,0.0162222,228483,284.589
245,9U7M,3,0.0114315,228483,403.853
246,9U7M,4,0.0162222,228483,284.589
247,9U7M,5,0.014122,228483,326.913
248,9U7M,6,0.0367133,228483,125.749
249,9U7M,7,0.014122,228483,326.913
250,9U7M,8,0.0367133,228483,125.749
251,9U7M,9,0.0224872,228483,205.302
252,AO86,1,0.0879644,228483,52.4833
253,AO86,2,0.0683547,228483,67.5398
254,AO86,3,0.0879644,228483,52.4833
255,AO86,4,0.0683547,228483,67.5398
256,AO86,5,0.0489489,228483,94.3159
257,AO86,6,0.107398,228483,42.9863
258,AO86,7,0.0489489,228483,94.3159
259,AO86,8,0.107398,228483,42.9863
260,AO86,9,0.112355,228483,41.0901
261,B23O,1,1.00624,228483,4.58802
262,B23O,2,1.15838,228483,3.98546
263,B23O,3,1.00624,228483,4.58802
264,B23O,4,1.15838,228483,3.98546
265,B23O,5,0.724705,228483,6.3704
266,B23O,6,1.41745,228483,3.25703
267,B23O,7,0.724705,228483,6.3704
268,B23O,8,1.41745,228483,3.25703
269,B23O,9,0.874836,228483,5.27718
270,B5I6,1,0.0387803,228483,119.046
271,B5I6,2,0.050573,228483,91.2871
272,B5I6,3,0.0387803,228483,119.046
273,B5I6,4,0.050573,228483,91.2871
274,B5I6,5,0.0388334,228483,118.884
275,B5I6,6,0.121693,228483,37.937
276,B5I6,7,0.0388334,228483,118.884
277,B5I6,8,0.121693,228483,37.937
278,B5I6,9,0.0697327,228483,66.2052
279,C22U,1,0.0265515,228483,173.876
280,C22U,2,0.0408839,228483,112.921
281,C22U,3,0.0265515,228483,173.876
282,C22U,4,0.0408839,228483,112.921
283,C22U,5,0.0248511,228483,185.773
284,C22U,6,0.047953,228483,96.2747
285,C22U,7,0.0248511,228483,185.773
286,C22U,8,0.047953,228483,96.2747
287,C22U,9,0.0509725,228483,90.5717
288,C88N,1,0.0235413,228483,196.109
289,C88N,2,0.0250535,228483,184.272
290,C88N,3,0.0235413,228483,196.109
291,C88N,4,0.0250535,228483,184.272
292,C88N,5,0.0221976,228483,207.981
293,C88N,6,0.0308026,228483,149.879
294,C88N,7,0.0221976,228483,207.981
295,C88N,8,0.0308026,228483,149.879
296,C88N,9,0.0187233,228483,246.573
297,DC61,1,0.0420667,228483,109.746
298,DC61,2,0.0447043,228483,103.271
299,DC61,3,0.0420667,228483,109.746
300,DC61,4,0.0447043,228483,103.271
301,DC61,5,0.0635034,228483,72.6994
302,DC61,6,0.101868,228483,45.3199
303,DC61,7,0.0635034,228483,72.6994
304,DC61,8,0.101868,228483,45.3199
305,DC61,9,0.0919531,228483,50.2067
306,E3B6,1,0.0176149,228483,262.088
307,E3B6,2,0.0478147,228483,96.5531
308,E3B6,3,0.0176149,228483,262.088
309,E3B6,4,0.0478147,228483,96.5531
310,E3B6,5,0.0187031,228483,246.839
311,E3B6,6,0.0299078,228483,154.363
312,E3B6,7,0.0187031,228483,246.839
313,E3B6,8,0.0299078,228483,154.363
314,E3B6,9,0.0478338,228483,96.5146
315,E6R3,1,0.0462609,228483,99.7961
316,E6R3,2,0.0706983,228483,65.3009
317,E6R3,3,0.0462609,228483,99.7961
318,E6R3,4,0.0706983,228483,65.3009
319,E6R3,5,0.0423028,228483,109.134
320,E6R3,6,0.124617,228483,37.0468
321,E6R3,7,0.0423028,228483,109.134
322,E6R3,8,0.124617,228483,37.0468
323,E6R3,9,0.0761203,228483,60.6495
324,I07H,1,0.211192,228483,21.86
325,I07H,2,0.126677,228483,36.4445
326,I07H,3,0.211192,228483,21.86
327,I07H,4,0.126677,228483,36.4445
328,I07H,5,0.128296,228483,35.9844
329,I07H,6,0.165627,228483,27.8738
330,I07H,7,0.0712922,228483,64.757
331,I07H,8,0.172636,228483,26.7422
332,I07H,9,0.601485,228483,7.67544
333,I52Y,1,0.024822,228483,185.991
334,I52Y,2,0.0382774,228483,120.611
335,I52Y,3,0.024822,228483,185.991
336,I52Y,4,0.0382774,228483,120.611
337,I52Y,5,0.0239283,228483,192.937
338,I52Y,6,0.0600475,228483,76.8836
339,I52Y,7,0.0239283,228483,192.937
340,I52Y,8,0.0600475,228483,76.8836
341,I52Y,9,0.0474321,228483,97.332
342,I9D6,1,0.154386,228483,29.9033
343,I9D6,2,0.178568,228483,25.8538
344,I9D6,3,0.154386,228483,29.9033
345,I9D6,4,0.178568,228483,25.8538
346,I9D6,5,0.150889,228483,30.5963
347,I9D6,6,0.253439,228483,18.2161
348,I9D6,7,0.150889,228483,30.5963
349,I9D6,8,0.253439,228483,18.2161
350,I9D6,9,0.279956,228483,16.4907
351,IZ20,1,0.00383531,228483,1203.73
352,IZ20,2,0.00497772,228483,927.466
353,IZ20,3,0.00383531,228483,1203.73
354,IZ20,4,0.00497772,228483,927.466
355,IZ20,5,0.00424881,228483,1086.58
356,IZ20,6,0.00458292,228483,1007.36
357,IZ20,7,0.00424881,228483,1086.58
358,IZ20,8,0.0045624,228483,1011.89
359,IZ20,9,0.0241773,228483,190.95
360,J7F9,1,0.0112007,228483,412.177
361,J7F9,2,0.0162601,228483,283.926
362,J7F9,3,0.0112007,228483,412.177
363,J7F9,4,0.0162601,228483,283.926
364,J7F9,5,0.0129259,228483,357.163
365,J7F9,6,0.0237785,228483,194.153
366,J7F9,7,0.0129259,228483,357.163
367,J7F9,8,0.0237785,228483,194.153
368,J7F9,9,0.0214301,228483,215.429
369,K9P0,1,0.070762,228483,65.2422
370,K9P0,2,0.102065,228483,45.2328
371,K9P0,3,0.070762,228483,65.2422
372,K9P0,4,0.102065,228483,45.2328
373,K9P0,5,0.0787656,228483,58.6127
374,K9P0,6,0.227722,228483,20.2732
375,K9P0,7,0.0787656,228483,58.6127
376,K9P0,8,0.227722,228483,20.2732
377,K9P0,9,0.102485,228483,45.0471
378,L3V8,1,0.011537,228483,400.162
379,L3V8,2,0.0240292,228483,192.127
380,L3V8,3,0.011537,228483,400.162
381,L3V8,4,0.0240292,228483,192.127
382,L3V8,5,0.0137048,228483,336.865
383,L3V8,6,0.0248172,228483,186.027
384,L3V8,7,0.0137048,228483,336.865
385,L3V8,8,0.0248172,228483,186.027
386,L3V8,9,0.0281061,228483,164.259
387,L7J7,1,0.0227234,228483,203.168
388,L7J7,2,0.029829,228483,154.771
389,L7J7,3,0.0227234,228483,203.168
390,L7J7,4,0.029829,228483,154.771
391,L7J7,5,0.0253126,228483,182.386
392,L7J7,6,0.055539,228483,83.1247
393,L7J7,7,0.0253126,228483,182.386
394,L7J7,8,0.055539,228483,83.1247
395,L7J7,9,0.0373759,228483,123.52
396,L9G5,1,0.0979556,228483,47.1302
397,L9G5,2,0.0770098,228483,59.949
398,L9G5,3,0.0979556,228483,47.1302
399,L9G5,4,0.0770098,228483,59.949
400,L9G5,5,0.0829936,228483,55.6267
401,L9G5,6,0.0923413,228483,49.9956
402,L9G5,7,0.0829936,228483,55.6267
403,L9G5,8,0.0923413,228483,49.9956
404,L9G5,9,0.0834526,228483,55.3208
405,O03M,1,0.887495,228483,5.2019
406,O03M,2,1.3546,228483,3.40815
407,O03M,3,0.887495,228483,5.2019
408,O03M,4,1.3546,228483,3.40815
409,O03M,5,0.90986,228483,5.07403
410,O03M,6,2.35086,228483,1.96382
411,O03M,7,0.90986,228483,5.07403
412,O03M,8,2.35086,228483,1.96382
413,O03M,9,1.31486,228483,3.51113
414,O21U,1,0.0656298,228483,70.344
415,O21U,2,0.0500691,228483,92.2058
416,O21U,3,0.0656298,228483,70.344
417,O21U,4,0.0500691,228483,92.2058
418,O21U,5,0.0520543,228483,88.6894
419,O21U,6,0.104463,228483,44.1944
420,O21U,7,0.0520543,228483,88.6894
421,O21U,8,0.104463,228483,44.1944
422,O21U,9,0.0896971,228483,51.4695
423,O6R6,1,1.29113,228483,3.57568
424,O6R6,2,1.74675,228483,2.643
425,O6R6,3,1.29113,228483,3.57568
426,O6R6,4,1.74675,228483,2.643
427,O6R6,5,2.09506,228483,2.2036
428,O6R6,6,1.91595,228483,2.4096
429,O6R6,7,1.29113,228483,3.57568
430,O6R6,8,1.74675,228483,2.643
431,O6R6,9,2.31985,228483,1.99007
432,P5F3,1,0.0170317,228483,271.063
433,P5F3,2,0.0166619,228483,277.079
434,P5F3,3,0.0170317,228483,271.063
435,P5F3,4,0.0166619,228483,277.079
436,P5F3,5,0.0145466,228483,317.37
437,P5F3,6,0.0156841,228483,294.353
438,P5F3,7,0.0145466,228483,317.37
439,P5F3,8,0.0156841,228483,294.353
440,P5F3,9,0.119031,228483,38.7854
441,Q58J,1,0.00862682,228483,535.153
442,Q58J,2,0.01117,228483,413.309
443,Q58J,3,0.00862682,228483,535.153
444,Q58J,4,0.01117,228483,413.309
445,Q58J,5,0.00890972,228483,518.16
446,Q58J,6,0.0102909,228483,448.615
447,Q58J,7,0.00890972,228483,518.16
448,Q58J,8,0.0102909,228483,448.615
449,Q58J,9,0.042526,228483,108.561
450,Q6O0,1,0.0119077,228483,387.703
451,Q6O0,2,0.012983,228483,355.593
452,Q6O0,3,0.0119077,228483,387.703
453,Q6O0,4,0.012983,228483,355.593
454,Q6O0,5,0.011806,228483,391.043
455,Q6O0,6,0.0231532,228483,199.397
456,Q6O0,7,0.011806,228483,391.043
457,Q6O0,8,0.0231532,228483,199.397
458,Q6O0,9,0.0164355,228483,280.896
459,R42Q,1,0.0178942,228483,257.998
460,R42Q,2,0.0231287,228483,199.608
461,R42Q,3,0.0178942,228483,257.998
462,R42Q,4,0.0231287,228483,199.608
463,R42Q,5,0.0114193,228483,404.286
464,R42Q,6,0.0202882,228483,227.554
465,R42Q,7,0.0178942,228483,257.998
466,R42Q,8,0.0231287,228483,199.608
467,R42Q,9,0.0174283,228483,264.894
468,R5K7,1,0.0210445,228483,219.377
469,R5K7,2,0.024579,228483,187.83
470,R5K7,3,0.0210445,228483,219.377
471,R5K7,4,0.024579,228483,187.83
472,R5K7,5,0.0207131,228483,222.886
473,R5K7,6,0.0297893,228483,154.977
474,R5K7,7,0.0207131,228483,222.886
475,R5K7,8,0.0297893,228483,154.977
476,R5K7,9,0.0314319,228483,146.878
477,R7D1,1,0.0517923,228483,89.138
478,R7D1,2,0.089371,228483,51.6573
479,R7D1,3,0.0517923,228483,89.138
480,R7D1,4,0.089371,228483,51.6573
481,R7D1,5,0.0496386,228483,93.0054
482,R7D1,6,0.135807,228483,33.9943
483,R7D1,7,0.0496386,228483,93.0054
484,R7D1,8,0.135807,228483,33.9943
485,R7D1,9,0.0968595,228483,47.6635
486,R9K3,1,0.0226378,228483,203.936
487,R9K3,2,0.0285005,228483,161.985
488,R9K3,3,0.0226378,228483,203.936
489,R9K3,4,0.0285005,228483,161.985
490,R9K3,5,0.021971,228483,210.125
491,R9K3,6,0.0543479,228483,84.9465
492,R9K3,7,0.021971,228483,210.125
493,R9K3,8,0.0543479,228483,84.9465
494,R9K3,9,0.037972,228483,121.581
495,SM54,1,0.105356,228483,43.8197
496,SM54,2,0.0904516,228483,51.0401
497,SM54,3,0.105356,228483,43.8197
498,SM54,4,0.0904516,228483,51.0401
499,SM54,5,0.0655671,228483,70.4113
500,SM54,6,0.14773,228483,31.2508
501,SM54,7,0.0655671,228483,70.4113
502,SM54,8,0.14773,228483,31.2508
503,SM54,9,0.0832369,228483,55.4642
504,T54A,1,0.0199383,228483,231.548
505,T54A,2,0.0383175,228483,120.485
506,T54A,3,0.0199383,228483,231.548
507,T54A,4,0.0383175,228483,120.485
508,T54A,5,0.0254805,228483,181.184
509,T54A,6,0.0251372,228483,183.659
510,T54A,7,0.0254805,228483,181.184
511,T54A,8,0.0251372,228483,183.659
512,T54A,9,0.031061,228483,148.632
513,U26C,1,0.0330654,228483,139.622
514,U26C,2,0.0423204,228483,109.088
515,U26C,3,0.0330654,228483,139.622
516,U26C,4,0.0423204,228483,109.088
517,U26C,5,0.0332948,228483,138.66
518,U26C,6,0.0740687,228483,62.3295
519,U26C,7,0.0332948,228483,138.66
520,U26C,8,0.0740687,228483,62.3295
521,U26C,9,0.0516057,228483,89.4603
522,UI76,1,0.12823,228483,36.0031
523,UI76,2,0.19092,228483,24.1812
524,UI76,3,0.12823,228483,36.0031
525,UI76,4,0.19092,228483,24.1812
526,UI76,5,0.179786,228483,25.6786
527,UI76,6,0.313547,228483,14.724
528,UI76,7,0.179786,228483,25.6786
529,UI76,8,0.313547,228483,14.724
530,UI76,9,0.30988,228483,14.8982
531,UK24,1,0.0296522,228483,155.694
532,UK24,2,0.0344132,228483,134.154
533,UK24,3,0.0296522,228483,155.694
534,UK24,4,0.0344132,228483,134.154
535,UK24,5,0.154543,228483,29.873
536,UK24,6,0.0450103,228483,102.569
537,UK24,7,0.154543,228483,29.873
538,UK24,8,0.0450103,228483,102.569
539,UK24,9,0.187304,228483,24.648
540,V55J,1,0.0174027,228483,265.284
541,V55J,2,0.0296881,228483,155.505
542,V55J,3,0.0174027,228483,265.284
543,V55J,4,0.0296881,228483,155.505
544,V55J,5,0.0180987,228483,255.082
545,V55J,6,0.027489,228483,167.946
546,V55J,7,0.0180987,228483,255.082
547,V55J,8,0.027489,228483,167.946
548,V55J,9,0.0302657,228483,152.538
549,X19V,1,0.0606529,228483,76.1162
550,X19V,2,0.0861944,228483,53.561
551,X19V,3,0.0606529,228483,76.1162
552,X19V,4,0.0861944,228483,53.561
553,X19V,5,0.0624644,228483,73.9087
554,X19V,6,0.154323,228483,29.9157
555,X19V,7,0.0624644,228483,73.9087
556,X19V,8,0.154323,228483,29.9157
557,X19V,9,0.10837,228483,42.6008
558,X1Y5,1,0.0563408,228483,81.9417
559,X1Y5,2,0.041291,228483,111.808
560,X1Y5,3,0.0563408,228483,81.9417
561,X1Y5,4,0.041291,228483,111.808
562,X1Y5,5,0.0643287,228483,71.7668
563,X1Y5,6,0.0962019,228483,47.9893
564,X1Y5,7,0.0643287,228483,71.7668
565,X1Y5,8,0.0962019,228483,47.9893
566,X1Y5,9,0.0908419,228483,50.8209
567,XU70,1,0.100107,228483,46.1175
568,XU70,2,0.0737609,228483,62.5896
569,XU70,3,0.100107,228483,46.1175
570,XU70,4,0.0737609,228483,62.5896
571,XU70,5,0.054747,228483,84.3273
572,XU70,6,0.0769202,228483,60.0189
573,XU70,7,0.054747,228483,84.3273
574,XU70,8,0.0769202,228483,60.0189
575,XU70,9,0.443704,228483,10.4048
