,Unnamed: 0,collectionID,teamID,hyp,autorectify,problem,reverse_contrast,n_thresh_vox,min_unthresh,max_unthresh,p_pos_unthresh,p_neg_unthresh
0,0,4735_50GV,50GV,1,False,,False,6231.0,0.8395336866378784,5.152405738830566,1.0,0.0
1,1,4735_50GV,50GV,2,False,,False,25184.0,0.8543398976325989,7.018625259399414,1.0,0.0
2,2,4735_50GV,50GV,3,False,,False,6231.0,0.8395336866378784,5.152405738830566,1.0,0.0
3,3,4735_50GV,50GV,4,False,,False,25184.0,0.8543398976325989,7.018625259399414,1.0,0.0
4,4,4735_50GV,50GV,5,False,,False,25171.0,0.4033887684345245,6.2584266662597665,1.0,0.0
5,5,4735_50GV,50GV,6,False,,False,4912.0,1.1846535205841064,6.676558017730713,1.0,0.0
6,6,4735_50GV,50GV,7,False,,False,36448.0,0.7420753240585327,8.21647834777832,1.0,0.0
7,7,4735_50GV,50GV,8,False,,False,3691.0,1.1342759132385254,5.252683639526367,1.0,0.0
8,8,4735_50GV,50GV,9,False,,False,4812.0,0.8729154467582703,5.33443546295166,1.0,0.0
0,0,4765_9Q6R,9Q6R,1,False,,False,811.0,1.614757776260376,5.324408531188965,1.0,0.0
1,1,4765_9Q6R,9Q6R,2,False,,False,10262.0,1.4529143571853638,6.641472339630128,1.0,0.0
2,2,4765_9Q6R,9Q6R,3,False,,False,811.0,1.614757776260376,5.324408531188965,1.0,0.0
3,3,4765_9Q6R,9Q6R,4,False,,False,10262.0,1.4529143571853638,6.641472339630128,1.0,0.0
4,4,4765_9Q6R,9Q6R,5,False,,False,9356.0,1.5354881286621094,6.461166858673097,1.0,0.0
5,5,4765_9Q6R,9Q6R,6,False,,False,307.0,2.1930277347564697,5.7526302337646475,1.0,0.0
6,6,4765_9Q6R,9Q6R,7,False,,False,18953.0,1.4573966264724731,7.585419178009032,1.0,0.0
7,7,4765_9Q6R,9Q6R,8,False,,False,72.0,2.7894632816314697,4.327768802642821,1.0,0.0
8,8,4765_9Q6R,9Q6R,9,False,,False,631.0,2.1685070991516118,5.45345401763916,1.0,0.0
0,0,4772_3C6G,3C6G,1,False,,False,1205.0,3.1673710346221924,4.778825283050537,1.0,0.0
1,1,4772_3C6G,3C6G,2,False,,False,12852.0,3.1699857711791988,7.354715824127197,1.0,0.0
2,2,4772_3C6G,3C6G,3,False,,False,1205.0,3.1673710346221924,4.778825283050537,1.0,0.0
3,3,4772_3C6G,3C6G,4,False,,False,12852.0,3.1699857711791988,7.354715824127197,1.0,0.0
4,4,4772_3C6G,3C6G,5,False,,False,8947.0,3.1670312881469727,6.047780990600586,1.0,0.0
5,5,4772_3C6G,3C6G,6,False,,False,542.0,3.1700148582458496,4.958385467529297,1.0,0.0
6,6,4772_3C6G,3C6G,7,False,,False,10627.0,3.16698694229126,6.667438507080077,1.0,0.0
