,U26C,I07H,UK24,4TQ6,IZ20,R42Q,Q58J,P5F3,XU70,3TR7,Q6O0,E3B6,L7J7,E6R3,R7D1,R9K3,C88N,J7F9,6VV2,9Q6R,50GV,B5I6,0C7Q,K9P0,O21U,X19V,L3V8,6FH5,3C6G,98BT,9U7M,0H5E,43FJ,1KB2,08MQ,V55J,46CD,C22U,I52Y,1P0Y,SM54,51PW,0I4U,94GU,9T8E,L9G5,O6R6,0JO0,I9D6,UI76,AO86,DC61,3PQ2,X1Y5,27SS,T54A,2T6S,2T7P,0ED6,R5K7,B23O,O03M,4SZ2,80GC
U26C,0.9999999999999998,0.5482791573401411,0.33140866712896677,-0.6099612008519754,-0.6310550185997303,-0.770764268116413,-0.701642929557103,-0.7737307061220312,-0.7471389456407558,-0.9538107640423356,-0.9541917716365993,-0.9678263475148192,-0.9816738768358799,-0.8914147419034475,-0.9046989439077752,-0.9103877445386285,-0.8828605962159677,-0.898267685679524,-0.8462786759872061,-0.9539908688254212,-0.9722307306446151,-0.9773559693405954,-0.8914803757255383,-0.9327995755995295,-0.9305452566249123,-0.9341992269971341,-0.8612898961424522,-0.9040321116876388,-0.8661996625979712,-0.8626715147394988,-0.8304317486255725,-0.8089083678214278,-0.8133912928854061,-0.785833076945663,-0.8290873389747893,-0.8283056840724177,-0.7956500320597011,-0.8129852644770073,-0.8329367716601831,-0.7390795333169838,-0.7999061654656366,-0.7212181095951088,-0.7359661499475262,-0.7074638460532845,0.058492420132344555,-0.2971696810654556,-0.20880750422926334,-0.48462961763629175,-0.4871617557612694,-0.611389921863232,-0.4614310392978025,-0.4012094559736132,-0.7440060595521119,-0.8081306977884011,-0.6646794215134684,-0.6955919086074963,-0.6486384493585249,-0.5713563300683073,-0.591339587382716,-0.6181075927729331,-0.6311021799935637,-0.6088596784939277,-0.5632625303881437,-0.47410970236492717
I07H,0.5482791573401411,1.0,0.14775418976193655,-0.41009696165200077,-0.3667410975013319,-0.5147701181413118,-0.4166623415354589,-0.4978545158332732,-0.3959762437216055,-0.524431302590359,-0.5347947140618958,-0.50655996295233,-0.5344759660157876,-0.5591851206681812,-0.5237650791925568,-0.5392249352059828,-0.520393957862865,-0.5307056400899197,-0.505154866861186,-0.5332447749153654,-0.5410860463081684,-0.5346841049499041,-0.5208850851785349,-0.5062373980474442,-0.4958271695789934,-0.5066674673007514,-0.47184858071854435,-0.5127872441672443,-0.4978079175623393,-0.49125449934370996,-0.44184881843536766,-0.45802006905760834,-0.45721482294002924,-0.4659837128073329,-0.5099534815907385,-0.4771415974667228,-0.47503125642789695,-0.534896088168113,-0.511350171893311,-0.45790991626573113,-0.4695225338084633,-0.38607602124207185,-0.4381564794793752,-0.4466771030978631,0.1197991021280658,-0.02342704140297585,-0.09003812162465563,-0.23188732538189444,-0.3827700990557196,-0.4169492924795492,-0.3568324954810196,-0.30221494305357205,-0.44274475970236626,-0.5159732179325319,-0.3764441386484557,-0.3722632918052424,-0.32855986588780495,-0.35152575450562745,-0.3136150892904612,-0.3107377258291662,-0.4158616883131914,-0.37303488229370746,-0.30704226442422633,-0.30443862074436623
UK24,0.33140866712896677,0.14775418976193655,1.0,-0.3080840771394307,-0.2910413217569982,-0.2818363776168625,-0.30187033142840625,-0.31783506181745685,-0.35626240157846917,-0.3386615473946485,-0.3388378041818394,-0.34045619267836613,-0.33721592560411584,-0.3495055338389616,-0.34411302209820044,-0.34510919996729306,-0.3423331800615823,-0.3418892540185676,-0.2937717478014368,-0.3139514222865406,-0.3250862602314334,-0.3297948366023725,-0.3225197512914366,-0.31987764477944886,-0.32477379317308713,-0.3301895340014466,-0.37240401470158563,-0.3566304087191415,-0.35147818571074746,-0.3318016464167715,-0.33373229215099903,-0.3145235700304618,-0.36635453101838733,-0.3591592546308836,-0.34378913603640265,-0.348693188715594,-0.35346242845814263,-0.3406135946408497,-0.3408714612284432,-0.30991445293769965,-0.2889963774039758,-0.24806858350632857,-0.3129948368362159,-0.28102327209685735,-0.04477216094313959,-0.19654856417442615,-0.05654585144624037,-0.07853614868469398,-0.0871390112748536,-0.11844674345883911,-0.15005455323331449,-0.01652441265420582,-0.23806684374771944,-0.1883862581738232,-0.1259853977220048,-0.09940464622854045,-0.13513886653462676,-0.1384312132427977,-0.15784362013064954,-0.1729073537856824,-0.20854319808496133,-0.20926867342633282,-0.2155940200370582,-0.2978689717203675
4TQ6,-0.6099612008519754,-0.41009696165200077,-0.3080840771394307,1.0,0.8323334267310042,0.7030539331950924,0.8390365023043591,0.8357887942070227,0.7511749234268708,0.6583708182031862,0.6664790543432044,0.6265685811974134,0.633113573966702,0.5671438230726356,0.5722400502483793,0.5854113043780937,0.6088616881655351,0.6315147043528009,0.5071589057959017,0.5615942178309878,0.5948368817175891,0.5798991725491488,0.5937782799304927,0.5649597472989855,0.5980856664018208,0.5784419363465925,0.6977675670305497,0.6762251909974812,0.6814807369406402,0.6846851434554628,0.6756455887995785,0.6378628444931854,0.6263228234075856,0.6837004330050084,0.6957947851796236,0.6994665766513747,0.6542732120653074,0.6490737274810539,0.6069444844117058,0.6088069196111375,0.5262098943974357,0.47583931952001135,0.5654573874682677,0.5556149416493715,-0.00618254082446686,0.3200185982795053,0.09943832657105063,0.061343940683766085,0.10989190695845363,0.14667508573373195,0.1274842979659604,0.19791434233504696,0.37774127028010007,0.3511286521291448,0.2443152058859055,0.2367452061976864,0.10092007713588831,0.19932192321388462,0.3662179515453121,0.4101324070403644,0.36616711784421185,0.34323067466045126,0.5687038607457648,0.5347333744931082
IZ20,-0.6310550185997303,-0.3667410975013319,-0.2910413217569982,0.8323334267310042,1.0,0.766134066056641,0.9080604760169652,0.8665898588711375,0.7759331776818307,0.6820381397274204,0.6822295040128316,0.6729405502479479,0.6664905928367275,0.5429294553215472,0.5570686264832078,0.545475944582663,0.5798536146197282,0.5859952732416464,0.5250308578190342,0.5957181469346212,0.6212793271159119,0.6047082621265971,0.6025356328362124,0.5748225414822029,0.6309098463177203,0.615630725734659,0.7284308266730147,0.6772750768866538,0.6808737326761946,0.6698582407483891,0.6864220444038086,0.649493263297674,0.6386233490945139,0.6637203734850485,0.6576082015075614,0.6872084113550142,0.5981254849051868,0.6010652000601652,0.5615182891743965,0.5482733686810282,0.5212279482773611,0.5148605154116187,0.5592815743734453,0.48885458794616277,-0.02941231031215693,0.3837877566843433,0.11696355199024934,0.07243767153604716,0.09012916130806298,0.1500796488578442,0.07233213159404672,0.19524887538660982,0.377906052733956,0.3744997132322599,0.3049143835757887,0.35393591634156535,0.11917499892950692,0.22216387228159803,0.43213114571969047,0.478278355693516,0.3766528411293519,0.3526746733642873,0.553278762074502,0.482437605244904
R42Q,-0.770764268116413,-0.5147701181413118,-0.2818363776168625,0.7030539331950924,0.766134066056641,1.0,0.8548673001514493,0.8851237934219418,0.7400999762909677,0.8279471259140226,0.8224956729057094,0.787502850927639,0.813531537016878,0.695707604964819,0.6778213524161056,0.6829978994358369,0.71637287835511,0.712110251109537,0.6652786047241249,0.7737128021364028,0.765690225641388,0.7571288883355657,0.7265732562954855,0.6985751035788569,0.7231309597033393,0.7421617211813567,0.7640369389994558,0.7666119982642007,0.7596403247198693,0.785869572040078,0.7792593762873105,0.7510395048412,0.7462813676875415,0.7084262406394595,0.7211131926890924,0.7181410774679282,0.6656140271527144,0.6901568487658958,0.7048304196553172,0.5871762723176726,0.5859121786705135,0.7077902627959642,0.673800422394779,0.6184892202633979,-0.253414656155006,0.3182156314844224,0.10331565537184254,0.2538008077358461,0.31693766705897325,0.35371564143834716,0.20757957246723527,0.2652443876374365,0.48421162529665873,0.5374118180280801,0.5135573913677546,0.597041370863332,0.3891865954879387,0.411352549190617,0.6119587856952283,0.665409687566464,0.48036137424732084,0.46801852372638253,0.548621252691706,0.461268525246112
Q58J,-0.701642929557103,-0.4166623415354589,-0.3018703314284063,0.839036502304359,0.9080604760169652,0.8548673001514494,1.0,0.9310882823256501,0.8245146283426005,0.7521928809338613,0.7490507752585797,0.7349230835454494,0.7379918809416208,0.6229036691544871,0.6263903807654376,0.6195843030604564,0.6520096655656413,0.6575865884748717,0.5834768016530225,0.6849974422376897,0.6992303656235355,0.681731140541524,0.6585019180532091,0.6479252947685037,0.6835922789504001,0.6866098694948043,0.756381540254787,0.7351874865353185,0.7247838229156147,0.732493702512429,0.7614340780897029,0.6982141718742292,0.6769149295010933,0.71551794715219,0.7039258112407026,0.7247639383345565,0.6520473421715458,0.6609046116688285,0.6438650198202687,0.5784587392380143,0.5648235792251699,0.6327197568559085,0.6031872355771702,0.5517400427075568,-0.09857208876877359,0.36952956177315666,0.1160066790094204,0.14244869671057517,0.16352463494842595,0.22268358928024953,0.09989503416077239,0.21655171952746222,0.42432521014509317,0.4240084915825771,0.3700349102797208,0.43036469520016074,0.2155663629733313,0.28520702668090514,0.510320171016096,0.561926164501708,0.433247335919158,0.41090830841866877,0.6192567532138664,0.5150465155931538
P5F3,-0.7737307061220312,-0.49785451583327317,-0.31783506181745685,0.8357887942070227,0.8665898588711375,0.8851237934219418,0.9310882823256501,1.0,0.8532661850211243,0.8158494390941984,0.8149726103168136,0.7890108621674635,0.8037721337524171,0.7090184942681391,0.7046622995840127,0.7103910163827221,0.7333889417525866,0.741527461248751,0.6666015633857156,0.7586553509895302,0.7682593070546064,0.7558651187593196,0.7414117220504493,0.7179673056056026,0.7371087954483911,0.7495393534125157,0.811425920363948,0.8018255216300428,0.8003325972602993,0.796864634222495,0.7976614541873355,0.7517385229741056,0.7734198893048726,0.821194527806549,0.8052533791473956,0.8090258486712399,0.7249083389008492,0.7742663815507453,0.7531555937886592,0.6873500798469531,0.6490028612453667,0.637329823690938,0.6819290699756735,0.6275743352942307,-0.14616827873070684,0.37064898532335827,0.10658572568527454,0.18593579193167498,0.24225618244609473,0.28528037686991764,0.2115337922277844,0.2435100876294264,0.4946051220363794,0.5009032740140098,0.4229687901207807,0.4774655370803097,0.2761793469118964,0.35902033120945137,0.5352203951531425,0.5833007075195523,0.4754891454809259,0.4641876662005026,0.5969600678631911,0.544224116616701
XU70,-0.7471389456407558,-0.39597624372160545,-0.3562624015784692,0.7511749234268708,0.7759331776818307,0.7400999762909677,0.8245146283426005,0.8532661850211243,1.0,0.7639782112160388,0.7605046604536779,0.771306759435581,0.7599297323447897,0.7048615320028997,0.7215021399291185,0.6966309809837967,0.7082173002982106,0.7139171368260226,0.6525834253580765,0.7333646493934909,0.753415486645245,0.7374062123968499,0.7206493580497021,0.7239311835450929,0.7379594989717624,0.746257904723218,0.7748258476598051,0.7478392303323955,0.7366060091666179,0.7245782746674101,0.7447099750585973,0.7147493708435384,0.7418904480765074,0.749436403638875,0.7451465106581399,0.7452517128580046,0.6780211903195787,0.7152247072839321,0.6988378711067664,0.6427956408709883,0.6265732136851364,0.565309720687168,0.6392405661938407,0.5776373493683307,-0.064959182826707,0.3929998528717303,0.11924665623237614,0.19438591230089727,0.2083983904280036,0.28008465906060986,0.17650688821313446,0.2222882625542218,0.5041824958865969,0.4654879138279415,0.40359663020206343,0.41530104088932945,0.28007260298913517,0.3409880266557412,0.444729842232713,0.4824474999551172,0.48665617693235586,0.4748509327606239,0.5616972193214527,0.5750796961414939
3TR7,-0.9538107640423356,-0.524431302590359,-0.3386615473946485,0.6583708182031862,0.6820381397274204,0.8279471259140226,0.7521928809338612,0.8158494390941985,0.7639782112160388,0.9999999999999998,0.9917695668920873,0.9594893423203663,0.982714792493283,0.8514572093315895,0.8648738290210908,0.897861727280439,0.9155657024721314,0.922649566708142,0.8015241529811397,0.9238648550747711,0.9260099617642943,0.9291734458099218,0.8824559747826671,0.8721830017111879,0.8819240973235146,0.8987177856165133,0.9023570706917454,0.9363747956289127,0.9123950525468897,0.9292362416369842,0.8904773090319135,0.8809851521416915,0.8629350032622181,0.8258091525480563,0.869574150268759,0.8672244542274922,0.8431994658352884,0.8280612901439333,0.8608650710571281,0.7274807709071083,0.7395234671531015,0.772977304584532,0.7748611891561529,0.7417119771468706,-0.1073915819894619,0.32049467427757766,0.14098621351192606,0.4351606360216545,0.44343212478648947,0.5259841158047108,0.36791599879969705,0.3502734504610803,0.66793193461482,0.7229209392732516,0.6560379381428642,0.6825529148821395,0.6516291919373268,0.5616948906200395,0.631195816893537,0.6822381811220881,0.5663256058661654,0.5457658699518164,0.5894840147188388,0.47057002950751115
