,2T6S,U26C,T54A,I07H,UK24,XU70,4TQ6,IZ20,P5F3,Q58J,43FJ,1P0Y,E3B6,R42Q,L9G5,4SZ2,80GC,08MQ,V55J,0I4U,9U7M,0H5E,L3V8,0C7Q,3PQ2,6VV2,B5I6,50GV,O21U,9Q6R,X19V,K9P0,E6R3,R7D1,L7J7,3TR7,Q6O0,98BT,3C6G,6FH5,C88N,J7F9,R9K3,46CD,C22U,I52Y,0JO0,2T7P,X1Y5,I9D6,27SS,UI76,0ED6,R5K7,51PW,94GU,DC61,O6R6,B23O,O03M,AO86,9T8E,1KB2,SM54
2T6S,1.0,0.7218719576012302,-0.09065288035983993,0.3152548934232706,-0.09510836244390009,-0.02319303867390931,0.11709473123666113,0.03839036754874344,0.052998326799746226,0.06779192957158955,-0.10870677671206948,0.046020854571311415,0.05236017786942199,-0.16976968663599581,0.06962654355877687,-0.03432671842848319,0.14256896209016603,-0.390422603611304,-0.37479660638038914,-0.49790090865561704,-0.48067566702830117,-0.5243225184948257,-0.5138955200614359,-0.5740905086365868,-0.4315598395943768,-0.4789197329830214,-0.624011039903482,-0.631253236478246,-0.6188966578661861,-0.5225921746769973,-0.5460193227692951,-0.5977803425567888,-0.6238926566855171,-0.6572418303457696,-0.7313063348981086,-0.7822465213109667,-0.7518638531663465,-0.5945735287098858,-0.6401959057541932,-0.6737395845623046,-0.7332927551569128,-0.801839694604362,-0.7900521287805433,-0.6334732546531869,-0.5638844666438616,-0.6067657867713218,-0.45103619548355317,-0.580812027764404,-0.7099824811659682,-0.528816982041914,-0.6739070967754522,-0.6190116158320996,-0.05390762189981791,-0.05719304638240755,-0.29035352073299253,-0.25053910380597166,-0.3352096223816518,-0.2293654363464714,-0.3221655486623452,-0.27573908265770675,-0.2846306361781651,-0.33500349076762576,-0.3185076669728965,-0.3486534961371986
U26C,0.7218719576012301,0.9999999999999998,0.027913922385246318,0.3881731602807984,0.14001800474755322,-0.32598629310894295,-0.19950525530773106,-0.26313444474175746,-0.2627317918834831,-0.23709132084620105,-0.3215361694082482,-0.19760823174012085,-0.13840897133486524,-0.28006237328762407,-0.09342220699728239,-0.2364801288497653,-0.10131195516617308,-0.5203052631059666,-0.5017790609524724,-0.5085056909541004,-0.6010974406473074,-0.5486775323489288,-0.6013825053012437,-0.6724841002198757,-0.614449834911036,-0.6167678435801385,-0.865822513598536,-0.8907795555446867,-0.8295196045864659,-0.7790690509722077,-0.7931921516269141,-0.79443125994204,-0.7147747281464532,-0.7245778229292326,-0.9519495743733508,-0.8924639460880367,-0.8571766458877439,-0.671991245871196,-0.709196845421049,-0.7713985518892152,-0.6598177180649089,-0.7581805329276413,-0.7663645283632302,-0.5657744300562294,-0.6036060127135776,-0.6259372065305853,-0.4685185196038606,-0.4642238158005363,-0.7495183104523965,-0.4400025319363322,-0.5265659993826528,-0.6014823275663445,-0.26060499319147773,-0.27359427141394055,-0.4469417110512336,-0.3867946105159968,-0.3856800385979186,-0.31776270041173654,-0.41875486966319875,-0.3994856997038585,-0.36835231079343433,-0.3983671652392241,-0.36529928961234676,-0.5094779077071401
T54A,-0.09065288035983994,0.02791392238524632,1.0,0.01598441224971325,0.050100554562997106,-0.2151592066548496,-0.1337478018555221,-0.17911548525550147,-0.054322391347070655,-0.11340973213551774,0.11231140325473792,0.1787176475185965,0.4451002070072749,-0.13602580230120076,-0.14470074504287464,-0.187312383686629,-0.2259503651746554,-0.044574430012898424,-0.05609752376599485,-0.03275941895501303,-0.12112096097660334,-0.034243729667712205,-0.059864634402107215,-0.039739610314076516,0.04314155584956404,-0.00030540218155532446,-0.01680867277830857,-0.03210913440035416,0.010319982832839292,0.044253368694879586,-0.029402301955505084,0.024286489613903686,0.044325263767433946,0.07192691534496572,-0.04855349511613875,-0.04687026293111629,-0.0632801618285432,-0.11922789380154743,-0.10255562684489274,-0.05250537399161548,0.08686980676392662,0.031994808352744965,0.06333282618183457,-0.047627839232920105,-0.048553155713802434,-0.035232629840778275,-0.05348939581590976,0.032846101252166165,0.02156964349440979,0.12448279660363881,0.13643528354698717,0.10660811441349727,-0.022573858973936968,-0.026145449766326042,-0.07796136400274488,-0.0561925545172587,0.04130819263038843,-0.14170259073971642,-0.09177673741609826,0.004403782382686248,0.27710994853059434,0.06896220593496712,0.033855635769402134,0.051174471213662885
I07H,0.3152548934232706,0.38817316028079846,0.015984412249713247,1.0,0.08758953802054903,-0.20270554228433693,-0.17649220896420348,-0.25594970877900486,-0.22646946673518256,-0.23497925771451972,-0.11195020369101226,-0.02715206273713676,-0.061607703721448005,-0.31057113001836617,0.07292377997034616,-0.15029508231568972,-0.08220301998540429,-0.2616577198135223,-0.26304632213715806,-0.264167562284705,-0.29337607176861497,-0.2785860829008911,-0.2973573396925808,-0.29804646379539623,-0.2359524540458189,-0.25957615781528603,-0.35609914041105056,-0.3815170884050623,-0.39674779554138373,-0.3225665363865279,-0.3707025477578728,-0.3596832444135071,-0.34937129971889297,-0.39418763548769986,-0.3946568661909528,-0.39593772989423376,-0.3668142537782985,-0.2898753588020257,-0.3043224591655944,-0.32883220837446886,-0.3550950821800674,-0.3434808288545639,-0.3514888970184978,-0.30691688520412647,-0.34251844463215947,-0.31311894756335856,-0.2000636685731352,-0.20611400850521225,-0.30950063646703146,-0.23403707627154713,-0.3114470300588226,-0.31232262702164765,-0.05868112160477048,-0.07587136452105869,-0.19839211553746153,-0.1448068582945148,-0.17396313678850212,-0.1244403983041961,-0.19496937919334834,-0.21488436908630085,-0.08821888579082289,-0.1954835538709332,-0.1750407555640597,-0.193383114935988
UK24,-0.0951083624439001,0.14001800474755322,0.050100554562997106,0.08758953802054903,0.9999999999999998,-0.4903613133283176,-0.7256251889538043,-0.47720967472932196,-0.644382347480105,-0.5646621574881744,-0.5845950006527131,-0.5920926208194954,-0.5151692194604721,-0.04545130287292218,-0.19499952589241387,-0.31469617379484593,-0.46013552604926566,-0.23720437476449596,-0.22941218541960362,-0.1091294230160846,-0.1567129938014816,-0.12639960413351622,-0.1443407029068204,-0.12281771861398723,-0.1072573113253215,-0.1313675005786969,-0.15953897704863293,-0.17568484308410276,-0.20604215488722086,-0.18784811371740134,-0.25194650230230736,-0.1484732561727296,-0.17558289571365923,-0.1978614871859807,-0.1737314127149005,-0.17800146251404653,-0.13535943269717862,-0.16368562355740024,-0.13556708616164934,-0.19652135641311447,-0.23093522678075015,-0.17099899419361542,-0.12931543942576088,-0.16038078341091297,-0.23477676327795405,-0.21231009385823457,-0.015506033515779798,0.05070900512348668,0.10406856758421368,0.005294310249933795,-0.02423052125213888,0.021500814338967306,-0.14332269882247273,-0.19323494437653788,-0.18071343357933115,-0.24740152585932604,0.11923200274800394,-0.059898463971974784,0.12425165665951492,-0.03174210819533615,-0.2411799463935147,-0.14758113467106904,-0.15473130048431707,-0.12446027898854395
XU70,-0.02319303867390931,-0.32598629310894295,-0.21515920665484964,-0.2027055422843369,-0.49036131332831767,1.0,0.717617567403974,0.7700451352946596,0.7980953658133213,0.7947788642922876,0.46587130438777097,0.35758010247926947,0.3676974087072899,0.37053725537650156,0.3405998746507692,0.48895574440104916,0.5841950377538847,0.44274636717538507,0.35394065396131735,0.24796970527772694,0.33798126933991657,0.263817518300059,0.3277017860943766,0.25839563020575074,0.24863330211214296,0.21037683844149008,0.3105900239634606,0.3760120155378328,0.34876144785873514,0.3161296088487631,0.41668451960532626,0.27698352346797905,0.2832047000100335,0.2648828742236257,0.3660718151331943,0.3791881751201606,0.313019665037394,0.34681639236555717,0.341323364654942,0.3569858079756745,0.28260628759893897,0.28411031765495043,0.21181387138059501,0.21894727133997932,0.4125384988079456,0.3352451784691557,0.07372675742631928,0.015799020976422915,-0.004213526987114581,0.015025339576283245,0.013382587620916478,0.027266997111178196,0.2368206404817698,0.28761641559332213,0.28126071958355664,0.3692325432283119,0.00508703550024536,0.11341867822464988,0.10672623851295765,0.09493421725805909,-0.007391912663450393,0.22786306039735924,0.1976688523700357,0.11284433850487255
4TQ6,0.11709473123666114,-0.19950525530773106,-0.1337478018555221,-0.17649220896420348,-0.7256251889538043,0.717617567403974,1.0,0.7750779646515742,0.8698959058145231,0.8328080555771525,0.6062150319860502,0.5413946237409019,0.5243395363213581,0.24314346179652518,0.2987796890226541,0.4903500258635817,0.5954535241469421,0.3503557999846712,0.32070200794974874,0.16590187277870339,0.2530812656230886,0.20258696059029974,0.2520516504995733,0.1649290062163916,0.13946418151116818,0.13925730044644713,0.20271118261548884,0.24611411734910724,0.2603982720492577,0.2289920971599488,0.32649385305452655,0.17731985859684105,0.20108243603817208,0.20387094012231602,0.25768268940155953,0.2783505943938692,0.21569911059381155,0.2532751892714824,0.22811738678538165,0.2708837454093351,0.25977262147790126,0.21057799383061146,0.13086579620282854,0.1749618758063918,0.31356191019806,0.26424844341688697,-0.020042552652170764,-0.08050532033712517,-0.13266390265347816,-0.05007877954278914,-0.030800784577066066,-0.06641975333201573,0.2331659822821851,0.31256403515772013,0.2488969786610042,0.3521654565417987,-0.08597956010973995,0.06754646141774336,-0.058438323040855666,0.034737179235758746,0.10693532207945383,0.1742118946731632,0.15377201943949143,0.08915097761535508
IZ20,0.03839036754874344,-0.26313444474175746,-0.17911548525550147,-0.2559497087790049,-0.4772096747293221,0.7700451352946596,0.7750779646515742,1.0,0.8607567955895868,0.8854219869031276,0.4185409684486176,0.32262510637208214,0.33035203061528434,0.5233788542786859,0.3359466751280919,0.4984875437006518,0.5166876529691459,0.4381389761460077,0.31949407858551837,0.2231588048722943,0.2911986731548231,0.19114849871258777,0.27211285648368166,0.1948604811119977,0.14434278218979757,0.1499961012677755,0.23754429671207797,0.29662282498301556,0.27388256371792574,0.22118131608668534,0.3388834425702345,0.18955106987241754,0.2081767005364204,0.17828538479165393,0.31327621753453183,0.3471480274843328,0.26657311411989476,0.315771547447393,0.28976463559825194,0.30606657993187253,0.21658360905748575,0.2320878871929601,0.13878501727519404,0.16589137691788913,0.3694225902905384,0.28262998085889646,0.02240549439841338,-0.037742672832511606,-0.07751597605545565,-0.032531369362157,-0.028699065182469327,-0.046345758850053015,0.257700349663596,0.3258352781046516,0.26328180158941505,0.3515415490907506,-0.010898894041301547,0.06560343660788878,0.048565830560362525,0.04707212325191996,-0.07645084801440533,0.2002367117922719,0.14245028873311533,0.0456623159834947
P5F3,0.05299832679974622,-0.2627317918834831,-0.054322391347070655,-0.2264694667351826,-0.644382347480105,0.7980953658133214,0.8698959058145231,0.8607567955895867,0.9999999999999998,0.9312044693604354,0.5560569544256617,0.5400718383724394,0.47848962199066364,0.4529808181029869,0.3409916912672915,0.49402385125311793,0.5777439492137206,0.4451245894186558,0.34431778857215467,0.2081264678915084,0.2672557425748818,0.19837132273964433,0.24149924953977225,0.18898215315984834,0.18038474219296716,0.17501458245272564,0.25545406301400375,0.305302565278861,0.2994847010245259,0.27371732708657276,0.37218102807148784,0.22378357531344917,0.24347795688737275,0.22860179695531543,0.3118848075108269,0.3287233369209712,0.23991955617671754,0.2835085606815757,0.263934605439239,0.31291260699700607,0.26799031381902355,0.24034261549112895,0.16333108157626125,0.17120962070030696,0.3816937078799901,0.29719035606061445,0.0006425556014547832,-0.03402183899328535,-0.09038175495567617,-0.010368654390160822,-0.004399272039000905,-0.02830672128016409,0.2532108473414379,0.3184456845534616,0.2582050578538406,0.32157716274272263,-0.03922824571052595,0.07138218340244464,-0.02168634692247035,0.050028623390399485,0.11492025147256972,0.20864963693714828,0.24520932891888514,0.1210511432245825
Q58J,0.06779192957158955,-0.23709132084620105,-0.11340973213551774,-0.23497925771451975,-0.5646621574881745,0.7947788642922876,0.8328080555771525,0.8854219869031277,0.9312044693604353,1.0,0.4509948872170749,0.4314943489418773,0.4058996118961347,0.520498235570948,0.3233919083963907,0.5376294006774095,0.556246897498129,0.4436056362901461,0.3455713404637594,0.1963971542083069,0.25357579567029725,0.20323002702288825,0.24846765054510248,0.16775739842763085,0.14660126499836318,0.1413040225644856,0.21994290033316968,0.27436110759832294,0.2673963664490871,0.23963265011188353,0.3376242483175059,0.18392069539309733,0.2090249188772672,0.18978354509134987,0.29200825263676206,0.31972622520265975,0.22996773172191318,0.26980883506188663,0.25110069524601303,0.2776809682710708,0.23984000547693377,0.22126349422881594,0.13721587729992515,0.15461224526050438,0.3443167651400601,0.2620956746973397,-0.00974663004184272,-0.06938054001682026,-0.10997748166320973,-0.04032874350690933,-0.03115472999434748,-0.05312929197788018,0.2495647311097544,0.3166974854954686,0.26602035669703744,0.30396252752157626,-0.03643379583309976,0.06395565471175534,-0.0003603033994330116,0.03870820643003413,0.016844936797867104,0.20590067764712422,0.20381417745275998,0.07999352577673763
