,U26C,50GV,B5I6,9Q6R,X19V,0C7Q,O21U,R7D1,2T6S,6VV2,DC61,X1Y5,3TR7,Q6O0,L3V8,3C6G,6FH5,C22U,I52Y,C88N,J7F9,R9K3,1KB2,08MQ,V55J,0H5E,R42Q,4TQ6,9U7M,94GU,0ED6,R5K7,IZ20,Q58J,E6R3,I07H,4SZ2,51PW,2T7P,0I4U,XU70,L9G5,B23O,O03M,I9D6,3PQ2,UI76,L7J7,SM54,0JO0,K9P0,27SS,P5F3,43FJ,46CD,80GC,AO86,1P0Y,T54A,O6R6,E3B6,UK24,98BT,9T8E
U26C,0.9999999999999999,0.9498861837093513,0.9465126012035736,0.9110353941700251,0.8890683478744142,0.8136035214090515,0.875177682074295,0.8404356711058855,0.7677005448287351,0.7569458655477385,0.8554400654068832,0.8479519049603362,0.9386308368799992,0.9255275721170355,0.764989671699042,0.8097873429841668,0.8596279343588383,0.7429521708050929,0.7529438302085596,0.8206517958086273,0.8655119391330317,0.8763878277855703,0.6509707184836047,0.7200968807225188,0.7202931799656501,0.7230069883756943,0.7341418802296201,0.7802686646913239,0.7461872538590142,0.48796797713405465,0.4641159097943039,0.5026100438367823,0.30187502651638964,0.4380893750555868,0.2003528427951768,0.3616719697249378,0.7108052386953179,0.6480486556356355,0.5915901114783076,0.6446504343616914,0.6095188768734348,0.4357540382515928,0.5941331950570358,0.5516534014418202,0.4962892120040431,0.6285798228371998,0.6636124043360636,-0.9749388922407931,-0.7917847638630118,-0.8250430012207338,-0.7711610293249904,-0.540697108452616,-0.5957577186493044,-0.6328340009185842,-0.7248926594007056,0.10752998616262345,0.3207782164479193,0.10448319194885293,0.20965474105140844,-0.18643625435069988,-0.11824307160372532,-0.01481702942747111,-0.022133661892344343,-0.01360462362858451
50GV,0.9498861837093513,1.0,0.9502880507211047,0.946049690531947,0.9341900089787651,0.819617249808185,0.9244476385792593,0.8712212136103208,0.7316944816616744,0.7672751667474137,0.8360986301116436,0.866109877048614,0.8926646845008257,0.8927142173782238,0.7572873626168116,0.7821409336137042,0.8204656901666652,0.7499661643198736,0.7524723439184091,0.7916389367315664,0.8341619619096312,0.859996732118083,0.6468028178046995,0.7094747485492836,0.6997715367856019,0.6962066347295203,0.7262597607227235,0.7662454695505283,0.7441026230741689,0.488830149637182,0.4597340024546119,0.4954783423978125,0.2778616585100447,0.42806430111865296,0.19581627804782015,0.3641509146118965,0.7093325771257412,0.6417590281864277,0.601955467308554,0.6331069923816947,0.6147028205090089,0.4449961303423232,0.6147886761115932,0.5765572275120331,0.5166905364918328,0.6814002249813272,0.7095923086352997,-0.9300289537913582,-0.788662841469106,-0.8271397321172246,-0.8175804271172328,-0.5624490668012545,-0.5816689044922917,-0.6386383972857586,-0.7012946626698225,0.10896423631861028,0.3159417060738898,0.08005301159321275,0.21164319827993006,-0.214017096236802,-0.128383069843892,-0.022367497177679132,-0.012547901399076168,-0.029672280548287678
B5I6,0.9465126012035736,0.9502880507211047,1.0,0.9212152040285522,0.8944133981057789,0.8114641632229509,0.895401179871967,0.8448794059978745,0.7174990488804199,0.7693597077687946,0.8629703366315451,0.867175312971349,0.8880361397738551,0.8894710807296912,0.7539557897099157,0.7805442562891985,0.8187235575027064,0.7370861393671622,0.75189568010089,0.7919417912524076,0.833648876376265,0.8578288085171072,0.653130607799622,0.7166707018153398,0.708190644087087,0.7005708776183931,0.7216734432642905,0.7620489174988343,0.7275946284630407,0.47470615546034745,0.446837571737742,0.48184574844642597,0.27754728949246527,0.424298840071481,0.20506981911654584,0.3655633640368663,0.6936216580467831,0.6259449230536962,0.5953599952696831,0.6327704682968848,0.6089091287886657,0.44844363632369144,0.6033805805574611,0.571128274787012,0.5080839169013865,0.6463429844541048,0.6722309674512209,-0.9250890632920968,-0.7709513235488176,-0.8220636366119749,-0.788229628700244,-0.5308486813958753,-0.5919233155374222,-0.639772349414149,-0.7108782761429636,0.10877084911963368,0.33643579486221675,0.09604675524241299,0.19984788142776266,-0.20855086687930754,-0.12997677079827913,-0.015106114694763608,-0.005879286975335274,-0.015425535558711487
9Q6R,0.9110353941700251,0.946049690531947,0.9212152040285523,1.0,0.8958271436564897,0.803759114774604,0.8937380045192737,0.813168480677547,0.679221951815653,0.7484063824893925,0.7935782515651346,0.844078055250619,0.8735204818147573,0.8796541909626281,0.7645273573966388,0.7726438351143752,0.8038734270829876,0.7195080443044048,0.7320088667945279,0.7695398733910913,0.7878532496519918,0.8097447277095889,0.6693564997514867,0.7087010635153571,0.7227479779888385,0.724866387664882,0.7279178386941397,0.7696493610912613,0.7471456755973348,0.47520537326154105,0.4835451921363217,0.5161165436679356,0.2515235656549528,0.41283510160500164,0.25032527845652214,0.3654315107525354,0.7066416697450767,0.6507893414843621,0.5709732447777286,0.6291273006954357,0.6029959052981522,0.4394468549940863,0.5998271185560002,0.5604113538488019,0.4762382746509832,0.6699246170958534,0.6448304053310077,-0.9120477518506686,-0.7749754643419767,-0.7889276280100602,-0.7759351516580172,-0.5180206024971984,-0.5716145789838971,-0.6404355474149358,-0.6691791574523919,0.10478665055931659,0.2985085042787327,0.07134955268938799,0.19640450356259026,-0.1899022776784643,-0.14036489334549757,-0.03896203942802132,-0.013578010221429482,-0.046824350456584576
X19V,0.8890683478744142,0.9341900089787651,0.8944133981057788,0.8958271436564897,1.0,0.7794356088963867,0.8825712804853155,0.8497786720480192,0.6932378587777394,0.7264475947115636,0.7893717416718191,0.808105639737219,0.8445826058116888,0.8413038267211452,0.7300022097942188,0.7378587069723972,0.7743688337788471,0.7086169243154538,0.7131089101325854,0.761547695182882,0.7864779237556533,0.8172107527003585,0.6215444982043944,0.6736366447672402,0.6732372966144555,0.660514509581865,0.6958039265800953,0.7266339599567007,0.7111182307980962,0.4570567279714794,0.4163467108304687,0.4514212464585428,0.280591477184825,0.4161853397261717,0.1952593920756871,0.3507885140488278,0.6716506256583512,0.5989684825773003,0.5738352630877607,0.6034543361790327,0.6012393685155495,0.4366836133217204,0.574481207386066,0.546228931884678,0.4788082079957432,0.6520327917047736,0.6654443431458128,-0.8775507311063286,-0.7560619308285567,-0.7808907977252398,-0.7918851786851552,-0.5391829559292601,-0.557001486656168,-0.612202238211915,-0.6751536129161333,0.10694415140901394,0.2930085533809563,0.07323286154572987,0.21372680880932574,-0.20345045282379512,-0.12740822760468296,-0.009642264592725023,-0.015649765963571552,-0.017732188196540336
0C7Q,0.8136035214090513,0.819617249808185,0.8114641632229508,0.803759114774604,0.7794356088963867,0.9999999999999999,0.7659854957576882,0.7554665600748859,0.6229621463317677,0.6993653531536542,0.6999764724770001,0.7657087315695053,0.8107551527809548,0.8271383747558365,0.728184183908084,0.7601373729377094,0.762340963731954,0.7153970917221386,0.7280889873457583,0.7155777496633421,0.7648628164768528,0.7828416920754324,0.6560285300561101,0.7090509779881276,0.6760560381589443,0.6876029503355622,0.6941399531520517,0.6955420023354119,0.7177315645663945,0.4634532084066843,0.4192228834958303,0.4604272557186001,0.2527933145215816,0.3819168091180621,0.25842905651262027,0.3364351737902396,0.6142350739420408,0.5727623573493164,0.5500377798852664,0.6290576901852958,0.567112358173702,0.432736580570329,0.5257163853935835,0.4887444273605173,0.46519718401436794,0.5858536319551867,0.5704208557828861,-0.8149335288977466,-0.6833133859054039,-0.6957442708405184,-0.6871748572195925,-0.5041460847966589,-0.5429995286264779,-0.6462830985639979,-0.6767548466681698,0.11026447906974542,0.2678318545352541,0.10269654539564678,0.18835386947149527,-0.13866925008534522,-0.1791553216637924,-0.023490491207028605,-0.013199542725111889,-0.06887505498882532
O21U,0.8751776820742949,0.9244476385792593,0.895401179871967,0.8937380045192737,0.8825712804853156,0.7659854957576882,1.0,0.830225526403951,0.6410367027193136,0.7245762983710202,0.7975071379572228,0.8471662984676355,0.8169607542639301,0.8200450764142743,0.7228695295782216,0.7036813640856382,0.7409780997890553,0.6838439566707182,0.6937758489237543,0.7384266837019519,0.7636505403183149,0.8005345698679893,0.6234825618524066,0.6551933842419693,0.6674212355565694,0.6491383455270401,0.6602952503595874,0.6727512625904414,0.6723898015135158,0.40866644184179407,0.3999414572397309,0.4273586670745511,0.26019392191476226,0.39442045955859034,0.14062938408679024,0.33379789908664287,0.6202742330582115,0.5626605970469277,0.5492392113256488,0.5690545787591754,0.567244346953225,0.448463047601527,0.5477055115386318,0.5513450275639638,0.4610863842395767,0.6615953691777141,0.6475136490346484,-0.8611742262044926,-0.7724900685542849,-0.7692724172823115,-0.7907931899085984,-0.4715563248801411,-0.5407773781170084,-0.5974521851660309,-0.6371268721942396,0.11678095758294275,0.3704744758933107,0.13499583871592002,0.25561748561774705,-0.23139984663284338,-0.07740644980764042,0.010320411512003509,0.03512972705663027,0.06816105820236673
R7D1,0.8404356711058855,0.8712212136103208,0.8448794059978745,0.813168480677547,0.849778672048019,0.7554665600748859,0.830225526403951,1.0,0.6837482673108372,0.706411007039665,0.714938286844589,0.7685589179803161,0.7959752330046984,0.7923804923725668,0.6824741043324792,0.6986145107195546,0.7464779679267376,0.7508423224548754,0.7356741627791933,0.8254581317484795,0.841929244326383,0.8921860937083089,0.6296242119516952,0.6619741901185896,0.6430877868684312,0.615758292206949,0.6507270962264543,0.6957233752335118,0.6503196831414617,0.41807324320768857,0.2997034111971457,0.3354830770377258,0.26022969522074463,0.3970988625794203,0.14638954091268797,0.3300983005336082,0.6533310761397595,0.5164512374863328,0.5539293473792914,0.562330158835059,0.6004026859607744,0.46417080005899614,0.5635881446425092,0.5648726310208686,0.5468395510163607,0.5964837530427668,0.7708582312245832,-0.8074386858386189,-0.7241969213505141,-0.7508143684884344,-0.7945813455601418,-0.5486039774429657,-0.5482814421406563,-0.5986280211079326,-0.7090401098620067,0.11853407745916915,0.33795108499609217,0.11148494283832261,0.3176552891386965,-0.2714435979990211,-0.10459398572593288,0.05449859367843061,-0.019954958607090182,0.013873875857535235
2T6S,0.7677005448287351,0.7316944816616744,0.71749904888042,0.679221951815653,0.6932378587777395,0.6229621463317677,0.6410367027193136,0.6837482673108372,1.0,0.5726007402746428,0.7328138773456939,0.6674319586690947,0.798597181501253,0.7538193555856258,0.6067285971300997,0.6715241005039989,0.7151480623825113,0.661187418172313,0.6763246837219735,0.7700378316060494,0.7787331946668629,0.7554202433171538,0.4261057750559657,0.5724414137868369,0.5463399959242717,0.5780474263275146,0.5474215836099049,0.6848454834654065,0.5982111139281132,0.4217001749407817,0.39819297611173504,0.45122148437616716,0.3302708483149143,0.2988920326299603,0.08928369219291182,0.29039270276283075,0.661545139985982,0.5779010040783974,0.64964465042021,0.5583831835165256,0.49291372767712016,0.41944980291485406,0.47288307165033616,0.39483977762225625,0.5670435203468925,0.48101027307217636,0.6816877935421405,-0.777975096767965,-0.5285153122174604,-0.8133175713913414,-0.5807012095209995,-0.6031451152443593,-0.4050625098891549,-0.47026916400605295,-0.6216884736206365,0.033875646792065305,0.19840766792645287,-0.0821004687949526,0.04003762352935527,-0.159901336047777,-0.06555412368899541,-0.04151991533955406,-0.02436641152887874,0.02236277844973936
6VV2,0.7569458655477386,0.7672751667474137,0.7693597077687945,0.7484063824893925,0.7264475947115636,0.6993653531536542,0.7245762983710201,0.706411007039665,0.5726007402746429,1.0,0.6727715752995712,0.735737683215516,0.7144332879274179,0.7223072611801499,0.6186849006435129,0.6299412253962154,0.6578216689372737,0.6290306696140995,0.6373832079975387,0.651957903413494,0.6866021880291286,0.7191468751863372,0.5518394887760499,0.5971864826660779,0.5670429085049743,0.5766378442556576,0.5807937664059245,0.5797770361621857,0.5802952138081904,0.3994814566660225,0.35280042569712444,0.37947735834304847,0.193103812538374,0.31503150034958666,0.2009607553384443,0.3156059685122659,0.5381584963956633,0.4970256598151364,0.501696969580075,0.5085444220412961,0.4945887118763735,0.3910783693668695,0.5018630865707427,0.4844598798394384,0.5424206030387762,0.5372467979616007,0.5618617513078898,-0.7410017420518435,-0.636217505532588,-0.6599752896745539,-0.658102562619163,-0.5100105768904283,-0.48297896147559904,-0.5422628844609517,-0.572695829780221,0.09539872251469562,0.29687156101087236,0.11366512211741697,0.1642627963330854,-0.16504424073014687,-0.12227551653760939,-0.008642726643982346,-0.0030454032793068796,-0.03762953803785157
