,yes_count,mean_fwhm,mean_resels,log_resels,smoothing_coef,package,testing,fmriprep,movement,median_thresh_vox,log_median_thresh_vox,median_corr,mean_confidence,mean_similar
08MQ,3,13.140110041610747,287.6542222222222,5.661759141533655,6,FSL,randomise,0,1,5220.0,8.560444233410552,0.7865875301339378,6.888888888888889,6.333333333333333
0C7Q,1,8.329759347648027,75.30996666666667,4.321612485498193,6,Other,randomise,1,1,45323.0,10.721591972500457,0.8490634963682612,8.222222222222221,8.555555555555555
0ED6,1,7.4224565579575845,51.807722222222225,3.9475392158035465,5,SPM,parametric,0,1,13.0,2.6390573296152584,0.5100482638019559,7.888888888888889,7.111111111111111
0H5E,2,13.476728902019243,308.856,5.732875148859473,9,SPM,parametric,0,0,0.0,0.0,0.8063504631611619,5.888888888888889,5.777777777777778
0I4U,1,8.169310976749872,69.05203333333333,4.2348603266821785,5,SPM,parametric,0,1,4.0,1.6094379124341003,0.7451999285183076,7.777777777777778,7.333333333333333
0JO0,1,7.233513279133395,48.129422222222225,3.8738936787181806,5,Other,parametric,1,1,0.0,0.0,0.4170129356987813,5.222222222222222,5.222222222222222
16IN,2,,,,4,Other,Other,1,0,,,,6.888888888888889,6.555555555555555
1K0E,6,,,,4,Other,permutations,0,1,,,,7.222222222222222,6.333333333333333
1KB2,0,12.058462448203844,223.99244444444446,5.411612321127435,7,FSL,parametric,0,1,503.0,6.222576268071369,0.7667429999167309,6.777777777777778,6.888888888888889
1P0Y,2,8.890455780769669,88.5599,4.4836791592217855,5,SPM,parametric,0,0,3576.0,8.182279739259018,0.4535332043475717,5.444444444444445,5.444444444444445
27SS,1,10.336843886706653,139.7303333333333,4.939714374642602,6,AFNI,parametric,0,1,1503.0,7.315883504509785,0.64625650254062,6.222222222222222,6.0
2T6S,4,14.172548115886121,364.51855555555557,5.8985774570269545,8,SPM,parametric,1,1,538.0,6.289715570908998,0.6269383316001058,8.11111111111111,7.0
2T7P,0,6.3152097975750765,33.56411111111111,3.5134573744275346,2,Other,ARI,0,1,,,0.5917774138286983,8.0,5.0
3C6G,3,12.28575489701181,242.57244444444444,5.491300405740726,6,SPM,parametric,0,1,1205.0,7.095064377287131,0.8963498291392886,7.222222222222222,7.111111111111111
3PQ2,2,5.538716590438005,21.509033333333335,3.068473001931964,4,FSL,parametric,0,1,433.0,6.073044534100405,0.6712864361336979,7.666666666666667,6.222222222222222
3TR7,1,15.236787614259836,453.8065555555556,6.117671018154921,8,SPM,parametric,1,1,0.0,0.0,0.9459539786936844,4.777777777777778,5.777777777777778
43FJ,2,10.542737168558682,154.54313333333334,5.0404732375252985,5,FSL,parametric,0,1,2143.0,7.670428522190693,0.7139877688959726,7.333333333333333,5.555555555555555
46CD,3,10.268012999924679,138.01056666666668,4.927330252274177,8,Other,parametric,0,1,4546.0,8.42222295382501,0.8362957820586856,7.777777777777778,7.777777777777778
4SZ2,7,8.485113273108517,80.99686666666668,4.394410470796656,5,FSL,parametric,1,0,14089.0,9.553220604892726,0.4782147481818633,7.111111111111111,6.666666666666667
4TQ6,2,14.815783502152609,414.95944444444444,6.02818079122512,6,FSL,randomise,1,0,96654.0,11.478903216355793,0.62295844844764,8.777777777777779,8.88888888888889
50GV,5,9.023441261876219,96.97043333333335,4.5744061210425055,5,FSL,parametric,1,0,6231.0,8.737452587550584,0.9273864695654488,10.0,7.888888888888889
51PW,2,10.006751045851127,133.0310777777778,4.890582768427843,5,FSL,parametric,1,1,2512.0,7.829232537543592,0.6992561638819202,7.444444444444445,7.111111111111111
5G9K,0,,,,4,SPM,parametric,1,1,,,,7.0,7.0
6FH5,2,11.272357702244696,184.11311111111112,5.215550303036773,6,SPM,parametric,0,1,2327.0,7.752764808851328,0.9214259888876845,7.888888888888889,7.555555555555555
6VV2,1,6.477365820733003,35.860800000000005,3.5796447769075095,4,AFNI,parametric,0,1,511.0,6.238324625039508,0.7792961085895704,7.444444444444445,6.666666666666667
80GC,4,4.069614617798998,8.831897777777776,2.1783699153936853,0,AFNI,parametric,1,1,9456.0,9.154510487015513,0.3477467456079623,6.333333333333333,5.555555555555555
94GU,1,10.550065263654155,148.75466666666665,5.002298416482651,8,SPM,parametric,0,1,524.0,6.263398262591624,0.5840149431278951,8.0,8.0
98BT,4,11.755932478614753,207.96,5.337345753515515,8,SPM,parametric,0,1,16.0,2.833213344056216,0.8678048181487408,7.888888888888889,7.222222222222222
9Q6R,5,9.031676268704393,98.72886666666665,4.592377372439339,5,FSL,parametric,0,1,811.0,6.699500340161678,0.8780213835568216,9.333333333333334,8.0
9T8E,0,10.883499029339061,165.30922222222225,5.10781779408877,8,SPM,permutations,1,1,461.0,6.135564891081739,0.0674515623323406,4.888888888888889,4.0
9U7M,3,12.807880127479196,276.39000000000004,5.62181291178895,6,Other,parametric,0,1,0.0,0.0,0.8445834002028009,8.11111111111111,8.11111111111111
AO86,1,7.820793737019282,61.74896666666666,4.123077241225019,5,Other,randomise,1,1,920.0,6.825460036255307,0.3509116771157318,7.0,3.888888888888889
B23O,1,3.31276515989433,4.631,1.532772827498615,0,FSL,randomise,1,0,6941.0,8.845345196421732,0.5161555317386135,6.777777777777778,5.777777777777778
B5I6,3,8.765288683573589,88.94593333333334,4.488028694498235,5,FSL,randomise,1,1,1602.0,7.3796321526095525,0.9089890766006664,7.444444444444445,7.222222222222222
C22U,4,10.199780580049698,136.47345555555555,4.91613013091982,5,FSL,parametric,0,0,3882.0,8.264363329731667,0.8289336122963953,7.666666666666667,8.222222222222221
C88N,1,11.498851964525413,191.45055555555555,5.254629579750149,8,SPM,parametric,1,0,4199.0,8.34283980427146,0.8551986325072464,7.111111111111111,6.111111111111111
DC61,3,8.47236974497399,79.14214444444444,4.371245532436823,5,SPM,parametric,1,1,213.0,5.365976015021851,0.3740831505786618,4.666666666666667,7.333333333333333
E3B6,3,11.074643735338874,179.57786666666667,5.19060891145125,6,SPM,parametric,1,1,0.0,0.0,0.3791829797077031,6.555555555555555,6.444444444444445
E6R3,4,8.329894701020962,75.91167777777778,4.329570529981473,5,Other,Other,1,1,14589.0,9.588091641516831,0.8446053747374171,5.444444444444445,5.0
I07H,2,6.118948609712094,31.071315555555557,3.4362850641743456,4,Other,permutations,1,0,92366.0,11.433525050981935,0.3899929942246133,6.333333333333333,6.333333333333333
I52Y,1,10.213097350820512,138.9085777777778,4.933816002913129,5,FSL,randomise,0,1,942.0,6.849066282633458,0.8476214326814662,8.0,6.555555555555555
I9D6,0,5.818829825732374,25.06996666666667,3.221670582558894,4,AFNI,parametric,0,1,2177.0,7.686162303492906,0.4868272973484588,6.222222222222222,4.888888888888889
IZ20,5,19.36958569501072,960.6391111111111,6.867598803695561,6,Other,parametric,0,0,48235.0,10.783860909223483,0.5889317763151938,6.777777777777778,7.333333333333333
J7F9,1,13.287794750729226,301.14077777777777,5.707577855669598,8,SPM,parametric,1,1,5805.0,8.666647144584575,0.8913072190818246,8.444444444444445,7.777777777777778
K9P0,2,7.101767808678925,47.08543333333333,3.8519636821337224,4,AFNI,parametric,1,1,1110.0,7.01301578963963,0.8652074599050916,9.0,7.888888888888889
L1A8,5,,,,6,SPM,parametric,0,1,,,,6.333333333333333,6.333333333333333
L3V8,2,12.686300889320982,266.069,5.583755673639967,6,SPM,parametric,0,0,1541.0,7.340835554123275,0.8663468858520919,9.0,8.666666666666666
L7J7,3,10.56586357242898,152.2688222222222,5.02564752602416,6,SPM,parametric,1,1,4179.0,8.338066525518801,0.9176491814861056,8.222222222222221,8.222222222222221
L9G5,4,7.525486756756155,53.413755555555554,3.978068307467663,5,FSL,parametric,0,0,8040.0,8.99230873254815,0.3103710179205606,7.111111111111111,7.666666666666667
O03M,1,3.0969719035476255,3.867436666666667,1.3525919275499179,0,AFNI,permutations,1,1,298.0,5.700443573390687,0.5383395413323591,6.333333333333333,7.666666666666667
O21U,3,8.22254176240743,71.37074444444444,4.267888043704034,5,FSL,parametric,1,1,6263.0,8.74257423767064,0.8659560223376784,8.0,5.222222222222222
O6R6,1,2.807796659420203,2.80659,1.03197022329855,0,FSL,randomise,1,0,64071.0,11.067762730003519,0.1940130885282693,8.0,4.111111111111111
P5F3,5,12.51410766580211,262.0572666666667,5.568563054940661,4,FSL,parametric,0,1,55531.0,10.924714710154692,0.6709126372739052,5.444444444444445,5.666666666666667
Q58J,6,14.951157106865756,437.67055555555555,6.081466471099145,4,FSL,parametric,0,0,60296.0,11.007037630233862,0.6032522665835565,9.0,8.11111111111111
Q6O0,1,13.691451365013098,327.59644444444444,5.79178249857583,8,SPM,parametric,1,1,50.0,3.9318256327243257,0.9497452926611228,7.777777777777778,7.444444444444445
R42Q,6,12.567243112917067,252.17244444444447,5.530113156833614,6,Other,parametric,0,1,18056.0,9.801288700215881,0.4557566288716706,6.333333333333333,6.0
R5K7,4,11.48028132593258,190.77977777777778,5.251119766907587,8,SPM,parametric,0,1,36.0,3.6109179126442243,0.5559958241828683,7.555555555555555,6.555555555555555
R7D1,2,7.899725668338964,64.80594444444444,4.17139733440458,5,Other,randomise,1,1,3228.0,8.079927770758275,0.8554405175862395,6.666666666666667,6.444444444444445
R9K3,5,10.735709722203492,160.39622222222224,5.077647142924521,6,SPM,parametric,1,1,2984.0,8.001355025826703,0.902083422521386,4.444444444444445,5.222222222222222
SM54,1,7.298178966631015,49.83422222222222,3.9087019412387782,5,Other,parametric,1,1,631.0,6.448889394146858,0.5159974436370539,7.222222222222222,5.222222222222222
T54A,5,11.14268157947083,175.82044444444443,5.1694632722576515,4,FSL,randomise,1,0,2412.0,7.7886260656250315,0.3711578474257799,6.111111111111111,6.666666666666667
U26C,1,9.485750025403522,109.87325555555556,4.699327479251825,5,SPM,parametric,1,1,5.0,1.791759469228055,0.9191341022329168,8.333333333333334,6.666666666666667
UI76,3,5.7001347088472185,24.008,3.178387108138066,4,AFNI,parametric,1,1,12199.0,9.409191230721348,0.578933103762633,8.555555555555555,6.888888888888889
UK24,0,8.772372055274998,96.58088888888888,4.570380884056893,4,SPM,parametric,0,0,445.0,6.100318952020064,0.0179561911813053,4.0,4.555555555555555
V55J,2,11.703899317030114,204.46355555555556,5.3203897471588615,6,SPM,parametric,0,0,2721.0,7.909122183211411,0.7763547959992594,5.888888888888889,5.333333333333333
VG39,3,,,,5,SPM,parametric,1,0,,,,7.333333333333333,6.333333333333333
X19V,1,7.579850540240967,56.622666666666674,4.036409376184492,5,FSL,parametric,1,1,5235.0,8.56331312702979,0.8708530835765623,7.555555555555555,6.777777777777778
X1Y5,1,8.356739744664601,75.31472222222222,4.321675629934768,4,Other,randomise,1,1,1940.0,7.57095858316901,0.7557679186663001,7.111111111111111,6.222222222222222
X1Z4,3,,,,2,Other,permutations,0,1,,,,5.333333333333333,7.777777777777778
XU70,4,7.53268157878817,57.39015555555555,4.04987278261591,5,FSL,parametric,0,1,30327.0,10.31982665719617,0.6446729527043633,7.333333333333333,6.333333333333333
