u_teamid,id,AME,lower,upper,error,z,p,AME_Z,lower_Z,upper_Z,inv_weight,DV,main_IV_type,main_IV_source,main_IV_measurement,main_IV_time,main_IV_effect,package,num_countries,team_size,Hresult,AME_sup_p05,AME_neg_p05,AME_ns_p05,countries,software,iv_type,Jobs,Unemp,IncDiff,OldAge,House,Health,Scale,Stock,Flow,ChangeFlow,main_IV_as_control,twowayfe,cluster_any,mlm_any,mlm_re,mlm_fe,hybrid_mlm,level_cyear,level_country,level_year,country_dummies_only,year_dummies_only,year_as_count,logit,ologit,lpm,listwise,multimpute,ols,mlogit,ml_glm,bayes,L2boots,weights,pseudo_pnl,stata,r,mplus,spss,mlwin,dichotomize,categorical,mmodel,unbalpanel,w1985,w1990,w1996,w2006,w2016,AU,AT,BE,BG,CA,CL,HR,CY,CZ,DK,FI,FR,DE,HU,IS,IN,IE,IL,IT,JP,KR,LV,LT,NT,NZ,NO,PH,PL,PT,RU,SK,SI,ES,SE,CH,UK,US,ZA,TW,TR,UY,VE,orig13,orig17,eeurope,allavailable,emigration_ivC,emplrate_ivC,socx_ivC,unemprate_ivC,gdp_ivC,unchange_ivC,poverty_ivC,fbunemprate_ivC,fbunempchange_ivC,fbeducrate_ivC,fbeducratechange_ivC,socxchg_ivC,gdpchange_ivC,ginin_ivC,mcp_ivC,regime_ivC,socialistdummy_ivC,targeting_ivC,socx_programspecific_ivC,conservatism_ivC,decomm_ivC,tradeunion10_ivC,subFB_ivC,socult_ivC,fract_ivC,antiimm_ivC,pop_ivC,age_iv,age2_iv,sex_iv,employed_iv,income_iv,occclass_iv,occstatus_iv,education_iv,married_iv,household_iv,reldenom_iv,relattend_iv,publice_iv,urban_iv,fb_iv,cuts_iv,taxes_iv,upol_iv,leftright_iv,trust_iv,efficacy_iv,fbXnet,netXcons,netXeduc,netXage,netXsex,netXunemp,netXinc,fbXeduc,fbXage,fbXsex,fbXunemp,fbXgini,fbXurban,fbXinc,squared_imm,fractXfb,fbXleftright,anynonlin,u_expgroup1,backgr_degree1,backgr_degree_other1,backgr_exp_teach_stat1,backgr_exp_famil_mlm1,belief_H1_11,belief_agecare_11,belief_unempl_11,belief_income_11,belief_housing_11,belief_labour_11,belief_health_11,belief_certainty_11,attitude_immigration_11,attitude_importance_11,belief_H1_21,belief_agecare_21,belief_unempl_21,belief_income_21,belief_housing_21,belief_labour_21,belief_health_21,belief_certainty_21,delib_success1,delib_changemind1,delib_learn1,delib_gooddifficulty1,delib_enjoy1,delib_notcontrolling1,belief_H1_31,belief_agecare_31,belief_unempl_31,belief_income_31,belief_housing_31,belief_labour_31,belief_health_31,belief_certainty_31,backgr_pub_immigration1,backgr_pub_statistics1,backgr_pub_mlm1,model_eval1,u_expgroup2,backgr_degree2,backgr_degree_other2,backgr_exp_teach_stat2,backgr_exp_famil_mlm2,belief_H1_12,belief_agecare_12,belief_unempl_12,belief_income_12,belief_housing_12,belief_labour_12,belief_health_12,belief_certainty_12,attitude_immigration_12,attitude_importance_12,belief_H1_22,belief_agecare_22,belief_unempl_22,belief_income_22,belief_housing_22,belief_labour_22,belief_health_22,belief_certainty_22,delib_success2,delib_changemind2,delib_learn2,delib_gooddifficulty2,delib_enjoy2,delib_notcontrolling2,belief_H1_32,belief_agecare_32,belief_unempl_32,belief_income_32,belief_housing_32,belief_labour_32,belief_health_32,belief_certainty_32,backgr_pub_immigration2,backgr_pub_statistics2,backgr_pub_mlm2,model_eval2,u_expgroup3,backgr_degree3,backgr_degree_other3,backgr_exp_teach_stat3,backgr_exp_famil_mlm3,belief_H1_13,belief_agecare_13,belief_unempl_13,belief_income_13,belief_housing_13,belief_labour_13,belief_health_13,belief_certainty_13,attitude_immigration_13,attitude_importance_13,belief_H1_23,belief_agecare_23,belief_unempl_23,belief_income_23,belief_housing_23,belief_labour_23,belief_health_23,belief_certainty_23,delib_success3,delib_changemind3,delib_learn3,delib_gooddifficulty3,delib_enjoy3,delib_notcontrolling3,belief_H1_33,belief_agecare_33,belief_unempl_33,belief_income_33,belief_housing_33,belief_labour_33,belief_health_33,belief_certainty_33,backgr_pub_immigration3,backgr_pub_statistics3,backgr_pub_mlm3,model_eval3,belief_strength,belief_1_avg,belief_2_avg,belief_ipred
0,t0m1,-0.01117,-0.01556,-0.00679,0.00439,-4.98661,1e-05,-0.01117,-0.01556,-0.00679,0.0208333333333333,Jobs,Stock,WDI,"Immigrant, foreign-born",current,Total,logit,13,2,Reject,,,,13,stata,Stock,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,t0m2,0.00014,-0.00442,0.0047,0.00456,0.06009,0.95208,0.00014,-0.00442,0.0047,0.0208333333333333,Unemp,Stock,WDI,"Immigrant, foreign-born",current,Total,logit,13,2,Reject,,,,13,stata,Stock,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,t0m3,-0.01073,-0.01529,-0.00618,0.00456,-4.625,1e-05,-0.01073,-0.01529,-0.00618,0.0208333333333333,IncDiff,Stock,WDI,"Immigrant, foreign-born",current,Total,logit,13,2,Reject,,,,13,stata,Stock,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,t0m4,0.0042,0.00102,0.00739,0.00318,2.59259,0.00953,0.0042,0.00102,0.00739,0.0208333333333333,OldAge,Stock,WDI,"Immigrant, foreign-born",current,Total,logit,13,2,Reject,,,,13,stata,Stock,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,t0m5,-0.00058,-0.00569,0.00453,0.00511,-0.22222,0.82414,-0.00058,-0.00569,0.00453,0.0208333333333333,House,Stock,WDI,"Immigrant, foreign-born",current,Total,logit,13,2,Reject,,,,13,stata,Stock,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,t0m6,-0.00504,-0.00783,-0.00226,0.00279,-3.5493,0.00039,-0.00504,-0.00783,-0.00226,0.0208333333333333,Health,Stock,WDI,"Immigrant, foreign-born",current,Total,logit,13,2,Reject,,,,13,stata,Stock,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,t0m7,-0.01153,-0.01594,-0.00713,0.00441,-5.12444,1e-05,-0.01153,-0.01594,-0.00713,0.0208333333333333,Jobs,Stock,WDI,"Immigrant, foreign-born",current,Total,logit,13,2,Reject,,,,13,stata,Stock,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,t0m8,-2e-05,-0.00466,0.00461,0.00464,-0.00847,0.99324,-2e-05,-0.00466,0.00461,0.0208333333333333,Unemp,Stock,WDI,"Immigrant, foreign-born",current,Total,logit,13,2,Reject,,,,13,stata,Stock,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,t0m9,-0.0112,-0.01579,-0.00661,0.00459,-4.78632,1e-05,-0.0112,-0.01579,-0.00661,0.0208333333333333,IncDiff,Stock,WDI,"Immigrant, foreign-born",current,Total,logit,13,2,Reject,,,,13,stata,Stock,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,t0m10,0.00368,0.00032,0.00704,0.00336,2.15205,0.03139,0.00368,0.00032,0.00704,0.0208333333333333,OldAge,Stock,WDI,"Immigrant, foreign-born",current,Total,logit,13,2,Reject,,,,13,stata,Stock,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
