studytab_name,country,regiongroup,groupsize,teacherexperience,contacthours,participantgroup,participanttype,activecontroltype,interventiontype,USA,nr_rand,sample_category,age_mean_sd,women,outcomes,intervention,controls,timepoints,d1,d2,d3,d4,d5,developedadapted,taught,coi,excludeAErisk
?tefan 2018,Romania,3,"Y, 9 to 12",2,12,3,1.universal,,2,no,71,Undergraduates (1),18.92 (1.04),93%,"Anx, Dep, Dis, Self",MBSR (2),Waitlist (1),Post-int,Some,High,High,High,Some,N,Y,N,no
Aeamla-Or 2015,Thailand,5,check,2,27.5,3,1.universal,,3,no,127,Nursing students (1),19.17 (0.86),91%,"Dep, Dis, Mindf, Real func, Self",MBSR (3),Treatment as usual- from the University Mental Health Counselling Centre (1),"Post-int, 8w, 24w",Low,Low,Low,High,Some,N,Y,NR,no
Agee 2009,US,1,"Y, NR",2,5,1,1.universal,1,1,yes,43,Nonclinical community adults (1),41.63 (13.04),91%,"Dis, Mindf",Mindfulness meditation (1),Progressive Muscle Relaxation (3),"Post-int, 1m, 3m",Some,High,High,High,High,N,Y,NR,yes
Allen 2012,Denmark,3,"Y, NR",2,12,1,1.universal,,1,no,61,Community adults (1),NA,55%,Cog,Mindfulness training (1),Shared Reading and Learning (2),Post-int,Some,High,High,Some,Some,N,N,N,yes
Amutio 2015,Spain,3,"Y, 21",1,28,4,2.selective,,3,no,42,Physicians (2),47.31 (9.42),57%,"Mindf, Real func",MBSR (3),Waitlist (1),Post-int,Some,High,High,High,Some,N,NR,N,yes
Anclair 2018,Sweden,3,"Y, NR",2,16,5 (parent of children with chronic conditions),2.selective,2,2,no,21,Parents of children with chronic conditions (2),41 (6.1),93%,"Dis, Real func",Here and Now Version 2.0 (2),CBT intervention (3),Post-int,Some,High,Some,High,Some,N,N,NR,yes
Anderson 2007,Canada,1,"Y, NR",1,16,1,1.universal,,3,no,86,Healthy adults (1),39.35,92%,"Anx, Cog, Dep",MBSR (3),Waitlist (1),Post-int,Some,High,High,High,Some,N,NR,NR,no
Armstrong 2016,UK,3,"Y, NR",1,16,3 and 1,3.indicated,,2,no,34,University students and staff identified as having difficulties coping with stress (3),29.55 (8.42),91%,"Anx, Dep, Mindf, Real func, Self",MBCT (2),‘Get Self-Help’ online course (http://www.getselfhelp.co.uk/) (2),1m,Low,Some,High,High,Some,Y,Y,NR,yes
Arredondo 2017,Spain,3,"Y, NR",1,15,1,1.universal,,2,no,40,Employees (1),36.6 (5.6),78%,"Dis, Mindf, Real func, Self",Brief integrated mindfulness practices (M-PBI) (2),Waitlist (1),"Post-int, 3m",Some,High,High,High,Some,Y,NR,Y,no
Astin 1997,US,1,"Y, 14",2,16,3,1.universal,,3,yes,28,Undergraduate health students (1),NA,64%,Dis,MBSR (3),Waitlist (1),Baseline,Some,High,High,High,Some,N,Y,NR,no
Asuero 2014,Spain,3,"Y, 21 for one group and 22 for other",1,28,4,2.selective,,3,no,68,Primary health care professionals (2),47 (8),92%,"Mindf, Real func",MBSR (3),Waitlist (1),Post-int,Some,High,High,High,Some,Y,N,NR,no
Auseron 2018,Spain,3,"Y, NR",1,20,4,2.selective,,2,no,48,Primary care health professionals (2),49.9 (8.2),84%,"Dis, Mindf, Real func, Self",Mindfulness y autocompasión  (2),No intervention (1),Post-int,Low,Some,High,High,High,Y,NR,NR,yes
Barrett 2012,US,1,"Y, NR",1,27.5,2,2.selective,3,3,yes,154,Older adults (2),59.3 (6.6),82%,"Dis, WB, Mindf, Somat, Real func",Mindfulness meditation (3),a) Waitlist (1) b) Exercise program (3),"Post-int, 3m",Low,High,Low,High,Some,N,N,NR,yes
Barrett 2018,US,1,"Y, 14 to 16",1,25,1,1.universal,3,3,yes,413,Adults aged 30 to 69 years (1),49.6 (11.6),76%,"Dep, Dis, WB, Mindf, Somat, Real func",MBSR (3),a) No intervention (1) b) Progressive moderate intensity exercise (3),"Post-int, 2m, 3m, 6m",Low,Some,Low,High,Low,N,N,N,yes
Beattie 2017,Australia,6,"Y, NR",1,16,5 (pregnant women),2.selective,2,2,no,48,Pregnant women (2),28.7,100%,"Dep, Dis, Mindf",Mindfulness in Pregnancy Intervention (MiPP) (2),Pregnancy Support Active Control Intervention (PSP) (3),"Post-int, 6w",Low,Some,High,High,Low,Y,Y,N,yes
Behbahani 2018,Iran,4,"Y, NR",2,12,5 (parents of children with ADHD),2.selective,,1,no,60,Parents/carers (2),NA,100%,Dis,Mindful Parenting Training (1),No intervention (1),"Post-int, 2m",Some,High,High,High,Some,N,NR,N,yes
Benn 2012,US,1,"Y, NR",1,36,5 (parents and educators of children with special needs),2.selective,,2,yes,70,Parents and educators of children with special needs (2),26 - 60,92%,"Dep, Dis, WB, Mindf, Self",SMART-in-Education (Stress Management and Relaxation Techniques) program (2),Waitlist (1),"Post-int, 2m",Some,High,High,High,Some,N,NR,NR,no
Berghmans 2010,France,3,"Y, 15 to 20",2,27.5,3,1.universal,,3,no,26,Students (1),27.52 (5.8),78%,"Anx, Dep",MBSR (3),No intervention (1),Post-int,Some,High,High,High,Some,N,NR,NR,no
Black 2015,US,1,"Y, NR",1,12,2,3.indicated,2,1,yes,49,Older adults with sleep disturbance (3),66.3 (7.4),67%,"Anx, Dep, Dis, Mindf, Somat",MAPs (1),Sleep Hygiene and Education (SHE) (3),Post-int,Low,Some,Some,High,Some,N,N,NR,yes
Brown 2016,US,1,"Y, 10-20",1,14,5 (carers),2.selective,,3,yes,38,Carers (2),61.14 (10.41),84%,"Dis, Real func",MBSR (3),near-structurally equivalent to standard Social Support (SS) (2),"Post-int, 3m",Some,Some,Low,High,Some,N,NR,N,yes
Carmody 2011,US,1,"Y, approx. 25",1,27.5,5 (meno and -post-menopausal women),2.selective,,3,yes,110,Menopausal and postmenopausal women (2),53 (4.9),100%,"Anx, Dep, Dis, Mindf, Somat",MBSR (3),Waitlist (1),"Post-int, 9 to 20w change",Low,High,High,High,Some,N,N,N,no
Carson 2004,US,1,"Y, 6 to 8 couples per group",1,27,1,1.universal,,2,yes,114,Non-distressed heterosexual couples (1),38 (11.43),50%,Dis,Mindfulness-Based Relationship Enhancement (2),Waitlist (1),"Post-int, 3m",Some,High,High,High,Some,Y,Y,NR,no
Cerna 2019,Chile,2,"Y, NR",1,6,1,1.universal,,1,no,103,General adults (1),30.9,75%,"Dep, WB",Brief mindfulness training program (1),Waitlist (1),Post-int,Low,High,High,High,Some,N,NR,N,yes
Christopher 2018,US,1,"Y, 30 participants halved",2,22,6,2.selective,,1,yes,61,Law enforcement officers (2),43.99 (6.07),13%,"Anx, Cog, Dep, Dis, Somat, Real func, Self",Mindfulness-Based Resilience Training (MBRT) (1),Waitlist (1),"Post-int, 3m",Some,High,Some,High,Some,Y,Y,Y,no
Cohen-Katz 2004,US,1,"Y, NR",1,26,4,2.selective,,3,yes,27,Healthcare workers (2),46,100%,"Dis, Mindf, Real func",MBSR (3),Waitlist (1),Post-int,Some,High,High,High,Some,N,Y,NR,yes
Corsica 2014,US,1,"Y, NR",1,5,"5 (people who “eat poorly when stressed and worry about weight gain,”)",3.indicated,2,3,yes,53,"People who “eat poorly when stressed and worry about weight gain,” (3)",45.4 (10.4),98%,"Dis, Real func",a) MBSR merged with b) MBSR plus Stress-eating intervention (3),Stress-eating intervention (3),"Post-int, 6w",Some,High,High,High,Some,N,Y,N,yes
Cousin 2016,UK,3,"Y, NR",1,16,1,1.universal,,2,no,87,Adults (1),49 (13),77%,"Dis, WB",MBCT (2),Waitlist (1),Post-int,Some,High,High,High,Some,N,NR,NR,yes
DamiaoNeto 2019,Brazil,2,"Y, 45",1,12,3,1.universal,,1,no,141,Medical students (1),18.97,50%,"Anx, Dep, Dis, Mindf",Mindfulness meditation (1),‘Introduction to University Life’ classes (2),Post-int,Some,Some,High,High,Some,N,Y,N,no
Davidson 2003,US,1,"Y, NR",1,27,1,1.universal,,3,yes,48,Healthy employees (1),36,71%,"Anx, Dis, WB",MBSR (3),Waitlist (1),"Post-int, 4m",Some,High,High,High,Some,N,NR,NR,no
DeVibe 2013,Norway,3,"Y, NR",1,15,3,1.universal,,3,no,293,Health undergraduate students (1),23.8 (5.2),76%,"Dis, WB, Mindf, Real func",MBSR (3),No intervention (1),"Post-int, 2y, 4y, 6y, 3y after final exam?** ",Low,High,High,High,Some,N,Y,N,no
Delgado 2010,Spain,3,"Y, NR",1,10,3,1.universal,1,1,no,36,Female university students (1),18 - 24,100%,"Anx, Dep, Dis, WB",Mindfulness training (1),Relaxation training programme (3),Post-int,Some,High,High,High,Some,N,NR,NR,yes
Delgado-Pastor 2015,Spain,3,"Y, NR",2,6,3,1.universal,,1,no,45,Female university students (1),21.5 (3.94),100%,"Dep, Dis, WB, Mindf",a) Mindfulness cognitive training merged with b) Mindfulness interoceptive training group (1),No intervention (1),Post-int,Some,High,High,High,Some,N,NR,NR,yes
Desbordes 2012,US,1,"Y, NR",2,16,1,1.universal,2,1,yes,51,Healthy adults (1),34.1 (7.7),62%,"Anx, Dep",Mindful attention training (1),a) Cognitively-Based Compassion Training (3) merged with b) Health discussion control intervention (3),Post-int,Some,High,High,High,Some,Y,N,N,yes
Duncan 2017,US,1,"Y, NR",1,18,5 (first-time mothers),2.selective,,6,yes,29,First-time mothers in their third trimester of pregnancy (2),NA,100%,"Anx, Dep, Dis, Mindf, Somat, Self",Mind in Labor (MIL): Working with Pain in Childbirth (6),Treatment as usual: standard childbirth education (2),Post-int,Low,Low,Low,High,Some,Y,Y,Y,no
Dvorakova 2017,US,1,"Y, 20 to 25",1,11,3,1.universal,,1,yes,109,First year undergraduates (1),18.2 (0.4),66%,"Anx, Dep, WB, Mindf, Somat, Self",Learning to BREATHE (L2B) (1),Waitlist (1),Post-int,Some,High,Low,High,Some,Y,NR,N,no
Dykens 2014,US,1,"Y, <15",2,9,5 (mothers of children with dev. Issues),2.selective,2,3,yes,243,Mothers of children with developmental disabilities (2),40.87 (8.92),100%,"Anx, Dep, Dis, WB, Somat",MBSR (3),Positive Adult Development (3),"Post-int, Mid-int, 1m, 3m, 6m",Some,High,Some,High,High,Y,N,Y,no
Dziok 2010,US,1,"Y, 39 participants halved",1,12,1,1.universal,,3,yes,52,Community members living in Bronx and Manhattan communities (1),43.71 (13.4),85%,"Anx, Dep",Mindfulness meditation (3),Waitlist (1),0 to 180 days post-int,Some,High,High,High,Some,N,N,NR,no
Esch 2017,Germany,3,"Y, NR",1,7.5,1,1.universal,,1,no,32,Adults (1),26.69 (7.62),67%,"Cog, Mindf",Combined breathing/mindfulness meditation technique (1),No intervention (1),Post-int,Low,High,Low,High,Some,Y,Y,N,yes
Ferraioli 2013,US,1,"Y, NR",1,16,5 (parents of children with ASD),2.selective,,2,yes,21,Caretakers: parents of children with ASD (2),NA,67%,"Dis, Mindf",Mindfulness-Based Parent Training (MBPT) (2),Skill-Based Parent Training (SBPT) (2),"Post-int, 3m",Some,High,High,High,Some,Y,Y,NR,no
