studytab_name,nr_arms,a1,a2,a3,a4,a5,ctrlcata2,ctrlcata3,name,instrument,dir_imp,domain,t1,t2,t3,t4,t5,t6,postintervention,onesixmonths,sixplusmonths,trange,trial_design,icc_for_cluster,mergearm,oa1n,priority_oa1em_central,priority_oa1em_dc,value_prior_oa1em_central,value_prior_oa1em_dc,oa2n,priority_oa2em_central,priority_oa2em_dc,value_prior_oa2em_central,value_prior_oa2em_dc,oa3n,priority_oa3em_central,priority_oa3em_dc,value_prior_oa3em_central,value_prior_oa3em_dc,oa4n,priority_oa4em_central,priority_oa4em_dc,value_prior_oa4em_central,value_prior_oa4em_dc,oa5n,priority_oa5em_central,priority_oa5em_dc,value_prior_oa5em_central,value_prior_oa5em_dc
Barrett 2018,3,Mindfulness,Control,exercise,NA,NA,1,3,Depression,PHQ-9,D,Depression,Baseline,Post Intervention,3 month post int follow up,(slightly over) 6 month post int follow up,0,0,Post Intervention,3 month post int follow up,(slightly over) 6 month post int follow up,1-6months,Randomized controlled trial,NA,no,138,Mean,95% CI,3.9,-2.7 to 12.4,138,Mean,95% CI,4.9,-3.2 to 12.9,137,Mean,95% CI,4.1,-2.8 to 12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barrett 2018,3,Mindfulness,Control,exercise,NA,NA,1,3,Depression,PHQ-9,D,Depression,Baseline,Post Intervention,3 month post int follow up,(slightly over) 6 month post int follow up,0,0,Post Intervention,3 month post int follow up,(slightly over) 6 month post int follow up,6+months,Randomized controlled trial,NA,no,138,Mean,95% CI,3.6,-2.9 to 12,138,Mean,95% CI,4.5,-3.2 to 12.2,137,Mean,95% CI,4.1,-2.2 to 11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barrett 2018,3,Mindfulness,Control,exercise,NA,NA,1,3,Depression,PHQ-9,D,Depression,Baseline,Post Intervention,3 month post int follow up,(slightly over) 6 month post int follow up,0,0,Post Intervention,3 month post int follow up,(slightly over) 6 month post int follow up,Baseline,Randomized controlled trial,NA,no,138,Mean,SD,2.4,2.4,138,Mean,SD,2.9,3.1,137,Mean,SD,2.9,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barrett 2018,3,Mindfulness,Control,exercise,NA,NA,1,3,Depression,PHQ-9,D,Depression,Baseline,Post Intervention,3 month post int follow up,(slightly over) 6 month post int follow up,0,0,Post Intervention,3 month post int follow up,(slightly over) 6 month post int follow up,Postintervention,Randomized controlled trial,NA,no,138,Mean,95% CI,4.4,-2.2 to 12.8,138,Mean,95% CI,5.3,-3.2 to 13.7,137,Mean,95% CI,4.3,-2.2 to 12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barrett 2018,3,Mindfulness,Control,exercise,NA,NA,1,3,Perceived stress,PSS-10,D,Distress,Baseline,Post Intervention,2 month post int follow up,3 month post int follow up,(slightly over) 6 month post int follow up,0,Post Intervention,2 month post int follow up,3 month post int follow up,1-6months,Randomized controlled trial,NA,no,138,Mean,95% CI,12.3,1.3 to 25.9,138,Mean,95% CI,13.6,1.1 to 26.2,137,Mean,95% CI,12.4,0.5 to 26.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barrett 2018,3,Mindfulness,Control,exercise,NA,NA,1,3,Perceived stress,PSS-10,D,Distress,Baseline,Post Intervention,2 month post int follow up,3 month post int follow up,(slightly over) 6 month post int follow up,0,Post Intervention,2 month post int follow up,3 month post int follow up,6+months,Randomized controlled trial,NA,no,138,Mean,95% CI,11.6,0.8 to 26.0,138,Mean,95% CI,13.4,0.6 to 26.2,137,Mean,95% CI,13.3,-0.5 to 27.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barrett 2018,3,Mindfulness,Control,exercise,NA,NA,1,3,Perceived stress,PSS-10,D,Distress,Baseline,Post Intervention,2 month post int follow up,3 month post int follow up,(slightly over) 6 month post int follow up,0,Post Intervention,2 month post int follow up,3 month post int follow up,Baseline,Randomized controlled trial,NA,no,138,Mean,SD,13.1,6.4,138,Mean,SD,12.4,5.9,137,Mean,SD,13.3,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barrett 2018,3,Mindfulness,Control,exercise,NA,NA,1,3,Perceived stress,PSS-10,D,Distress,Baseline,Post Intervention,2 month post int follow up,3 month post int follow up,(slightly over) 6 month post int follow up,0,Post Intervention,2 month post int follow up,3 month post int follow up,Postintervention,Randomized controlled trial,NA,no,138,Mean,95% CI,13,2.5 to 25.5,138,Mean,95% CI,14,1.6 to 26.5,137,Mean,95% CI,13,0.6 to 27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barrett 2018,3,Mindfulness,Control,exercise,NA,NA,1,3,Positive affect,PANAS  in the past few weeks,U,Mental wellbeing,Baseline,Post Intervention,3 month post int follow up,(slightly over) 6 month post int follow up,0,0,Post Intervention,3 month post int follow up,(slightly over) 6 month post int follow up,1-6months,Randomized controlled trial,NA,no,138,Mean,95% CI,34.8,20.3 to 45.1,138,Mean,95% CI,32.7,18.1 to 47.3,137,Mean,95% CI,34.5,17.5 to 47.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barrett 2018,3,Mindfulness,Control,exercise,NA,NA,1,3,Positive affect,PANAS  in the past few weeks,U,Mental wellbeing,Baseline,Post Intervention,3 month post int follow up,(slightly over) 6 month post int follow up,0,0,Post Intervention,3 month post int follow up,(slightly over) 6 month post int follow up,6+months,Randomized controlled trial,NA,no,138,Mean,95% CI,35.8,20.1 to 46.2,138,Mean,95% CI,33.2,18.2 to 48.1,137,Mean,95% CI,34.9,17.6 to 48.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
