studytab_name,corr_pibldis5mbldis,corr_pibldis6mbldis,corr_pibldispiblwel,corr_pibldis5mblwel,corr_pibldis6mblwel,corr_pibldispibldep,corr_pibldis5mbldep,corr_pibldis6mbldep,corr_pibldispiblanx,corr_pibldis5mblanx,corr_pibldis6mblanx,corr_5mbldispibldis,corr_5mbldis6mbldis,corr_5mbldispiblwel,corr_5mbldis5mblwel,corr_5mbldis6mblwel,corr_5mbldispibldep,corr_5mbldis5mbldep,corr_5mbldis6mbldep,corr_5mbldispiblanx,corr_5mbldis5mblanx,corr_5mbldis6mblanx,corr_6mbldispibldis,corr_6mbldis5mbldis,corr_6mbldispiblwel,corr_6mbldis5mblwel,corr_6mbldis6mblwel,corr_6mbldispibldep,corr_6mbldis5mbldep,corr_6mbldis6mbldep,corr_6mbldispiblanx,corr_6mbldis5mblanx,corr_6mbldis6mblanx,corr_piblwelpibldis,corr_piblwel5mbldis,corr_piblwel6mbldis,corr_piblwel5mblwel,corr_piblwel6mblwel,corr_piblwelpibldep,corr_piblwel5mbldep,corr_piblwel6mbldep,corr_piblwelpiblanx,corr_piblwel5mblanx,corr_piblwel6mblanx,corr_5mblwelpibldis,corr_5mblwel5mbldis,corr_5mblwel6mbldis,corr_5mblwelpiblwel,corr_5mblwel6mblwel,corr_5mblwelpibldep,corr_5mblwel5mbldep,corr_5mblwel6mbldep,corr_5mblwelpiblanx,corr_5mblwel5mblanx,corr_5mblwel6mblanx,corr_6mblwelpibldis,corr_6mblwel5mbldis,corr_6mblwel6mbldis,corr_6mblwelpiblwel,corr_6mblwel5mblwel,corr_6mblwelpibldep,corr_6mblwel5mbldep,corr_6mblwel6mbldep,corr_6mblwelpiblanx,corr_6mblwel5mblanx,corr_6mblwel6mblanx,corr_pibldeppibldis,corr_pibldep5mbldis,corr_pibldep6mbldis,corr_pibldeppiblwel,corr_pibldep5mblwel,corr_pibldep6mblwel,corr_pibldep5mbldep,corr_pibldep6mbldep,corr_pibldeppiblanx,corr_pibldep5mblanx,corr_pibldep6mblanx,corr_5mbldeppibldis,corr_5mbldep5mbldis,corr_5mbldep6mbldis,corr_5mbldeppiblwel,corr_5mbldep5mblwel,corr_5mbldep6mblwel,corr_5mbldeppibldep,corr_5mbldep6mbldep,corr_5mbldeppiblanx,corr_5mbldep5mblanx,corr_5mbldep6mblanx,corr_6mbldeppibldis,corr_6mbldep5mbldis,corr_6mbldep6mbldis,corr_6mbldeppiblwel,corr_6mbldep5mblwel,corr_6mbldep6mblwel,corr_6mbldeppibldep,corr_6mbldep5mbldep,corr_6mbldeppiblanx,corr_6mbldep5mblanx,corr_6mbldep6mblanx,corr_piblanxpibldis,corr_piblanx5mbldis,corr_piblanx6mbldis,corr_piblanxpiblwel,corr_piblanx5mblwel,corr_piblanx6mblwel,corr_piblanxpibldep,corr_piblanx5mbldep,corr_piblanx6mbldep,corr_piblanx5mblanx,corr_piblanx6mblanx,corr_5mblanxpibldis,corr_5mblanx5mbldis,corr_5mblanx6mbldis,corr_5mblanxpiblwel,corr_5mblanx5mblwel,corr_5mblanx6mblwel,corr_5mblanxpibldep,corr_5mblanx5mbldep,corr_5mblanx6mbldep,corr_5mblanxpiblanx,corr_5mblanx6mblanx,corr_6mblanxpibldis,corr_6mblanx5mbldis,corr_6mblanx6mbldis,corr_6mblanxpiblwel,corr_6mblanx5mblwel,corr_6mblanx6mblwel,corr_6mblanxpibldep,corr_6mblanx5mbldep,corr_6mblanx6mbldep,corr_6mblanxpiblanx,corr_6mblanx5mblanx
?tefan 2018,.5609659,.403009,-.80877519,-.50167024,-.31891349,.80877519,.5609659,.403009,.80877519,.5609659,.403009,.5609659,.48414797,-.50600791,-.76847583,-.40198517,.5609659,.76847583,.48414797,.5609659,.76847583,.48414797,.403009,.48414797,-.43678758,-.42844105,-.82747579,.403009,.48414797,.82747579,.403009,.48414797,.82747579,-.80877519,-.50600791,-.43678758,.6290108,.49517292,-.80877519,-.50600791,-.43678758,-.80877519,-.50600791,-.43678758,-.50167024,-.76847583,-.42844105,.6290108,.49027258,-.50167024,-.76847583,-.42844105,-.50167024,-.76847583,-.42844105,-.31891349,-.40198517,-.82747579,.49517292,.49027258,-.31891349,-.40198517,-.82747579,-.31891349,-.40198517,-.82747579,.80877519,.5609659,.403009,-.80877519,-.50167024,-.31891349,.5609659,.403009,.80877519,.5609659,.403009,.5609659,.48414797,.48414797,-.50600791,-.76847583,-.40198517,.5609659,.48414797,.5609659,.48414797,.48414797,.403009,.48414797,.82747579,-.43678758,-.42844105,-.82747579,.403009,.48414797,.403009,.48414797,.82747579,.80877519,.5609659,.403009,-.80877519,-.50167024,-.31891349,.80877519,.5609659,.403009,.5609659,.403009,.5609659,.76847583,.48414797,-.50600791,-.76847583,-.40198517,.5609659,.76847583,.48414797,.5609659,.48414797,.403009,.48414797,.82747579,-.43678758,-.42844105,-.82747579,.403009,.48414797,.82747579,.403009,.48414797
Aeamla-Or 2015,.5609659,.403009,-.80877519,-.50167024,-.31891349,.80877519,.5609659,.403009,.80877519,.5609659,.403009,.5609659,.48414797,-.50600791,-.76847583,-.40198517,.5609659,.76847583,.48414797,.5609659,.76847583,.48414797,.403009,.48414797,-.43678758,-.42844105,-.82747579,.403009,.48414797,.82747579,.403009,.48414797,.82747579,-.80877519,-.50600791,-.43678758,.6290108,.49517292,-.80877519,-.50600791,-.43678758,-.80877519,-.50600791,-.43678758,-.50167024,-.76847583,-.42844105,.6290108,.49027258,-.50167024,-.76847583,-.42844105,-.50167024,-.76847583,-.42844105,-.31891349,-.40198517,-.82747579,.49517292,.49027258,-.31891349,-.40198517,-.82747579,-.31891349,-.40198517,-.82747579,.80877519,.5609659,.403009,-.80877519,-.50167024,-.31891349,.5609659,.403009,.80877519,.5609659,.403009,.5609659,.48414797,.48414797,-.50600791,-.76847583,-.40198517,.5609659,.48414797,.5609659,.48414797,.48414797,.403009,.48414797,.82747579,-.43678758,-.42844105,-.82747579,.403009,.48414797,.403009,.48414797,.82747579,.80877519,.5609659,.403009,-.80877519,-.50167024,-.31891349,.80877519,.5609659,.403009,.5609659,.403009,.5609659,.76847583,.48414797,-.50600791,-.76847583,-.40198517,.5609659,.76847583,.48414797,.5609659,.48414797,.403009,.48414797,.82747579,-.43678758,-.42844105,-.82747579,.403009,.48414797,.82747579,.403009,.48414797
Agee 2009,.5609659,.403009,-.80877519,-.50167024,-.31891349,.80877519,.5609659,.403009,.80877519,.5609659,.403009,.5609659,.48414797,-.50600791,-.76847583,-.40198517,.5609659,.76847583,.48414797,.5609659,.76847583,.48414797,.403009,.48414797,-.43678758,-.42844105,-.82747579,.403009,.48414797,.82747579,.403009,.48414797,.82747579,-.80877519,-.50600791,-.43678758,.6290108,.49517292,-.80877519,-.50600791,-.43678758,-.80877519,-.50600791,-.43678758,-.50167024,-.76847583,-.42844105,.6290108,.49027258,-.50167024,-.76847583,-.42844105,-.50167024,-.76847583,-.42844105,-.31891349,-.40198517,-.82747579,.49517292,.49027258,-.31891349,-.40198517,-.82747579,-.31891349,-.40198517,-.82747579,.80877519,.5609659,.403009,-.80877519,-.50167024,-.31891349,.5609659,.403009,.80877519,.5609659,.403009,.5609659,.48414797,.48414797,-.50600791,-.76847583,-.40198517,.5609659,.48414797,.5609659,.48414797,.48414797,.403009,.48414797,.82747579,-.43678758,-.42844105,-.82747579,.403009,.48414797,.403009,.48414797,.82747579,.80877519,.5609659,.403009,-.80877519,-.50167024,-.31891349,.80877519,.5609659,.403009,.5609659,.403009,.5609659,.76847583,.48414797,-.50600791,-.76847583,-.40198517,.5609659,.76847583,.48414797,.5609659,.48414797,.403009,.48414797,.82747579,-.43678758,-.42844105,-.82747579,.403009,.48414797,.82747579,.403009,.48414797
Anclair 2018,.5609659,.403009,-.80877519,-.50167024,-.31891349,.80877519,.5609659,.403009,.80877519,.5609659,.403009,.5609659,.48414797,-.50600791,-.76847583,-.40198517,.5609659,.76847583,.48414797,.5609659,.76847583,.48414797,.403009,.48414797,-.43678758,-.42844105,-.82747579,.403009,.48414797,.82747579,.403009,.48414797,.82747579,-.80877519,-.50600791,-.43678758,.6290108,.49517292,-.80877519,-.50600791,-.43678758,-.80877519,-.50600791,-.43678758,-.50167024,-.76847583,-.42844105,.6290108,.49027258,-.50167024,-.76847583,-.42844105,-.50167024,-.76847583,-.42844105,-.31891349,-.40198517,-.82747579,.49517292,.49027258,-.31891349,-.40198517,-.82747579,-.31891349,-.40198517,-.82747579,.80877519,.5609659,.403009,-.80877519,-.50167024,-.31891349,.5609659,.403009,.80877519,.5609659,.403009,.5609659,.48414797,.48414797,-.50600791,-.76847583,-.40198517,.5609659,.48414797,.5609659,.48414797,.48414797,.403009,.48414797,.82747579,-.43678758,-.42844105,-.82747579,.403009,.48414797,.403009,.48414797,.82747579,.80877519,.5609659,.403009,-.80877519,-.50167024,-.31891349,.80877519,.5609659,.403009,.5609659,.403009,.5609659,.76847583,.48414797,-.50600791,-.76847583,-.40198517,.5609659,.76847583,.48414797,.5609659,.48414797,.403009,.48414797,.82747579,-.43678758,-.42844105,-.82747579,.403009,.48414797,.82747579,.403009,.48414797
Anderson 2007,.5609659,.403009,-.80877519,-.50167024,-.31891349,.80877519,.5609659,.403009,.80877519,.5609659,.403009,.5609659,.48414797,-.50600791,-.76847583,-.40198517,.5609659,.76847583,.48414797,.5609659,.76847583,.48414797,.403009,.48414797,-.43678758,-.42844105,-.82747579,.403009,.48414797,.82747579,.403009,.48414797,.82747579,-.80877519,-.50600791,-.43678758,.6290108,.49517292,-.80877519,-.50600791,-.43678758,-.80877519,-.50600791,-.43678758,-.50167024,-.76847583,-.42844105,.6290108,.49027258,-.50167024,-.76847583,-.42844105,-.50167024,-.76847583,-.42844105,-.31891349,-.40198517,-.82747579,.49517292,.49027258,-.31891349,-.40198517,-.82747579,-.31891349,-.40198517,-.82747579,.80877519,.5609659,.403009,-.80877519,-.50167024,-.31891349,.5609659,.403009,.80877519,.5609659,.403009,.5609659,.48414797,.48414797,-.50600791,-.76847583,-.40198517,.5609659,.48414797,.5609659,.48414797,.48414797,.403009,.48414797,.82747579,-.43678758,-.42844105,-.82747579,.403009,.48414797,.403009,.48414797,.82747579,.80877519,.5609659,.403009,-.80877519,-.50167024,-.31891349,.80877519,.5609659,.403009,.5609659,.403009,.5609659,.76847583,.48414797,-.50600791,-.76847583,-.40198517,.5609659,.76847583,.48414797,.5609659,.48414797,.403009,.48414797,.82747579,-.43678758,-.42844105,-.82747579,.403009,.48414797,.82747579,.403009,.48414797
Armstrong 2016,.5609659,.403009,-.80877519,-.50167024,-.31891349,.80877519,.5609659,.403009,.80877519,.5609659,.403009,.5609659,.48414797,-.50600791,-.76847583,-.40198517,.5609659,.76847583,.48414797,.5609659,.76847583,.48414797,.403009,.48414797,-.43678758,-.42844105,-.82747579,.403009,.48414797,.82747579,.403009,.48414797,.82747579,-.80877519,-.50600791,-.43678758,.6290108,.49517292,-.80877519,-.50600791,-.43678758,-.80877519,-.50600791,-.43678758,-.50167024,-.76847583,-.42844105,.6290108,.49027258,-.50167024,-.76847583,-.42844105,-.50167024,-.76847583,-.42844105,-.31891349,-.40198517,-.82747579,.49517292,.49027258,-.31891349,-.40198517,-.82747579,-.31891349,-.40198517,-.82747579,.80877519,.5609659,.403009,-.80877519,-.50167024,-.31891349,.5609659,.403009,.80877519,.5609659,.403009,.5609659,.48414797,.48414797,-.50600791,-.76847583,-.40198517,.5609659,.48414797,.5609659,.48414797,.48414797,.403009,.48414797,.82747579,-.43678758,-.42844105,-.82747579,.403009,.48414797,.403009,.48414797,.82747579,.80877519,.5609659,.403009,-.80877519,-.50167024,-.31891349,.80877519,.5609659,.403009,.5609659,.403009,.5609659,.76847583,.48414797,-.50600791,-.76847583,-.40198517,.5609659,.76847583,.48414797,.5609659,.48414797,.403009,.48414797,.82747579,-.43678758,-.42844105,-.82747579,.403009,.48414797,.82747579,.403009,.48414797
Arredondo 2017,.5609659,.403009,-.80877519,-.50167024,-.31891349,.80877519,.5609659,.403009,.80877519,.5609659,.403009,.5609659,.48414797,-.50600791,-.76847583,-.40198517,.5609659,.76847583,.48414797,.5609659,.76847583,.48414797,.403009,.48414797,-.43678758,-.42844105,-.82747579,.403009,.48414797,.82747579,.403009,.48414797,.82747579,-.80877519,-.50600791,-.43678758,.6290108,.49517292,-.80877519,-.50600791,-.43678758,-.80877519,-.50600791,-.43678758,-.50167024,-.76847583,-.42844105,.6290108,.49027258,-.50167024,-.76847583,-.42844105,-.50167024,-.76847583,-.42844105,-.31891349,-.40198517,-.82747579,.49517292,.49027258,-.31891349,-.40198517,-.82747579,-.31891349,-.40198517,-.82747579,.80877519,.5609659,.403009,-.80877519,-.50167024,-.31891349,.5609659,.403009,.80877519,.5609659,.403009,.5609659,.48414797,.48414797,-.50600791,-.76847583,-.40198517,.5609659,.48414797,.5609659,.48414797,.48414797,.403009,.48414797,.82747579,-.43678758,-.42844105,-.82747579,.403009,.48414797,.403009,.48414797,.82747579,.80877519,.5609659,.403009,-.80877519,-.50167024,-.31891349,.80877519,.5609659,.403009,.5609659,.403009,.5609659,.76847583,.48414797,-.50600791,-.76847583,-.40198517,.5609659,.76847583,.48414797,.5609659,.48414797,.403009,.48414797,.82747579,-.43678758,-.42844105,-.82747579,.403009,.48414797,.82747579,.403009,.48414797
Astin 1997,.5609659,.403009,-.80877519,-.50167024,-.31891349,.80877519,.5609659,.403009,.80877519,.5609659,.403009,.5609659,.48414797,-.50600791,-.76847583,-.40198517,.5609659,.76847583,.48414797,.5609659,.76847583,.48414797,.403009,.48414797,-.43678758,-.42844105,-.82747579,.403009,.48414797,.82747579,.403009,.48414797,.82747579,-.80877519,-.50600791,-.43678758,.6290108,.49517292,-.80877519,-.50600791,-.43678758,-.80877519,-.50600791,-.43678758,-.50167024,-.76847583,-.42844105,.6290108,.49027258,-.50167024,-.76847583,-.42844105,-.50167024,-.76847583,-.42844105,-.31891349,-.40198517,-.82747579,.49517292,.49027258,-.31891349,-.40198517,-.82747579,-.31891349,-.40198517,-.82747579,.80877519,.5609659,.403009,-.80877519,-.50167024,-.31891349,.5609659,.403009,.80877519,.5609659,.403009,.5609659,.48414797,.48414797,-.50600791,-.76847583,-.40198517,.5609659,.48414797,.5609659,.48414797,.48414797,.403009,.48414797,.82747579,-.43678758,-.42844105,-.82747579,.403009,.48414797,.403009,.48414797,.82747579,.80877519,.5609659,.403009,-.80877519,-.50167024,-.31891349,.80877519,.5609659,.403009,.5609659,.403009,.5609659,.76847583,.48414797,-.50600791,-.76847583,-.40198517,.5609659,.76847583,.48414797,.5609659,.48414797,.403009,.48414797,.82747579,-.43678758,-.42844105,-.82747579,.403009,.48414797,.82747579,.403009,.48414797
Auseron 2018,.5609659,.403009,-.80877519,-.50167024,-.31891349,.80877519,.5609659,.403009,.80877519,.5609659,.403009,.5609659,.48414797,-.50600791,-.76847583,-.40198517,.5609659,.76847583,.48414797,.5609659,.76847583,.48414797,.403009,.48414797,-.43678758,-.42844105,-.82747579,.403009,.48414797,.82747579,.403009,.48414797,.82747579,-.80877519,-.50600791,-.43678758,.6290108,.49517292,-.80877519,-.50600791,-.43678758,-.80877519,-.50600791,-.43678758,-.50167024,-.76847583,-.42844105,.6290108,.49027258,-.50167024,-.76847583,-.42844105,-.50167024,-.76847583,-.42844105,-.31891349,-.40198517,-.82747579,.49517292,.49027258,-.31891349,-.40198517,-.82747579,-.31891349,-.40198517,-.82747579,.80877519,.5609659,.403009,-.80877519,-.50167024,-.31891349,.5609659,.403009,.80877519,.5609659,.403009,.5609659,.48414797,.48414797,-.50600791,-.76847583,-.40198517,.5609659,.48414797,.5609659,.48414797,.48414797,.403009,.48414797,.82747579,-.43678758,-.42844105,-.82747579,.403009,.48414797,.403009,.48414797,.82747579,.80877519,.5609659,.403009,-.80877519,-.50167024,-.31891349,.80877519,.5609659,.403009,.5609659,.403009,.5609659,.76847583,.48414797,-.50600791,-.76847583,-.40198517,.5609659,.76847583,.48414797,.5609659,.48414797,.403009,.48414797,.82747579,-.43678758,-.42844105,-.82747579,.403009,.48414797,.82747579,.403009,.48414797
Barrett 2012,.5609659,.403009,-.80877519,-.50167024,-.31891349,.80877519,.5609659,.403009,.80877519,.5609659,.403009,.5609659,.48414797,-.50600791,-.76847583,-.40198517,.5609659,.76847583,.48414797,.5609659,.76847583,.48414797,.403009,.48414797,-.43678758,-.42844105,-.82747579,.403009,.48414797,.82747579,.403009,.48414797,.82747579,-.80877519,-.50600791,-.43678758,.6290108,.49517292,-.80877519,-.50600791,-.43678758,-.80877519,-.50600791,-.43678758,-.50167024,-.76847583,-.42844105,.6290108,.49027258,-.50167024,-.76847583,-.42844105,-.50167024,-.76847583,-.42844105,-.31891349,-.40198517,-.82747579,.49517292,.49027258,-.31891349,-.40198517,-.82747579,-.31891349,-.40198517,-.82747579,.80877519,.5609659,.403009,-.80877519,-.50167024,-.31891349,.5609659,.403009,.80877519,.5609659,.403009,.5609659,.48414797,.48414797,-.50600791,-.76847583,-.40198517,.5609659,.48414797,.5609659,.48414797,.48414797,.403009,.48414797,.82747579,-.43678758,-.42844105,-.82747579,.403009,.48414797,.403009,.48414797,.82747579,.80877519,.5609659,.403009,-.80877519,-.50167024,-.31891349,.80877519,.5609659,.403009,.5609659,.403009,.5609659,.76847583,.48414797,-.50600791,-.76847583,-.40198517,.5609659,.76847583,.48414797,.5609659,.48414797,.403009,.48414797,.82747579,-.43678758,-.42844105,-.82747579,.403009,.48414797,.82747579,.403009,.48414797
