position,name,type,isnumeric,format,vallab,varlab
1,studytab_name,str19,0,%19s,,Study identified with author name and publication year
2,corr_pibldis5mbldis,float,1,%9.0g,,Cov between DIStress PostIntervention and DIStress 1 to 6 (5) Months
3,corr_pibldis6mbldis,float,1,%9.0g,,Covariance between DIStress PostIntervention and DIStress over 6 Months
4,corr_pibldispiblwel,float,1,%9.0g,,
5,corr_pibldis5mblwel,float,1,%9.0g,,Covariance between DIStress PostIntervention and WELlbeing 1 to 6 (5) Months
6,corr_pibldis6mblwel,float,1,%9.0g,,
7,corr_pibldispibldep,float,1,%9.0g,,
8,corr_pibldis5mbldep,float,1,%9.0g,,Covariance between DIStress PostIntervention and DEPpression 1 to 6 (5) Months
9,corr_pibldis6mbldep,float,1,%9.0g,,
10,corr_pibldispiblanx,float,1,%9.0g,,
11,corr_pibldis5mblanx,float,1,%9.0g,,Covariance between DIStress PostIntervention and ANXiety 1 to 6 (5) Months
12,corr_pibldis6mblanx,float,1,%9.0g,,
13,corr_5mbldispibldis,float,1,%9.0g,,
14,corr_5mbldis6mbldis,float,1,%9.0g,,
15,corr_5mbldispiblwel,float,1,%9.0g,,
16,corr_5mbldis5mblwel,float,1,%9.0g,,
17,corr_5mbldis6mblwel,float,1,%9.0g,,
18,corr_5mbldispibldep,float,1,%9.0g,,
19,corr_5mbldis5mbldep,float,1,%9.0g,,
20,corr_5mbldis6mbldep,float,1,%9.0g,,
21,corr_5mbldispiblanx,float,1,%9.0g,,
22,corr_5mbldis5mblanx,float,1,%9.0g,,
23,corr_5mbldis6mblanx,float,1,%9.0g,,
24,corr_6mbldispibldis,float,1,%9.0g,,
25,corr_6mbldis5mbldis,float,1,%9.0g,,
26,corr_6mbldispiblwel,float,1,%9.0g,,
27,corr_6mbldis5mblwel,float,1,%9.0g,,
28,corr_6mbldis6mblwel,float,1,%9.0g,,
29,corr_6mbldispibldep,float,1,%9.0g,,
30,corr_6mbldis5mbldep,float,1,%9.0g,,
31,corr_6mbldis6mbldep,float,1,%9.0g,,
32,corr_6mbldispiblanx,float,1,%9.0g,,
33,corr_6mbldis5mblanx,float,1,%9.0g,,
34,corr_6mbldis6mblanx,float,1,%9.0g,,
35,corr_piblwelpibldis,float,1,%9.0g,,
36,corr_piblwel5mbldis,float,1,%9.0g,,
37,corr_piblwel6mbldis,float,1,%9.0g,,
38,corr_piblwel5mblwel,float,1,%9.0g,,
39,corr_piblwel6mblwel,float,1,%9.0g,,
40,corr_piblwelpibldep,float,1,%9.0g,,
41,corr_piblwel5mbldep,float,1,%9.0g,,
42,corr_piblwel6mbldep,float,1,%9.0g,,
43,corr_piblwelpiblanx,float,1,%9.0g,,
44,corr_piblwel5mblanx,float,1,%9.0g,,
45,corr_piblwel6mblanx,float,1,%9.0g,,
46,corr_5mblwelpibldis,float,1,%9.0g,,
47,corr_5mblwel5mbldis,float,1,%9.0g,,
48,corr_5mblwel6mbldis,float,1,%9.0g,,
49,corr_5mblwelpiblwel,float,1,%9.0g,,
50,corr_5mblwel6mblwel,float,1,%9.0g,,
51,corr_5mblwelpibldep,float,1,%9.0g,,
52,corr_5mblwel5mbldep,float,1,%9.0g,,
53,corr_5mblwel6mbldep,float,1,%9.0g,,
54,corr_5mblwelpiblanx,float,1,%9.0g,,
