study,domain,instrument,outcome,trange,dir_imp,ctrl_cat,design,n_mbp,m_mbp,sd_mbp,n_ctl,m_ctl,sd_ctl,parse_notes,arm1_label,arm2_label,country,USA,participanttype,contacthours,nr_rand,d1,d2,d3,d4,d5,coi,taught
Barrett 2018,Depression,PHQ-9,Depression,Baseline,D,passive,Randomized controlled trial,138.0,2.4,2.4,138.0,2.9,3.1,,Mindfulness,Control,US,yes,1.universal,25,413,Low,Some,Low,High,Low,N,N
Barrett 2018,Distress,PSS-10,Perceived stress,Baseline,D,passive,Randomized controlled trial,138.0,13.1,6.4,138.0,12.4,5.9,,Mindfulness,Control,US,yes,1.universal,25,413,Low,Some,Low,High,Low,N,N
Barrett 2018,Mental wellbeing,PANAS  in the past few weeks,Positive affect,Baseline,U,passive,Randomized controlled trial,138.0,35.1,7.0,138.0,33.9,7.5,,Mindfulness,Control,US,yes,1.universal,25,413,Low,Some,Low,High,Low,N,N
Barrett 2018,Mindfulness,MAAS,Mindfulness,Baseline,U,passive,Randomized controlled trial,138.0,4.1,0.8,138.0,4.3,0.7,,Mindfulness,Control,US,yes,1.universal,25,413,Low,Some,Low,High,Low,N,N
Barrett 2018,Psychosomatic outcomes,PSQI,Sleep,Baseline,D,passive,Randomized controlled trial,138.0,5.8,3.3,138.0,5.7,3.3,,Mindfulness,Control,US,yes,1.universal,25,413,Low,Some,Low,High,Low,N,N
Barrett 2018,Real life functioning,Stanford Presenteeism Scale,Presenteerism,Baseline,U,passive,Randomized controlled trial,138.0,20.4,5.4,138.0,20.1,5.2,,Mindfulness,Control,US,yes,1.universal,25,413,Low,Some,Low,High,Low,N,N
Gallego 2014,Distress,DASS-21,Distress,Baseline,D,passive,Randomized controlled trial,30.0,17.17,9.89,42.0,19.97,9.09,,Mindfulness,Control,Spain,no,1.universal,8,125,Some,High,High,High,Some,NR,NR
Gallego 2014,Distress,DASS-21,Distress,Postintervention,D,passive,Randomized controlled trial,30.0,12.06,6.27,42.0,20.38,9.47,arm2.n=assumed-by-review-authors,Mindfulness,Control,Spain,no,1.universal,8,125,Some,High,High,High,Some,NR,NR
Jain 2007,Distress,Brief Symptom Inventory (BSI),Psychological Distress,Baseline,D,passive,Randomized controlled trial,27.0,0.64,0.4,30.0,0.59,0.43,,Mindfulness,Control,US,yes,1.universal,12,104,Some,High,High,High,Some,NR,NR
Jain 2007,Distress,Brief Symptom Inventory (BSI),Psychological Distress,Postintervention,D,passive,Randomized controlled trial,27.0,0.22,0.17,30.0,0.46,0.52,,Mindfulness,Control,US,yes,1.universal,12,104,Some,High,High,High,Some,NR,NR
Jain 2007,Mental wellbeing,Positive States of Mind scale (time frame 1 week),Positive mood,Baseline,U,passive,Randomized controlled trial,27.0,15.0,2.9,30.0,16.2,3.5,,Mindfulness,Control,US,yes,1.universal,12,104,Some,High,High,High,Some,NR,NR
Jain 2007,Mental wellbeing,Positive States of Mind scale (time frame 1 week),Positive mood,Postintervention,U,passive,Randomized controlled trial,27.0,17.1,3.0,30.0,16.3,3.8,,Mindfulness,Control,US,yes,1.universal,12,104,Some,High,High,High,Some,NR,NR
Kuhlmann 2016,Distress,Chronic Stress Screening Scale,Psychological Distress,6+months,D,passive,Randomized controlled trial,31.0,20.42,7.81,17.0,19.47,7.16,,Mindfulness,Control,Germany,no,1.universal,7.5,182,Low,High,High,High,Low,N,N
Kuhlmann 2016,Distress,Chronic Stress Screening Scale,Psychological Distress,Baseline,D,passive,Randomized controlled trial,31.0,21.29,8.86,17.0,22.18,7.49,,Mindfulness,Control,Germany,no,1.universal,7.5,182,Low,High,High,High,Low,N,N
Kuhlmann 2016,Distress,Chronic Stress Screening Scale,Psychological Distress,Postintervention,D,passive,Randomized controlled trial,31.0,18.58,8.09,17.0,20.35,8.94,,Mindfulness,Control,Germany,no,1.universal,7.5,182,Low,High,High,High,Low,N,N
Shearer 2016,Depression,BDI-II,Depression,Baseline,D,passive,Randomized controlled trial,14.0,10.36,10.16,17.0,10.12,8.28,,Mindfulness,Control,US,yes,1.universal,4,74,Some,High,High,High,Some,NR,NR
Shearer 2016,Depression,BDI-II,Depression,Postintervention,D,passive,Randomized controlled trial,26.0,7.92,8.09,20.0,9.65,6.9,,Mindfulness,Control,US,yes,1.universal,4,74,Some,High,High,High,Some,NR,NR
Shearer 2016,Mindfulness,FFMQ,Mindfulness,Baseline,U,passive,Randomized controlled trial,27.0,125.52,14.85,17.0,125.24,16.13,,Mindfulness,Control,US,yes,1.universal,4,74,Some,High,High,High,Some,NR,NR
Shearer 2016,Mindfulness,FFMQ,Mindfulness,Postintervention,U,passive,Randomized controlled trial,26.0,124.5,16.68,20.0,123.25,12.49,,Mindfulness,Control,US,yes,1.universal,4,74,Some,High,High,High,Some,NR,NR
Desbordes 2012,Anxiety,Beck Anxiety Inventory (BAI),Anxiety,Baseline,D,active-specific,Randomized controlled trial,13.0,2.6,3.1,17.0,4.6,4.1,arm1.n=assumed-by-review-authors;arm2.n=assumed-by-review-authors,Mindful Attention Training,Cognitively-Based Compassion Training,US,yes,1.universal,16,51,Some,High,High,High,Some,N,N
Desbordes 2012,Anxiety,Beck Anxiety Inventory (BAI),Anxiety,Postintervention,D,active-specific,Randomized controlled trial,13.0,1.8,2.5,17.0,3.8,4.2,arm1.n=assumed-by-review-authors;arm2.n=assumed-by-review-authors,Mindful Attention Training,Cognitively-Based Compassion Training,US,yes,1.universal,16,51,Some,High,High,High,Some,N,N
Desbordes 2012,Depression,Beck Depression Inventory (BDI-II),Depression,Baseline,D,active-specific,Randomized controlled trial,13.0,2.8,3.8,17.0,5.8,7.9,,Mindful Attention Training,Cognitively-Based Compassion Training,US,yes,1.universal,16,51,Some,High,High,High,Some,N,N
Desbordes 2012,Depression,Beck Depression Inventory (BDI-II),Depression,Postintervention,D,active-specific,Randomized controlled trial,13.0,2.8,5.2,17.0,2.7,4.1,,Mindful Attention Training,Cognitively-Based Compassion Training,US,yes,1.universal,16,51,Some,High,High,High,Some,N,N
Barrett 2012,Distress,PSS-10,Perceived stress,Baseline,D,passive,Randomized controlled trial,51.0,13.0,4.7,51.0,11.2,5.4,,Mindfulness,Control,US,yes,2.selective,27.5,154,Low,High,Low,High,Some,NR,N
Barrett 2012,Mental wellbeing,PANAS time frame in last week,Positive affect,Baseline,U,passive,Randomized controlled trial,51.0,36.2,6.5,51.0,36.3,6.6,,Mindfulness,Control,US,yes,2.selective,27.5,154,Low,High,Low,High,Some,NR,N
Barrett 2012,Mindfulness,MAAS,Mindfulness,Baseline,U,passive,Randomized controlled trial,51.0,4.5,0.7,51.0,4.6,0.7,,Mindfulness,Control,US,yes,2.selective,27.5,154,Low,High,Low,High,Some,NR,N
Barrett 2012,Psychosomatic outcomes,PSQI,Sleep,Baseline,D,passive,Randomized controlled trial,51.0,5.1,2.6,51.0,4.7,2.5,,Mindfulness,Control,US,yes,2.selective,27.5,154,Low,High,Low,High,Some,NR,N
Oken 2010,Cognitive functioning,Stroop Color and Word Test interference,Cognition,Baseline,D,passive,Randomized controlled trial,8.0,124.9,71.9,9.0,121.4,49.7,,Mindfulness,Control,US,yes,2.selective,10.5,31,Some,High,High,High,Some,N,Y
Oken 2010,Cognitive functioning,Stroop Color and Word Test interference,Cognition,Postintervention,D,passive,Randomized controlled trial,8.0,105.7,56.3,9.0,126.0,81.4,,Mindfulness,Control,US,yes,2.selective,10.5,31,Some,High,High,High,Some,N,Y
Oken 2010,Depression,CES-D,Depression,Baseline,D,passive,Randomized controlled trial,8.0,15.8,7.7,9.0,14.5,7.7,,Mindfulness,Control,US,yes,2.selective,10.5,31,Some,High,High,High,Some,N,Y
Oken 2010,Depression,CES-D,Depression,Postintervention,D,passive,Randomized controlled trial,8.0,12.5,10.9,11.0,15.3,7.4,,Mindfulness,Control,US,yes,2.selective,10.5,31,Some,High,High,High,Some,N,Y
Oken 2010,Distress,Revised Memory and Behavior Problems Checklist,Perceived stress,Baseline,D,passive,Randomized controlled trial,8.0,27.1,12.9,11.0,24.8,23.6,,Mindfulness,Control,US,yes,2.selective,10.5,31,Some,High,High,High,Some,N,Y
Oken 2010,Distress,Revised Memory and Behavior Problems Checklist,Perceived stress,Postintervention,D,passive,Randomized controlled trial,8.0,24.8,12.9,11.0,26.4,23.7,,Mindfulness,Control,US,yes,2.selective,10.5,31,Some,High,High,High,Some,N,Y
Oken 2010,Mindfulness,MAAS,Mindfulness,Baseline,U,passive,Randomized controlled trial,8.0,4.4,0.7,9.0,4.0,0.5,,Mindfulness,Control,US,yes,2.selective,10.5,31,Some,High,High,High,Some,N,Y
Oken 2010,Mindfulness,MAAS,Mindfulness,Postintervention,U,passive,Randomized controlled trial,8.0,4.1,0.7,9.0,3.7,0.8,,Mindfulness,Control,US,yes,2.selective,10.5,31,Some,High,High,High,Some,N,Y
Oken 2010,Psychosomatic outcomes,Epworth Sleep Questionnaire,Sleep,Baseline,D,passive,Randomized controlled trial,8.0,4.7,2.8,9.0,7.1,4.7,,Mindfulness,Control,US,yes,2.selective,10.5,31,Some,High,High,High,Some,N,Y
Oken 2010,Psychosomatic outcomes,Epworth Sleep Questionnaire,Sleep,Postintervention,D,passive,Randomized controlled trial,8.0,4.8,1.6,9.0,8.0,5.0,,Mindfulness,Control,US,yes,2.selective,10.5,31,Some,High,High,High,Some,N,Y
Oken 2010,Real life functioning,Caregiver Appraisal Tool,Burnout/stress,Baseline,D,passive,Randomized controlled trial,8.0,89.1,14.7,9.0,89.7,11.2,,Mindfulness,Control,US,yes,2.selective,10.5,31,Some,High,High,High,Some,N,Y
Oken 2010,Real life functioning,Caregiver Appraisal Tool,Burnout/stress,Postintervention,D,passive,Randomized controlled trial,8.0,88.5,15.0,9.0,90.4,14.2,,Mindfulness,Control,US,yes,2.selective,10.5,31,Some,High,High,High,Some,N,Y
Oken 2010,Relationship with self,General Perceived Self-Efficacy Scale,Self-efficacy,Baseline,U,passive,Randomized controlled trial,8.0,30.6,4.4,9.0,30.2,5.1,,Mindfulness,Control,US,yes,2.selective,10.5,31,Some,High,High,High,Some,N,Y
Oken 2010,Relationship with self,General Perceived Self-Efficacy Scale,Self-efficacy,Postintervention,U,passive,Randomized controlled trial,8.0,31.4,4.6,9.0,31.4,5.1,,Mindfulness,Control,US,yes,2.selective,10.5,31,Some,High,High,High,Some,N,Y
Delgado-Pastor 2015,Depression,BDI,Depressive symptoms,Baseline,D,passive,Randomized controlled trial,15.0,13.7,8.4,15.0,12.4,7.8,,Mindfulness cognitive,Control,Spain,no,1.universal,6,45,Some,High,High,High,Some,NR,NR
Delgado-Pastor 2015,Depression,BDI,Depressive symptoms,Postintervention,D,passive,Randomized controlled trial,12.0,8.5,7.2,14.0,11.5,7.8,arm1.n=assumed-by-review-authors;arm2.n=assumed-by-review-authors,Mindfulness cognitive,Control,Spain,no,1.universal,6,45,Some,High,High,High,Some,NR,NR
Delgado-Pastor 2015,Distress,PSS,Stress,Baseline,D,passive,Randomized controlled trial,15.0,32.6,6.8,15.0,29.6,7.6,,Mindfulness cognitive,Control,Spain,no,1.universal,6,45,Some,High,High,High,Some,NR,NR
Delgado-Pastor 2015,Distress,PSS,Stress,Postintervention,D,passive,Randomized controlled trial,12.0,28.1,6.2,14.0,30.7,5.3,arm1.n=assumed-by-review-authors;arm2.n=assumed-by-review-authors,Mindfulness cognitive,Control,Spain,no,1.universal,6,45,Some,High,High,High,Some,NR,NR
Delgado-Pastor 2015,Mental wellbeing,PANAS-P in the last week,Positive affect,Baseline,U,passive,Randomized controlled trial,15.0,28.3,7.1,15.0,27.4,6.6,,Mindfulness cognitive,Control,Spain,no,1.universal,6,45,Some,High,High,High,Some,NR,NR
Delgado-Pastor 2015,Mental wellbeing,PANAS-P in the last week,Positive affect,Postintervention,U,passive,Randomized controlled trial,12.0,32.3,8.0,14.0,29.9,7.6,arm1.n=assumed-by-review-authors;arm2.n=assumed-by-review-authors,Mindfulness cognitive,Control,Spain,no,1.universal,6,45,Some,High,High,High,Some,NR,NR
Delgado-Pastor 2015,Mindfulness,MAAS,Mindfulness,Baseline,U,passive,Randomized controlled trial,15.0,56.7,10.8,15.0,51.1,13.8,,Mindfulness cognitive,Control,Spain,no,1.universal,6,45,Some,High,High,High,Some,NR,NR
Delgado-Pastor 2015,Mindfulness,MAAS,Mindfulness,Postintervention,U,passive,Randomized controlled trial,12.0,53.6,9.4,14.0,50.4,14.4,arm1.n=assumed-by-review-authors;arm2.n=assumed-by-review-authors,Mindfulness cognitive,Control,Spain,no,1.universal,6,45,Some,High,High,High,Some,NR,NR
Hunt 2018,Depression,BDI-II no suicidality item,Depression,Baseline,D,passive,Randomized controlled trial,24.0,8.167,5.08,24.0,7.88,5.86,,Mindfulness,Control,US,yes,1.universal,4,119,Some,High,High,High,Some,N,Y
Hunt 2018,Depression,BDI-II no suicidality item,Depression,Postintervention,D,passive,Randomized controlled trial,22.0,7.41,5.79,23.0,7.35,3.95,,Mindfulness,Control,US,yes,1.universal,4,119,Some,High,High,High,Some,N,Y
Hunt 2018,Distress,PANAS-N apparently in last week,Negative affect,Baseline,D,passive,Randomized controlled trial,23.0,19.13,6.196,24.0,18.083,6.68,,Mindfulness,Control,US,yes,1.universal,4,119,Some,High,High,High,Some,N,Y
Hunt 2018,Distress,PANAS-N apparently in last week,Negative affect,Postintervention,D,passive,Randomized controlled trial,22.0,16.05,6.28,23.0,15.0,3.23,,Mindfulness,Control,US,yes,1.universal,4,119,Some,High,High,High,Some,N,Y
Hunt 2018,Mental wellbeing,PANAS-P apparently in last week,Positive affect,Baseline,U,passive,Randomized controlled trial,23.0,31.96,8.59,24.0,34.1667,8.555,,Mindfulness,Control,US,yes,1.universal,4,119,Some,High,High,High,Some,N,Y
Hunt 2018,Mental wellbeing,PANAS-P apparently in last week,Positive affect,Postintervention,U,passive,Randomized controlled trial,22.0,26.0,11.9,23.0,31.0,9.0,,Mindfulness,Control,US,yes,1.universal,4,119,Some,High,High,High,Some,N,Y
Wilson 2012,Distress,PSS-10,Perceived stress,1-6months,D,passive,Randomized controlled trial,27.0,12.08,4.35,27.0,18.41,4.72,,Mindfulness,Control,US,yes,1.universal,8,96,Some,High,High,High,Some,NR,NR
Wilson 2012,Distress,PSS-10,Perceived stress,Baseline,D,passive,Randomized controlled trial,27.0,14.19,4.92,27.0,18.22,5.81,,Mindfulness,Control,US,yes,1.universal,8,96,Some,High,High,High,Some,NR,NR
Wilson 2012,Distress,PSS-10,Perceived stress,Postintervention,D,passive,Randomized controlled trial,27.0,10.69,4.96,27.0,19.44,5.09,,Mindfulness,Control,US,yes,1.universal,8,96,Some,High,High,High,Some,NR,NR
Wilson 2012,Mental wellbeing,SWLS,Life satisfaction,1-6months,U,passive,Randomized controlled trial,27.0,5.39,1.2,27.0,4.96,1.37,,Mindfulness,Control,US,yes,1.universal,8,96,Some,High,High,High,Some,NR,NR
