study,domain,instrument,outcome,ctrl_cat,dlogmean_ctl,dlogsd_ctl,dlogmean_mbp,dlogsd_mbp,predicted_dlogsd_mbp,residual
Gallego 2014,Distress,DASS-21,Distress,passive,0.020322880366855013,0.0409539990085994,-0.3532694836103449,-0.45574779098979157,-0.13038041031151087,-0.3253673806782807
Jain 2007,Distress,Brief Symptom Inventory (BSI),Psychological Distress,passive,-0.2488960474166244,0.19004360288786507,-1.067840630001356,-0.8556661100577202,-0.49308033727169187,-0.3625857727860283
Jain 2007,Mental wellbeing,Positive States of Mind scale (time frame 1 week),Positive mood,passive,0.006153865574378286,0.08223809823697201,0.1310282624064042,0.033901551675681416,0.1154380193779765,-0.08153646770229508
Kuhlmann 2016,Distress,Chronic Stress Screening Scale,Psychological Distress,passive,-0.08611007003361691,0.17696679165629456,-0.13615174551969564,-0.09091803354658919,-0.02017642552292387,-0.07074160802366532
Shearer 2016,Depression,BDI-II,Depression,passive,-0.04755574850842476,-0.18232155679395445,-0.2685610310050025,-0.22782971107993547,-0.08738434235097266,-0.1404453687289628
Shearer 2016,Mindfulness,FFMQ,Mindfulness,passive,-0.016017083535405395,-0.25575256799963114,-0.008159392520014774,0.116210531681892,0.04478955766700406,0.07142097401488794
Desbordes 2012,Anxiety,Beck Anxiety Inventory (BAI),Anxiety,active-specific,-0.19105523676270922,0.024097551579060524,-0.3677247801253174,-0.21511137961694557,-0.13771758732551165,-0.07739379229143392
Desbordes 2012,Depression,Beck Depression Inventory (BDI-II),Depression,active-specific,-0.7646061445420902,-0.6558757857627139,0.0,0.3136575588550416,0.04893107819437982,0.2647264806606618
Oken 2010,Cognitive functioning,Stroop Color and Word Test interference,Cognition,passive,0.03719102832608013,0.4933703399059116,-0.16690852425534008,-0.24458172958135638,-0.03578786107736821,-0.20879386850398818
Oken 2010,Depression,CES-D,Depression,passive,0.053704178971861166,-0.03974032864951411,-0.2342812957246657,0.34754246037545977,-0.06998473484486568,0.41752719522032544
Oken 2010,Distress,Revised Memory and Behavior Problems Checklist,Perceived stress,passive,0.06252035698133393,0.004228336109521105,-0.0886900747147188,0.0,0.003914030159922331,-0.003914030159922331
Oken 2010,Mindfulness,MAAS,Mindfulness,passive,-0.0779615414697118,0.47000362924573563,-0.07061756721395353,0.0,0.013087220518392347,-0.013087220518392347
Oken 2010,Psychosomatic outcomes,Epworth Sleep Questionnaire,Sleep,passive,0.11934675763256623,0.06187540371808745,0.021053409197832263,-0.5596157879354225,0.05961730589456481,-0.6192330938299874
Oken 2010,Real life functioning,Caregiver Appraisal Tool,Burnout/stress,passive,0.007773498333380447,0.23732818630616614,-0.0067567824628797625,0.02020270731751947,0.04550149036656216,-0.025298783049042692
Oken 2010,Relationship with self,General Perceived Self-Efficacy Scale,Self-efficacy,passive,0.03896596853338371,0.0,0.025807883955872503,0.04445176257083359,0.06203056824945369,-0.0175788056786201
Delgado-Pastor 2015,Depression,BDI,Depressive symptoms,passive,-0.07534943724178685,0.0,-0.4773296693378084,-0.15415067982725836,-0.19335051556873534,0.03919983574147698
Delgado-Pastor 2015,Distress,PSS,Stress,passive,0.036488293263136684,-0.36044142673420915,-0.14854271203296185,-0.09237332013101504,-0.026465795968436484,-0.06590752416257856
Delgado-Pastor 2015,Mental wellbeing,PANAS-P in the last week,Positive affect,passive,0.08731546700261625,0.1410785982599056,0.13220542557941883,0.11934675763256623,0.11603552040923,0.003311237223336233
Delgado-Pastor 2015,Mindfulness,MAAS,Mindfulness,passive,-0.013793322132335873,0.0425596144187959,-0.05622514265695014,-0.1388364448542158,0.020392485168343105,-0.15922893002255892
Hunt 2018,Depression,BDI-II no suicidality item,Depression,passive,-0.06962759064504245,-0.39443402467589067,-0.0972712050681431,0.13082102999451334,-0.000441554820162636,0.13126258481467598
Hunt 2018,Distress,PANAS-N apparently in last week,Negative affect,passive,-0.1869220693006325,-0.7266358503139891,-0.1755489338761366,0.01346605792548512,-0.04017353485414578,0.0536395927796309
Hunt 2018,Mental wellbeing,PANAS-P apparently in last week,Positive affect,passive,-0.09726428103448709,0.05070866999206255,-0.20638858287659184,0.3259396641213198,-0.05582703345458051,0.3817666975759003
Wilson 2012,Distress,PSS-10,Perceived stress,passive,0.0648129072004808,-0.1323027403013885,-0.2832287661349975,0.008097210232619303,-0.09482934833419686,0.10292655856681616
Wilson 2012,Mental wellbeing,SWLS,Life satisfaction,passive,-0.015779420103965228,-0.03509131981127017,0.17313313073954834,-0.26662866325394846,0.13680948497133105,-0.4034381482252795
Wilson 2012,Mindfulness,FFMQ,Mindfulness,passive,-0.005231878759333137,-0.16953086611506415,0.0518211175204124,-0.11900927737962765,0.07523428905669427,-0.1942435664363219
Wilson 2012,Psychosomatic outcomes,PSQI,Sleep,passive,0.0059171770280885185,-0.192371892647456,-0.4100209246440252,-0.32512996001727845,-0.15918614032420508,-0.16594381969307337
Wilson 2012,Real life functioning,Utrecht Work Engagement Scale,Work engagement,passive,-0.0073983074814449245,-0.12210269680089984,0.10559745441026774,-0.48884671704721533,0.10252992443274642,-0.5913766414799617
Aeamla-Or 2015,Depression,CES-D,Depression,passive,0.00256246136370015,-0.035947387808312026,-0.12432685689545095,0.04994102913753686,-0.014174383232261653,0.06411541236979851
Aeamla-Or 2015,Distress,PSS-10,Perceived Stress,passive,-0.0017947955760232092,-0.049914391381712955,-0.16325757288972328,0.06993139806921585,-0.03393472188985365,0.1038661199590695
Aeamla-Or 2015,Mindfulness,MAAS,Mindfulness,passive,0.023772401194144026,0.03499684203709615,0.07444495223441594,0.15776079205135804,0.08671762873500558,0.07104316331635246
Aeamla-Or 2015,Relationship with self,Rosenberg Self-Esteem Scale,Self-esteem,passive,0.008315364727265163,-0.1152545893030248,0.05941041344050062,0.13529661814909189,0.07908644162372355,0.05621017652536833
Amutio 2015,Mindfulness,FFMQ,Mindfulness (trait),passive,-0.049645230489165366,-0.11441035117774409,0.10506106963073467,0.14763599880606468,0.10225766781933322,0.045378330986731455
Amutio 2015,Real life functioning,Maslach Burnout Inventory Spanish validated confirmed by aut,Burnout,passive,-0.005420067469339256,-0.027651531330510123,-0.3503330374134482,-0.14131353306657746,-0.1288899375622038,-0.012423595504373663
Anderson 2007,Anxiety,BAI,Anxiety,passive,-0.10008345855698265,0.15634607039069384,-0.42488319396526597,-0.25593337413720063,-0.16672988740173805,-0.08920348673546258
Anderson 2007,Depression,BDI,Depression,passive,-0.06371581438610774,0.053345980705292714,-0.7808527609790509,-0.12648414710911948,-0.34741187632338194,0.22092772921426246
Asuero 2014,Mindfulness,FFMQ,Mindfulness,passive,0.009087216601356914,0.10536051565782635,0.08855339734144503,-0.29673190797169874,0.09387875192852603,-0.39061065990022475
Asuero 2014,Real life functioning,MBI-GS,Burnout,passive,0.026567027384721706,0.08434114843375096,-0.2524533805680371,-0.05310982531394841,-0.07920846837887889,0.026098643064930482
Auseron 2018,Distress,Perceived Stress Questionnaire PSQ,Perceived Stress,passive,0.059423420470800806,0.17185025692665923,-0.4155154439616658,-0.06899287148695131,-0.16197503232642857,0.09298216083947726
Auseron 2018,Mindfulness,FFMQ,Mindfulness,passive,-0.002609831842370897,-0.14146552029994267,0.1507067004122515,-0.3171725009624861,0.12542634323272353,-0.4425988441952097
Behbahani 2018,Distress,The Parenting Stress Index–Short Form parental distress subs,Stress,passive,-0.15001802261256436,0.5315578351402652,-0.24398314823840295,0.2602388651551777,-0.07490917269249386,0.33514803784767155
Benn 2012,Depression,CES-D,Depression,passive,0.01289278591192327,0.1283549745817824,-0.09975040276705947,-0.05452592184514152,-0.0016999387177749486,-0.05282598312736657
Benn 2012,Distress,PSS-14,Stress,passive,-0.08923113372794264,-0.07020425867324846,-0.18485641239714273,0.05310982531394833,-0.04489779750707011,0.09800762282101844
Benn 2012,Mental wellbeing,PANAS-P in last week,Positive affect,passive,-0.006269613013595374,0.06899287148695142,0.0180727810596946,0.053345980705292714,0.05810440740508895,-0.004758426699796238
Benn 2012,Mindfulness,FFMQ,Mindfulness,passive,0.009049835519918076,-0.3566749439387323,0.051147511166941,-0.22314355131420985,0.07489238191919238,-0.2980359332334022
Benn 2012,Relationship with self,SCS 26,Self-compassion,passive,0.01642073021232749,0.11778303565638346,0.06854231955322014,-0.04445176257083392,0.08372158774852693,-0.12817335031936086
Berghmans 2010,Anxiety,HADS A French version,Anxiety,passive,0.039806250400419574,0.251314428280906,-0.18647956694261839,-0.17185025692665915,-0.04572167353125953,-0.12612858339539962
Berghmans 2010,Depression,HADS D French version,Depression,passive,-0.20132450391957002,0.38776553100876354,-0.25209112734907846,-0.1124779834266902,-0.07902459695233026,-0.03345338647435994
Carmody 2011,Anxiety,HADS A (protocol says HADS),Anxiety,passive,-0.027398974188114503,0.21706450523782758,-0.3899609215721991,-0.4289956055183586,-0.14900414279223217,-0.2799914627261264
Carmody 2011,Distress,PSS-14,Perceived Stress,passive,0.004301081899390702,-0.07232066157962613,-0.19795330248565116,-0.20067069546215124,-0.051545478570738754,-0.1491252168914125
Carmody 2011,Psychosomatic outcomes,Included,bother from hot flashes and night sweats in the previous 24 ,passive,-0.09205814441794759,0.25951119548508444,-0.19763579176699705,0.3746934494414107,-0.05138431741128452,0.4260777668526952
Cerna 2019,Depression,Beck Depression Inventory,Depression,passive,-0.026272213505523688,0.30200212622652933,-0.7963314167951759,-0.5183772135299513,-0.355268487050396,-0.16310872647955527
Cerna 2019,Mental wellbeing,Mental Health Questionnaire MHC–14,Psychological wellbeing,passive,-0.010799432213243504,0.04663421651436378,0.1421572276104074,-0.08708954779287457,0.12108682689983186,-0.20817637469270645
Christopher 2018,Anxiety,PROMIS,Anxiety,passive,-0.07036086075637628,0.4194854535870427,-0.06116657176556875,-0.10167132540031443,0.01788432907244308,-0.11955565447275751
Christopher 2018,Cognitive functioning,Shooter Bias Task [Time Frame: 8 weeks] control estimates bl,Decision Making,passive,0.0,0.78845736036427,-0.01197619104671565,-0.25131442828090594,0.0428522382638237,-0.29416666654472967
Christopher 2018,Depression,PROMIS,Depression,passive,-0.021739986636405875,-0.0846426431540792,-0.01698915357818487,-0.24882003935973374,0.04030777344292944,-0.2891278128026632
Christopher 2018,Distress,PSQ,Operational stress,passive,-0.02150620522096362,0.040005334613699206,-0.09325749348658258,-0.1053605156578264,0.0015957131339434175,-0.10695622879176983
