true_vr,stratum,simulated_lnvr,mc_se,observed_lnvr
1.0,|SMD| < 0.15,-0.0022184915347365024,0.0035845522946882746,0.0133
1.0,"SMD in [-0.35, -0.15]",-0.001284911823342921,0.0040603416512714685,-0.0488
1.0,SMD < -0.35,0.0006079126102015082,0.0017453510594836843,-0.1615
0.95,|SMD| < 0.15,-0.05623537556096067,0.0037098074033053937,0.0133
0.95,"SMD in [-0.35, -0.15]",-0.05187780073401248,0.004568431711465605,-0.0488
0.95,SMD < -0.35,-0.05081414248426973,0.002039271722194393,-0.1615
0.9,|SMD| < 0.15,-0.10536517061278582,0.004273334794596271,0.0133
0.9,"SMD in [-0.35, -0.15]",-0.10714948057606358,0.004098515448731697,-0.0488
0.9,SMD < -0.35,-0.10408136557203808,0.001854383845624865,-0.1615
0.85,|SMD| < 0.15,-0.1717253080830515,0.0038388072207016666,0.0133
0.85,"SMD in [-0.35, -0.15]",-0.17318264801834066,0.004716407165280853,-0.0488
0.85,SMD < -0.35,-0.16197412896832403,0.0018708726025515366,-0.1615
