group,tau,effect_sd_units,SMD,VR
ALL primary domains,0.1,-0.30553702539756733,-0.45190192456026473,0.8857908623438815
ALL primary domains,0.25,-0.37486903183247944,-0.45190192456026473,0.8857908623438815
ALL primary domains,0.5,-0.45190192456026473,-0.45190192456026473,0.8857908623438815
ALL primary domains,0.75,-0.52893481728805,-0.45190192456026473,0.8857908623438815
ALL primary domains,0.9,-0.5982668237229621,-0.45190192456026473,0.8857908623438815
Distress,0.1,-0.2761765353321825,-0.452956415647859,0.8620579264474987
Distress,0.25,-0.35991590091590286,-0.452956415647859,0.8620579264474987
Distress,0.5,-0.452956415647859,-0.452956415647859,0.8620579264474987
Distress,0.75,-0.5459969303798151,-0.452956415647859,0.8620579264474987
Distress,0.9,-0.6297362959635355,-0.452956415647859,0.8620579264474987
Depression,0.1,-0.3088421145755924,-0.440309545503986,0.8974154185730904
Depression,0.25,-0.3711172968033801,-0.440309545503986,0.8974154185730904
Depression,0.5,-0.440309545503986,-0.440309545503986,0.8974154185730904
Depression,0.75,-0.5095017942045919,-0.440309545503986,0.8974154185730904
Depression,0.9,-0.5717769764323796,-0.440309545503986,0.8974154185730904
Anxiety,0.1,-0.4607992859168155,-0.6070342184570793,0.8858922758382175
Anxiety,0.25,-0.5300697280917552,-0.6070342184570793,0.8858922758382175
Anxiety,0.5,-0.6070342184570793,-0.6070342184570793,0.8858922758382175
Anxiety,0.75,-0.6839987088224033,-0.6070342184570793,0.8858922758382175
Anxiety,0.9,-0.753269150997343,-0.6070342184570793,0.8858922758382175
Mental wellbeing,0.1,-0.2457915105433226,-0.3486443969110549,0.9197434663317472
Mental wellbeing,0.25,-0.29451218756555164,-0.3486443969110549,0.9197434663317472
Mental wellbeing,0.5,-0.3486443969110549,-0.3486443969110549,0.9197434663317472
Mental wellbeing,0.75,-0.4027766062565582,-0.3486443969110549,0.9197434663317472
Mental wellbeing,0.9,-0.45149728327878724,-0.3486443969110549,0.9197434663317472
