subset,k,studies,ln_mean_ratio,lnvr,diff,diff_lo,diff_hi,slope,slope_lo,slope_hi,intercept,intercept_lo,intercept_hi,predicted_lnvr
"BASELINE, passive-controlled (negative control)",232,74,0.023496378214278267,0.011744027244898458,-0.011752350969379814,-0.05855029617611573,0.0338767381212581,,,,,,,
"POST-INTERVENTION, all scales",212,71,-0.08184699273708385,-0.10349036256027522,-0.021643369823191354,-0.07114446178614868,0.026130345598562126,,,,,,,
"POST, symptom scales only (lower is better)",117,66,-0.21469128334196952,-0.14045819548195637,0.07423308786001309,-0.009198279428820384,0.1489802393434276,,,,,,,
"POST, positively-keyed scales (higher is better)",95,58,0.08176123884998579,-0.05796155780409946,-0.1397227966540853,-0.19112180036367366,-0.08525020741013119,,,,,,,
regression: all scales,212,71,,,,,,0.45960431323215856,0.2805556122679253,0.6715205725424402,-0.06587313167323033,-0.11074781692035889,-0.01569513626658967,
regression: symptom scales (D),117,66,,,,,,0.5762069733299754,0.29058804259291354,1.0207280870297049,-0.016751580907151953,-0.11610274700642137,0.12290514872662119,
regression: positively-keyed (U),95,58,,,,,,0.12488698294951348,-0.5246421890805073,0.6930236391011577,-0.06817247224628874,-0.1428488622239502,0.010817355625125126,
regression: BASELINE negative control,232,74,,,,,,0.4728654924964831,0.2578595655822902,0.9004527264964304,0.0006334007887201301,-0.04475824079418883,0.0453024941402517,
small-k prediction: symptom scales (D),115,66,,-0.14213184466530046,0.06394898165965823,,,,,,,,,-0.2060808263249587
small-k prediction: positively-keyed (U),95,58,,-0.05796155780409946,-0.148974071203426,,,,,,,,,0.09101251339932655
