floor_sd_units,shift_sd,mean_lnvr,vr
0.5,0.0,0.005741919082790423,1.0057584354970066
0.5,0.25,-0.11028336240686892,0.8955803255415651
0.5,0.5,-0.24865715989763118,0.7798472904834727
1.0,0.0,0.009002992852624691,1.0090436416882602
1.0,0.25,-0.06518588553912845,0.9368932922752199
1.0,0.5,-0.15478503441214433,0.8565992970646678
1.5,0.0,0.00010857030467542467,1.0001085761986444
1.5,0.25,-0.03601022973298544,0.9646304255209671
1.5,0.5,-0.08090849235985054,0.9222780830742534
2.0,0.0,-0.0025324311080825897,0.9974707727904546
2.0,0.25,-0.013102042815970254,0.9869834153144992
2.0,0.5,-0.04290891261578756,0.9579986476838329
3.0,0.0,-0.003842465217306584,0.9961649076058713
3.0,0.25,-0.01351675744607137,0.986574183715532
3.0,0.5,-0.007210229990328309,0.99281570135684
4.23,0.0,-0.0016863560471215384,0.9983150650522985
4.23,0.25,-0.0020916379966304435,0.9979105479537861
4.23,0.5,-0.0022862322341537476,0.9977163792042631
6.0,0.0,0.004670884255921123,1.0046818098398766
6.0,0.25,0.00503414842316993,1.0050468410382412
6.0,0.5,0.0038416923074414805,1.0038490810660832
