label,k,studies,mu,ci_lo,ci_hi,boot_lo,boot_hi,boot_p,tau,I2,p_re,exp_mu,exp_boot_lo,exp_boot_hi,step
"baseline lnVR, control = passive",232,74,0.0050553510393886265,-0.018830528907064856,0.02894123098584211,-0.023672558933194976,0.036555256511499774,0.748,0.07867006899603418,0.1762648468480267,0.6782747425738811,1.0050681508866048,0.9766054381354627,1.037231616235029,negative-control
"baseline lnVR, control = active-nonspecific",38,11,0.07452779526695087,-0.0031723447687273254,0.15222793530262907,-0.00913008969623498,0.16009411494674317,0.07733333333333334,0.15131373040392354,0.3161239734041367,0.060115916502614164,1.0773752890398463,0.9909114630165401,1.1736213211023578,negative-control
"baseline lnVR, control = active-specific",59,19,-0.008590519792177748,-0.07165700232204515,0.05447596273768966,-0.09853624276102559,0.07695773826184593,0.8486666666666667,0.1468097911926947,0.37979026258687665,0.7894892005618188,0.9914462732903581,0.9061628501754949,1.0799964329016658,negative-control
"baseline lnVR, control = ALL",329,104,0.01127733751468244,-0.010908465870392814,0.033463140899757694,-0.01725772607234456,0.04047795335514574,0.44,0.10252657372864529,0.24123718557309354,0.31911623847575354,1.0113411663996925,0.9828903355232564,1.041308352094027,negative-control
"Postintervention lnVR, control = passive",212,71,-0.10081080977804599,-0.14023530388815092,-0.06138631566794107,-0.14392301059391896,-0.05884934901265132,0.0,0.21337613742024727,0.5782539509788391,5.393833037992124e-07,0.9041040643552181,0.8659544148089448,0.9428487995608952,main
"Postintervention lnVR, control = active-nonspecific",32,9,-0.12737165538054607,-0.23906329441021318,-0.01568001635087897,-0.3287808868656034,0.018410746776583924,0.09733333333333333,0.2552044045761723,0.6330455001133609,0.025409682670041622,0.8804064040082411,0.7198007172606175,1.0185812694507652,main
"Postintervention lnVR, control = active-specific",56,18,-0.07072779996255815,-0.127392754464476,-0.014062845460640294,-0.14330274292807468,0.004796898519591708,0.07333333333333333,0.08613515744192045,0.19452701409984952,0.014429932367434395,0.9317154705999741,0.8664917049471698,1.004808422055672,main
"Postintervention lnVR, control = ALL",300,98,-0.09787779145310686,-0.12992533212877722,-0.06583025077743651,-0.1356075994728996,-0.06197430823613199,0.0,0.19950788673242592,0.5433189673912828,2.1504920066917066e-09,0.9067597107696352,0.8731852036059313,0.9399070343504753,main
"1-6months lnVR, control = passive",78,24,-0.06947798484924408,-0.11041354288857522,-0.028542426809912952,-0.11265956694017704,-0.027719074699849133,0.0013333333333333333,0.07888340114170989,0.19109642634553323,0.000879269529996618,0.9328806706670915,0.8934547698896951,0.9726615736686176,main
"1-6months lnVR, control = active-nonspecific",29,8,-0.014236514582816813,-0.10756436281686503,0.0790913336512314,-0.15854887322054317,0.06820814439933277,0.7733333333333333,0.14936069299825672,0.3788559154639606,0.7649561577180615,0.9858643453921178,0.8533812552814308,1.070588122210885,main
