id,authors,title,keywords,pubMonth,pubYear,volume,firstPage,lastPage,doi
QNrlc,"Beck, J",Can bootstrapping explain concept learning?,Bootstrapping; Concept learning; Susan Carey; Concepts; Computational constraints,JAN,2017,158,110,121,http://doi.org/10.1016/j.cognition.2016.10.017
Pjjah,"Westra, E; Carruthers, P",Pragmatic development explains the Theory-of-Mind Scale,Constructivism; False belief; Nativism; Pedagogy; Pragmatics; Wellman,JAN,2017,158,165,176,http://doi.org/10.1016/j.cognition.2016.10.021
TQuzq,"Kahan, DM",Laws of cognition and the cognition of law,Story telling model; Motivated cognition; Legal decisionmaking,FEB,2015,135,56,60,http://doi.org/10.1016/j.cognition.2014.11.025
qfmuM,"Greene, JD",The rise of moral cognition,Morality; Moral judgment; Moral cognition,FEB,2015,135,39,42,http://doi.org/10.1016/j.cognition.2014.11.018
MvONT,"Van Leeuwen, N",Religious credence is not factual belief,Belief; Credence; Religion; Imagination; Cognitive attitudes; Cognitive science of religion,DEC,2014,133,698,715,http://doi.org/10.1016/j.cognition.2014.08.015
HgqUS,"Cohn, N",A multimodal parallel architecture: A cognitive framework for multimodal interactions,Multimodality; Visual language; Gesture; Comics; Narrative; Parallel architecture; Linguistic models,JAN,2016,146,304,323,http://doi.org/10.1016/j.cognition.2015.10.007
PDqah,"Sims, CR",Rate-distortion theory and human perception,Rate-distortion theory; Information theory; Bayesian perception; Absolute identification; Visual working memory,JUL,2016,152,181,198,http://doi.org/10.1016/j.cognition.2016.03.020
IMjXX,"Knobe, J",Philosophers are doing something different now: Quantitative data,Philosophy of mind; Philosophy of cognitive science; Bibliometrics,FEB,2015,135,36,38,http://doi.org/10.1016/j.cognition.2014.11.011
Pwkqn,"Korman, J; Voiklis, J; Malle, BF",The social life of cognition,History; Social psychology; Theory of mind; Communication; Robotics; Social cognition; Computation,FEB,2015,135,30,35,http://doi.org/10.1016/j.cognition.2014.11.005
VumOW,"van Dijk, L; Withagen, R; Bongers, RM",Information without content: A Gibsonian reply to enactivists' worries,Content; Ecological psychology; Enactivism; Information; Representation,JAN,2015,134,210,214,http://doi.org/10.1016/j.cognition.2014.10.012
tRsrp,"Hattori, M",Probabilistic representation in syllogistic reasoning: A theory to integrate mental models and heuristics,Deduction; Probabilistic inference; Syllogistic reasoning; Mental representation; Information gain; Symmetry inference,DEC,2016,157,296,320,http://doi.org/10.1016/j.cognition.2016.09.009
XmMmS,"Ayars, A",Can model-free reinforcement learning explain deontological moral judgments?,Moral judgment; Model-free; Model-based; Dual-system; Reinforcement learning,MAY,2016,150,232,242,http://doi.org/10.1016/j.cognition.2016.02.002
HTvQY,"Fechner, HB; Pachur, T; Schooler, LJ; Mehlhorn, K; Battal, C; Volz, KG; Borst, JP",Strategies for memory-based decision making: Modeling behavioral and neural signatures within a cognitive architecture,Decision making; Memory; Recognition heuristic; ACT-R; Computational modeling; Neuroimaging,DEC,2016,157,77,99,http://doi.org/10.1016/j.cognition.2016.08.011
UznPb,"Rigoli, F; Pezzulo, G; Dolan, RJ",Prospective and Pavlovian mechanisms in aversive behaviour,Aversion; Pavlovian; Goal-directed; Controllability; Threat distance; Fear; Anxiety; Learned helplessness,JAN,2016,146,415,425,http://doi.org/10.1016/j.cognition.2015.10.017
xmmqg,"Chater, N",Can cognitive science create a cognitive economics?,Cognition; Economics; Rational analysis; Virtual bargaining; Distributed cognition,FEB,2015,135,52,55,http://doi.org/10.1016/j.cognition.2014.10.015
ibBqR,"Cole, P; Hermon, G; Yanti",Grammar of Binding in the languages of the world: Innate or learned?,Anaphora; Binding; Innate; Learned; Syntax; Indonesian,AUG,2015,141,138,160,http://doi.org/10.1016/j.cognition.2015.04.005
pcdNv,"Frank, MJ; Badre, D",How cognitive theory guides neuroscience,Neuroscience; Computational models; Memory; Cognitive control; Decision making,FEB,2015,135,14,20,http://doi.org/10.1016/j.cognition.2014.11.009
YNOPE,"Keil, FC",Developmental insights into mature cognition,Cognition; Cognitive development; Concepts; Statistical learning; Executive function; Extended mind,FEB,2015,135,10,13,http://doi.org/10.1016/j.cognition.2014.11.023
