table,outcome,cause,group,median_pct,ci_low,ci_high
2,catastrophe_by_2100,ai,superforecasters,2.13,1.83,3.00
2,catastrophe_by_2100,ai,domain_experts,12,4.0,18.5
2,catastrophe_by_2100,ai,nondomain_experts,6.16,5,12
2,catastrophe_by_2100,ai,general_xrisk_experts,10,6.16,16.12
2,catastrophe_by_2100,ai,public,5,5,5
2,catastrophe_by_2100,engineered_pathogen,superforecasters,0.8,0.5,1.0
2,catastrophe_by_2100,engineered_pathogen,domain_experts,3,1,5
2,catastrophe_by_2100,engineered_pathogen,nondomain_experts,2.5,1.5,5.0
2,catastrophe_by_2100,engineered_pathogen,general_xrisk_experts,5,3.03,10.00
2,catastrophe_by_2100,natural_pathogen,superforecasters,1,0.7,1.3
2,catastrophe_by_2100,natural_pathogen,domain_experts,0.85,0.5,2.0
2,catastrophe_by_2100,natural_pathogen,nondomain_experts,1.5,1,3
2,catastrophe_by_2100,natural_pathogen,general_xrisk_experts,1.9,0.2,2.5
2,catastrophe_by_2100,nuclear,superforecasters,4,3,5
2,catastrophe_by_2100,nuclear,domain_experts,8,5,11
2,catastrophe_by_2100,nuclear,nondomain_experts,8,7,10
2,catastrophe_by_2100,nuclear,general_xrisk_experts,7.24,4.9,10
2,catastrophe_by_2100,nuclear,public,10,10,11
2,catastrophe_by_2100,non_anthropogenic,superforecasters,0.05,0.033,0.081
2,catastrophe_by_2100,non_anthropogenic,domain_experts,0.09,0.05,0.11
2,catastrophe_by_2100,non_anthropogenic,general_xrisk_experts,0.045,0.01,1.00
2,catastrophe_by_2100,non_anthropogenic,public,2,1,3
2,catastrophe_by_2100,TOTAL,superforecasters,9.05,6.13,10.25
2,catastrophe_by_2100,TOTAL,domain_experts,20,15.44,27.60
2,catastrophe_by_2100,TOTAL,general_xrisk_experts,28.95,18.70,50.63
2,catastrophe_by_2100,TOTAL,public,11.56,10,13
3,extinction_by_2100,ai,superforecasters,0.38,0.10,0.75
3,extinction_by_2100,ai,domain_experts,3,0.49,10.00
3,extinction_by_2100,ai,nondomain_experts,2,1.00,4.03
3,extinction_by_2100,ai,general_xrisk_experts,4.75,1.9,14.0
3,extinction_by_2100,ai,public,2,1,2
3,extinction_by_2100,engineered_pathogen,superforecasters,0.01,0.005,0.052
3,extinction_by_2100,engineered_pathogen,domain_experts,1,0.12,1.09
3,extinction_by_2100,engineered_pathogen,nondomain_experts,0.1,0.05,0.30
3,extinction_by_2100,engineered_pathogen,general_xrisk_experts,1,0.12,1.09
3,extinction_by_2100,natural_pathogen,superforecasters,0.0018,0.001,0.030
3,extinction_by_2100,natural_pathogen,domain_experts,0.01,0.0005,0.0200
3,extinction_by_2100,natural_pathogen,nondomain_experts,0.008,0.0001,0.0640
3,extinction_by_2100,natural_pathogen,general_xrisk_experts,0.001,0.0001,0.2000
3,extinction_by_2100,nuclear,superforecasters,0.074,0.025,0.100
3,extinction_by_2100,nuclear,domain_experts,0.55,0.075,1.400
3,extinction_by_2100,nuclear,nondomain_experts,0.19,0.073,0.500
3,extinction_by_2100,nuclear,general_xrisk_experts,0.7,0.016,1.000
3,extinction_by_2100,nuclear,public,2,1.5,4
3,extinction_by_2100,non_anthropogenic,superforecasters,0.0043,0.0020,0.0067
3,extinction_by_2100,non_anthropogenic,domain_experts,0.004,0.0017,0.0072
3,extinction_by_2100,non_anthropogenic,general_xrisk_experts,0.0059,0.0010,0.0095
3,extinction_by_2100,non_anthropogenic,public,1,0.5,1.0
3,extinction_by_2100,TOTAL,superforecasters,1,0.55,1.23
3,extinction_by_2100,TOTAL,domain_experts,6,3.41,10.00
3,extinction_by_2100,TOTAL,general_xrisk_experts,6.6,3.001,13.670
3,extinction_by_2100,TOTAL,public,5,3,5
