cause,ci_high,ci_low,group,median,n,observed_ratio,outcome,p05,p95,sigma_log,sim_ratio,sim_ratio_hi,sim_ratio_lo
ai,0.75,0.1,superforecasters,0.38,88,,extinction_by_2100,0.0006779967156369339,212.98038275059432,3.8472851598584916,,,
engineered_pathogen,0.052,0.005,superforecasters,0.01,88,,extinction_by_2100,6.390157406413813e-06,15.649066781927752,4.471478097658683,,,
natural_pathogen,0.03,0.001,superforecasters,0.0018,88,,extinction_by_2100,4.127184883373663e-08,78.50387350109558,6.49429579429423,,,
nuclear,0.1,0.025,superforecasters,0.074,88,,extinction_by_2100,0.0009509750993364157,5.758300089898376,2.647010634435738,,,
non_anthropogenic,0.0067,0.002,superforecasters,0.0043,88,,extinction_by_2100,9.645162963600614e-05,0.19170230787990275,2.30840648407198,,,
TOTAL,1.23,0.55,superforecasters,1.0,88,,extinction_by_2100,0.079816341078041,12.528762738224781,1.5367945410796047,,,
ai,10.0,0.49,domain_experts,3.0,59,,extinction_by_2100,0.0012836953608990269,7011.0092114821655,4.715273342492024,,,
engineered_pathogen,1.09,0.12,domain_experts,1.0,59,,extinction_by_2100,0.0034316867106622927,291.40189193057387,3.4496677120335493,,,
natural_pathogen,0.02,0.0005,domain_experts,0.01,59,,extinction_by_2100,7.580415287113753e-07,131.91889390281025,5.7673905651054955,,,
nuclear,1.4,0.075,domain_experts,0.55,59,,extinction_by_2100,0.00029602659165394054,1021.8676582731698,4.575820225076564,,,
non_anthropogenic,0.0072,0.0017,domain_experts,0.004,59,,extinction_by_2100,9.767654519999605e-05,0.1638059573794247,2.2567709297723217,,,
TOTAL,10.0,3.41,domain_experts,6.0,59,,extinction_by_2100,0.37709546134239136,95.46654280018788,1.6820768265686434,,,
ai,3.0,1.83,superforecasters,2.13,88,,catastrophe_by_2100,0.4509240689031327,10.06133917631843,0.943816592710672,,,
engineered_pathogen,1.0,0.5,superforecasters,0.8,88,,catastrophe_by_2100,0.0906898533893093,7.05701879627743,1.3235053172178688,,,
natural_pathogen,1.3,0.7,superforecasters,1.0,88,,catastrophe_by_2100,0.14307388932780082,6.989395512334681,1.1820024763429327,,,
nuclear,5.0,3.0,superforecasters,4.0,88,,catastrophe_by_2100,0.8039628192640694,19.901417847464714,0.9753778824855995,,,
non_anthropogenic,0.081,0.033,superforecasters,0.05,88,,catastrophe_by_2100,0.00297903726107362,0.8391972912413392,1.7145427500680597,,,
TOTAL,10.25,6.13,superforecasters,9.05,88,,catastrophe_by_2100,1.80045048698118,45.490004080770994,0.9815974793781547,,,
ai,18.5,4.0,domain_experts,12.0,59,,catastrophe_by_2100,0.2336647909380979,616.2674291744204,2.3943917068722977,,,
engineered_pathogen,5.0,1.0,domain_experts,3.0,59,,catastrophe_by_2100,0.04780285827721893,188.2732607286177,2.516280932125254,,,
natural_pathogen,2.0,0.5,domain_experts,0.85,59,,catastrophe_by_2100,0.024043213777399642,30.05005930942319,2.1674064219868274,,,
nuclear,11.0,5.0,domain_experts,8.0,59,,catastrophe_by_2100,1.052979071461491,60.77993545604915,1.2327162212041276,,,
non_anthropogenic,0.11,0.05,domain_experts,0.09,59,,catastrophe_by_2100,0.011846014553941787,0.6837742738805523,1.2327162212041272,,,
TOTAL,27.6,15.44,domain_experts,20.0,59,,catastrophe_by_2100,4.489963428470781,89.08758531608675,0.9081384297505958,,,
ARTIFACT-SIM,,,superforecasters,,88,2.13,extinction_by_2100,,,3.9536952340638245,7.76541537177377,15.825569959505742,3.641153886993201
ARTIFACT-SIM,,,superforecasters,,88,1.13,catastrophe_by_2100,,,1.2278490037650265,1.3503618195259905,1.5622884483305426,1.172194540609842
