question,sd_log,sim_ratio,sim_sum,sim_total,unnamed_frac
extinction,,3.7905787009067806,0.5264042802598276,1.884354148857129,0.0
extinction,,4.901805552653619,0.5061742691659016,2.3107097720036776,0.25
extinction,,5.744969797798465,0.5053480044945229,2.7450840891933708,0.5
extinction,,7.879383607766406,0.5034898153100431,3.6912484808257973,1.0
extinction,,11.395239952986481,0.5065222152356348,5.443807363554649,2.0
extinction_sd_sweep,0.3,1.0103997620168614,,,0.0
extinction_sd_sweep,0.6,1.0435202084859447,,,0.0
extinction_sd_sweep,1.0,1.1334144265617443,,,0.0
extinction_sd_sweep,1.5,1.3596726868673297,,,0.0
extinction_sd_sweep,2.0,1.7962827280536775,,,0.0
extinction_sd_sweep,3.0,3.707241486891193,,,0.0
