subject,n_items,N_pairitems,A_obs,A_item,share_item
moral_scenarios,895,43597,0.49177695713007774,0.491776957130063,0.9999999999999069
philosophy,311,7723,0.6799171306487116,0.6799171306487011,0.9999999999999696
world_religions,171,3064,0.7783942558746736,0.7783942558746779,1.0000000000000098
formal_logic,126,7434,0.47995695453322573,0.47995695453322723,1.0000000000000102
econometrics,114,6480,0.605246913580247,0.6052469135802523,1.0000000000000195
professional_medicine,272,4123,0.6463739995149164,0.6463739995149248,1.0000000000000269
college_physics,102,6727,0.5393191615876319,0.5393191615876394,1.0000000000000362
machine_learning,112,5907,0.5253089554765532,0.5253089554765606,1.0000000000000389
high_school_psychology,545,5259,0.76364327818977,0.7636432781897867,1.0000000000000389
high_school_mathematics,270,20635,0.46954204022292223,0.4695420402229313,1.0000000000000664
