m1,m2,n,obs,pred_indep,excess,acc_min,same_provider
01-ai_yi-34b,allenai_olmo-7b,577,0.20103986135181975,0.3012661982825917,-0.10022633693077196,0.29026730637422893,False
01-ai_yi-34b,anthropic_claude-3-5-sonnet-20241022,230,0.5695652173913044,0.5895493465525011,-0.01998412916119674,0.7018505825908157,False
01-ai_yi-34b,anthropic_claude-3-haiku-20240307,567,0.6349206349206349,0.561751529327096,0.07316910559353884,0.6658670322138451,False
01-ai_yi-34b,cohere_command-r-plus,528,0.6818181818181818,0.5539434324065197,0.1278747494116621,0.6494174091843729,False
01-ai_yi-34b,databricks_dbrx-instruct,575,0.6765217391304348,0.5571009452470127,0.11942079388342208,0.6572995202193284,False
01-ai_yi-34b,deepseek-ai_deepseek-llm-67b-chat,604,0.7235099337748344,0.5640930274242696,0.15941690635056482,0.6569568197395477,False
01-ai_yi-34b,google_gemini-1.5-pro-002,279,0.5949820788530465,0.5889285714285715,0.00605350742447508,0.7018505825908157,False
01-ai_yi-34b,google_gemma-2-27b,553,0.5352622061482821,0.5174202764976958,0.017841929650586286,0.6507882111034955,False
01-ai_yi-34b,google_text-unicorn@001,483,0.6583850931677019,0.6058832456495347,0.05250184751816722,0.7018505825908157,False
01-ai_yi-34b,meta_llama-3.1-405b-instruct-turbo,279,0.6308243727598566,0.6472556390977443,-0.016431266337887718,0.7018505825908157,False
01-ai_yi-34b,meta_llama-3.1-70b-instruct-turbo,372,0.6370967741935484,0.6110750507099392,0.026021723483609205,0.7018505825908157,False
01-ai_yi-34b,meta_llama-3.1-8b-instruct-turbo,556,0.37050359712230213,0.3683035714285714,0.002200025693730734,0.5092529129540782,False
01-ai_yi-34b,microsoft_phi-3-medium-4k-instruct,396,0.6792929292929293,0.5951434034416826,0.08414952585124669,0.7018505825908157,False
01-ai_yi-34b,mistralai_mistral-7b-v0.1,586,0.6092150170648464,0.496107622536194,0.11310739452865237,0.4986291980808773,False
01-ai_yi-34b,mistralai_mistral-large-2407,374,0.5855614973262032,0.5498417537746806,0.03571974355152263,0.7018505825908157,False
01-ai_yi-34b,openai_gpt-3.5-turbo-0125,608,0.6710526315789473,0.5540732473544974,0.11697938422444998,0.570938999314599,False
01-ai_yi-34b,openai_gpt-4o-2024-08-06,329,0.5440729483282675,0.5599404761904762,-0.015867527862208686,0.7018505825908157,False
01-ai_yi-34b,openai_gpt-4o-mini-2024-07-18,573,0.6666666666666666,0.5985128660159716,0.06815380065069498,0.6665524331734064,False
01-ai_yi-34b,qwen_qwen1.5-7b,603,0.703150912106136,0.5444758597883598,0.15867505231777623,0.5407813570939,False
01-ai_yi-34b,qwen_qwen2.5-72b-instruct-turbo,320,0.665625,0.614490756302521,0.05113424369747899,0.7018505825908157,False
01-ai_yi-34b,writer_palmyra-x-v3,484,0.6570247933884298,0.605197009496868,0.05182778389156173,0.7018505825908157,False
allenai_olmo-7b,anthropic_claude-3-5-sonnet-20241022,252,0.42857142857142855,0.3030425264174036,0.12552890215402496,0.29026730637422893,False
allenai_olmo-7b,anthropic_claude-3-haiku-20240307,686,0.3396501457725947,0.3063288874206824,0.0333212583519123,0.29026730637422893,False
allenai_olmo-7b,cohere_command-r-plus,664,0.3042168674698795,0.30725198958447936,-0.003035122114599831,0.29026730637422893,False
allenai_olmo-7b,databricks_dbrx-instruct,726,0.465564738292011,0.30687869671107837,0.15868604158093264,0.29026730637422893,False
allenai_olmo-7b,deepseek-ai_deepseek-llm-67b-chat,664,0.2063253012048193,0.306052066835332,-0.09972676563051269,0.29026730637422893,False
allenai_olmo-7b,google_gemini-1.5-pro-002,306,0.3333333333333333,0.30311591675386584,0.03021741657946747,0.29026730637422893,False
allenai_olmo-7b,google_gemma-2-27b,711,0.3980309423347398,0.3115698924731183,0.08646104986162151,0.29026730637422893,False
allenai_olmo-7b,google_text-unicorn@001,624,0.22435897435897437,0.3011114723138129,-0.07675249795483854,0.29026730637422893,False
allenai_olmo-7b,meta_llama-3.1-405b-instruct-turbo,291,0.41237113402061853,0.2962202745863797,0.11615085943423886,0.29026730637422893,False
allenai_olmo-7b,meta_llama-3.1-70b-instruct-turbo,432,0.44675925925925924,0.3004976778727319,0.14626158138652734,0.29026730637422893,False
allenai_olmo-7b,meta_llama-3.1-8b-instruct-turbo,643,0.2954898911353033,0.3291990221455277,-0.033709131010224436,0.29026730637422893,False
allenai_olmo-7b,microsoft_phi-3-medium-4k-instruct,407,0.33906633906633904,0.30238117627391364,0.036685162792425396,0.29026730637422893,False
allenai_olmo-7b,mistralai_mistral-7b-v0.1,671,0.12816691505216096,0.3140895534338157,-0.18592263838165476,0.29026730637422893,False
allenai_olmo-7b,mistralai_mistral-large-2407,366,0.2650273224043716,0.30773690523790487,-0.042709582833533266,0.29026730637422893,False
allenai_olmo-7b,openai_gpt-3.5-turbo-0125,737,0.1994572591587517,0.30723664238008497,-0.10777938322133326,0.29026730637422893,False
allenai_olmo-7b,openai_gpt-4o-2024-08-06,370,0.4297297297297297,0.30654299683635317,0.12318673289337656,0.29026730637422893,False
allenai_olmo-7b,openai_gpt-4o-mini-2024-07-18,689,0.3251088534107402,0.3019828259172521,0.023126027493488077,0.29026730637422893,False
allenai_olmo-7b,qwen_qwen1.5-7b,729,0.2345679012345679,0.30837128111718276,-0.07380337988261487,0.29026730637422893,False
allenai_olmo-7b,qwen_qwen2.5-72b-instruct-turbo,322,0.32608695652173914,0.30009386049501774,0.025993096026721396,0.29026730637422893,False
allenai_olmo-7b,writer_palmyra-x-v3,624,0.22435897435897437,0.3011926016957668,-0.07683362733679241,0.29026730637422893,False
anthropic_claude-3-5-sonnet-20241022,anthropic_claude-3-haiku-20240307,252,0.5992063492063492,0.5490985228329188,0.050107826373430364,0.6658670322138451,True
anthropic_claude-3-5-sonnet-20241022,cohere_command-r-plus,236,0.5084745762711864,0.5417229479389409,-0.03324837166775452,0.6494174091843729,False
anthropic_claude-3-5-sonnet-20241022,databricks_dbrx-instruct,241,0.5684647302904564,0.5447055533894933,0.023759176900963075,0.6572995202193284,False
anthropic_claude-3-5-sonnet-20241022,deepseek-ai_deepseek-llm-67b-chat,258,0.5116279069767442,0.5513103158927999,-0.03968240891605568,0.6569568197395477,False
anthropic_claude-3-5-sonnet-20241022,google_gemini-1.5-pro-002,216,0.7175925925925926,0.5747701187999195,0.1428224737926731,0.8468128855380398,False
anthropic_claude-3-5-sonnet-20241022,google_gemma-2-27b,248,0.5604838709677419,0.507222957158848,0.05326091380889386,0.6507882111034955,False
