window,k_bands,coverage_slope,coverage_se,coverage_p,wb_dlogsd,wb_se,sec_dlogsd_mean,sec_dlogsd_se,k_ref,k_top,sigma_w,variance_added,pct_of_gap
"above 100k, ALL bands",6.0,-0.11903538271478523,0.030477689294645817,0.01745777587290905,0.04131290652552535,0.018766221259024152,-0.0004909651711329938,0.004664591212330072,,,,,
100k-250k only (coverage flat),4.0,-0.01612970208420205,0.060321868397102546,0.8142156433918155,0.04941900992719236,0.0377266241962256,-0.01941417353731739,0.008207689736181025,,,,,
100k-175k only,3.0,-0.048896239418698424,0.1575870079267862,0.8084653489144925,0.08260694901397567,0.07486509500220562,-0.008700672428359294,0.011166435468442626,,,,,
"top two bands only (400k, 625k)",2.0,,,,,,,,,,,,
arithmetic,,,,,,,,,30.0,25.13366588076663,15.0,1.4521361932395123,4.273956777190831
arithmetic,,,,,,,,,30.0,25.13366588076663,20.0,2.581575454648022,7.5981453816725875
arithmetic,,,,,,,,,30.0,25.13366588076663,25.0,4.033711647887534,11.872102158863418
arithmetic,,,,,,,,,30.0,25.13366588076663,30.0,5.808544772958049,17.095827108763324
arithmetic,,,,,,,,,40.0,33.51155450768888,15.0,1.0891021449296263,3.2054675828930996
arithmetic,,,,,,,,,40.0,33.51155450768888,20.0,1.9361815909860025,5.6986090362544
arithmetic,,,,,,,,,40.0,33.51155450768888,25.0,3.025283735915629,8.9040766191475
arithmetic,,,,,,,,,40.0,33.51155450768888,30.0,4.356408579718505,12.821870331572399
arithmetic,,,,,,,,,50.0,41.88944313461118,15.0,0.8712817159436914,2.564374066314451
arithmetic,,,,,,,,,50.0,41.88944313461118,20.0,1.5489452727887847,4.558887229003469
arithmetic,,,,,,,,,50.0,41.88944313461118,25.0,2.4202269887324763,7.123261295317921
arithmetic,,,,,,,,,50.0,41.88944313461118,30.0,3.4851268637747657,10.257496265257805
