group,variable,d_below,d_above
ESM continuous,experienced_wellbeing,-0.032845775562441795,0.04131290652552535
ESM continuous,life_satisfaction,-0.10478886635384808,-0.03083364814524937
ESM continuous,good,-0.050197335114888574,-0.005291258613566295
ESM continuous,inspired,-0.04390862651629115,-0.007852515276472226
ESM continuous,proud,-0.05508773426517714,-0.0005116555923104862
ESM continuous,interested,-0.02784205335241723,-0.006267267030191613
ESM continuous,confident,-0.05123329095544801,0.018985147901590983
ESM continuous,bad,-0.03775956494275424,-0.0211087521392899
ESM continuous,bored,-0.052825574037506914,-0.014751180337147986
ESM continuous,upset,-0.03622318121813222,0.0008747146909002196
ESM continuous,afraid,-0.04808687668946904,0.005127707258351707
ESM continuous,angry,-0.04282361121409393,0.007862495080324846
ESM continuous,sad,-0.0296819924410825,-0.018756931405889393
ESM continuous,stressed,-0.018298012294339205,0.03579791341010423
ESM continuous,control.life,-0.07372160168834374,0.02265859683139423
ESM continuous,control.situation,-0.055013420982085275,0.010768408993694228
ESM continuous,optimistic,-0.06809780440965228,0.00781923050722651
ESM continuous,moneyimportance,-0.12866298114628236,0.013119392555246311
ESM continuous,moneyissuccess,-0.07424009299906835,-0.02798865837664138
INTAKE continuous psychological,satisfaction_with_life_scale,-0.0668820992990704,-0.06098377354673111
INTAKE continuous psychological,life_satisfaction_1_to_4,-0.057814592093549194,-0.0067578070258013465
INTAKE continuous non-psychological,workweek.num,-0.031471537900556214,0.10720994406692302
INTAKE continuous non-psychological,age,0.08877904457721045,0.03817193101192556
INTAKE continuous non-psychological,education_level,0.03300516441787546,0.04714559627742178
BINARY (excluded from conclusions),male,0.029893942906695208,0.020002219990425524
BINARY (excluded from conclusions),married,0.44752245857172984,-0.05311132359021616
BINARY (excluded from conclusions),billtrouble.last15days.b,-0.09807798686832608,-0.2904587240984703
BINARY (excluded from conclusions),toolittletime.b,0.014031529286636589,0.014394928331015171
