q,tau1,tau2,slope1,slope2,diff,se,p,ci_lo,ci_hi,test,bonferroni,holm,side,mu_prime,sigma_prime,se_sigma_prime,wald,df
gelman_stern,0.05,0.25,0.2230964666645951,1.1196644049804463,0.8965679383158511,0.4001282934064806,0.058,,,,,,,,,,,
gelman_stern,0.1,0.25,0.5137607882338692,1.1196644049804463,0.6059036167465771,0.33498704818384967,0.11,,,,,,,,,,,
gelman_stern,0.15,0.25,0.33628483805043047,1.1196644049804463,0.7833795669300159,0.2649531391405853,0.012,,,,,,,,,,,
gelman_stern,0.15,0.3,0.33628483805043047,1.232774981807335,0.8964901437569046,0.27604494109929917,0.008,,,,,,,,,,,
gelman_stern,0.15,0.35,0.33628483805043047,1.2027030215394436,0.8664181834890132,0.28857093750875257,0.012,,,,,,,,,,,
gelman_stern,0.2,0.25,0.588598116850402,1.1196644049804463,0.5310662881300443,0.18795322690727076,0.006,,,,,,,,,,,
gelman_stern,0.2,0.3,0.588598116850402,1.232774981807335,0.644176864956933,0.23439957556104998,0.012,,,,,,,,,,,
gelman_stern,0.15,0.5,0.33628483805043047,1.4637287811007411,1.1274439430503107,0.3432615652514994,0.002,,,,,,,,,,,
gelman_stern,0.15,0.85,0.33628483805043047,1.973774087474198,1.6374892494237676,0.5193990217035167,0.008,,,,,,,,,,,
ci,0.05,,0.2230964666645951,,,,,-0.3102986253796179,1.0896627966262562,,,,,,,,,
ci,0.1,,0.5137607882338692,,,,,-1.4686318295475377e-06,1.23351498915924,,,,,,,,,
ci,0.15,,0.33628483805043047,,,,,-0.23796572981830721,1.0681942222157021,,,,,,,,,
ci,0.2,,0.588598116850402,,,,,-0.018244217913440254,1.26156041399713,,,,,,,,,
ci,0.25,,1.1196644049804463,,,,,0.36953402024729715,1.7095267209616658,,,,,,,,,
ci,0.3,,1.232774981807335,,,,,0.5907000947794419,1.721438408792436,,,,,,,,,
ci,0.35,,1.2027030215394436,,,,,0.663033308853486,1.6884151418621325,,,,,,,,,
ci,0.5,,1.4637287811007411,,,,,0.8112023957667721,1.993740517370514,,,,,,,,,
ci,0.7,,1.9148917682982511,,,,,1.3133193764070115,2.580217270771102,,,,,,,,,
ci,0.85,,1.973774087474198,,,,,0.8408024990224087,2.638732713332461,,,,,,,,,
multiplicity,,,,,,,0.62,,,Table1 above-slope tau=.05,1.0,1.0,,,,,,
multiplicity,,,,,,,0.16,,,Table1 above tau=.10,1.0,0.8,,,,,,
multiplicity,,,,,,,0.32,,,Table1 above tau=.15,1.0,1.0,,,,,,
multiplicity,,,,,,,0.08,,,Table1 above tau=.20,0.96,0.525,,,,,,
multiplicity,,,,,,,0.001,,,Table1 above tau=.25,0.012,0.009000000000000001,,,,,,
multiplicity,,,,,,,0.0001,,,Table1 above tau=.30,0.0012000000000000001,0.0012000000000000001,,,,,,
multiplicity,,,,,,,0.0001,,,Table1 above tau=.35,0.0012000000000000001,0.0012000000000000001,,,,,,
multiplicity,,,,,,,0.0002,,,Fig2 interaction tau=.15,0.0024000000000000002,0.002,,,,,,
multiplicity,,,,,,,0.8,,,Fig2 interaction tau=.30,1.0,1.0,,,,,,
multiplicity,,,,,,,0.52,,,Fig2 interaction tau=.50,1.0,1.0,,,,,,
multiplicity,,,,,,,0.075,,,Fig2 interaction tau=.70,0.8999999999999999,0.525,,,,,,
multiplicity,,,,,,,0.023,,,Fig2 interaction tau=.85,0.276,0.184,,,,,,
locscale,,,,,,,0.34751879183121903,,,,,,above 100k,1.4672967694666805,0.7527442875138007,0.18866857439643256,8.938403739889642,8.0
locscale,,,,,,,0.2260263051350877,,,,,,below 100k,1.2758020240082486,-0.42861042079687645,0.1516627654034368,10.590051732035821,8.0
