variant,n,slope_above_tau15,p_above_tau15,slope_above_tau25,p_above_tau25,slope_above_tau50,slope_above_tau85,inter_tau15,p_inter_tau15,inter_tau85,p_inter_tau85,FLAT_BOTTOM,BOUNDARY_20,ACCEL_TOP,ALL_THREE
AS PUBLISHED (top=625000),33391,0.33628483802021947,0.3565736729737554,1.1196644049432507,0.0003798833520303191,1.4637287810855923,1.9737740875480085,-1.5588795645453501,0.0003183677785488031,1.1901338063034927,0.014629241287238071,True,True,True,True
top-code >500k = 520000,33391,0.36362214434484486,0.33835792221832506,1.1887546563666547,0.00028941575869523284,1.5723023826794815,1.9737784281187487,-1.5315422590792878,0.0005916369138948078,1.1901381467469037,0.017939100107299665,True,True,True,True
top-code >500k = 550000,33391,0.3458119308197638,0.35675674242776934,1.1769994112328277,0.000279921977013764,1.5403866683946035,1.9737771046766284,-1.5493524697958492,0.00045495711770593227,1.1901368233084213,0.016878237514170117,True,True,True,True
top-code >500k = 600000,33391,0.3362851894198684,0.3609725219871116,1.1351888351327943,0.00035498055947424945,1.4779184598219217,1.973775051008488,-1.5588792133930838,0.0003482660474018654,1.1901347697421443,0.0153306370257778,True,True,True,True
top-code >500k = 700000,33391,0.3010214600217296,0.39650796041879,1.0402494518739331,0.0007157966686017758,1.4009590085843229,1.9260933558289253,-1.5941429425874958,0.000175061339501097,1.1424530745880475,0.016834433253905216,True,True,True,True
top-code >500k = 800000,33391,0.2993080852320418,0.3860152932222536,0.9784653659307878,0.001026032651546327,1.370778934284317,1.8299300878811664,-1.5958563146705274,0.00012820825596817457,1.0462898066925845,0.02489063210049273,True,True,True,True
top-code >500k = 1000000,33391,0.2993061292072525,0.36029091946173497,0.8963275678752325,0.001518181102744709,1.2559037046844423,1.7114545404238015,-1.595858272688929,7.130428641966707e-05,0.927814259301158,0.038410740380025093,True,True,True,True
top-code >500k = 1500000,33391,0.20232953531376552,0.4943753019744852,0.7856331123293785,0.002200360802500967,1.0427495968624498,1.4337149295261042,-1.692834867630154,7.038860425414542e-06,0.6500746482652175,0.12057343659488404,True,True,False,False
300-500k midpoint = 350000,33391,0.31108451189356856,0.4124272136172833,1.1196620549799263,0.0006480493376552765,1.5232353010487714,2.0877652666640643,-1.584079890162684,0.0003772155792740384,1.3041249854559283,0.009341894572999648,True,True,True,True
300-500k midpoint = 450000,33391,0.31108475248038303,0.3756221551866097,1.0940053741524025,0.00031659987416921,1.428988973302694,1.8169850302147097,-1.584079650012427,0.00017162908709270208,1.0333447491721017,0.029516313175535408,True,True,True,True
DROP the open top category (>500k),32971,0.520152112840151,0.23574902719969337,1.398721649817162,0.00021040544055939137,1.8672316176780441,2.024647443487993,-1.375012289659935,0.005661293824255516,1.2410071621343377,0.026662625059862857,True,True,True,True
DROP everything above 300k,32139,0.5109534462098964,0.39400585697510615,1.512821444477595,0.0029424472145711533,1.8672339019713036,2.704644626173831,-1.3842109551769681,0.03149041861465741,1.9210043449238583,0.008283782624821998,True,True,True,True
DROP everything above 200k,30363,0.7717847188760061,0.41919405951350974,1.0139579662172764,0.21969689012145222,1.412301870268493,2.163711598237569,-1.1233796828310005,0.25332793629493994,1.3800713170785457,0.21846139627474753,True,False,False,False
"ORDINAL category index (1..15), no dollars",33391,0.11450022059057119,0.30710532608849794,0.3346664074062744,0.000603820046591208,0.45869617789728423,0.5946669299742098,-0.29349668558461417,0.01691829093919764,0.4321662214947537,0.002226008973604911,True,True,True,True
PERCENTILE rank of income in sample,33391,1.5221996062734888,0.287866971387003,4.025812669371135,0.0012633798594858803,5.571257112209651,6.876732084072955,-4.007830746040781,0.011704322817964095,4.722732834650742,0.010219124262825128,True,True,True,True
EQUAL log spacing between categories,33391,0.7039996775010877,0.053863777102942656,1.2560000613580087,7.209636704885725e-05,1.633998666657135,2.2099999663505514,-1.068000522505372,0.014699662066978458,1.56466699747034,0.0018078526518451204,False,True,True,False
