tau,z,below,above,se_below,se_above,f_lo,f_hi,below_ls_fit,above_ls_fit
0.05,-1.6448536269514729,2.335069940316316,0.2230964666600812,0.4041855524235829,0.6391042138596214,-1.5798033746720759,-1.542684546523759,1.8866090886626004,0.39280665321055985
0.1,-1.2815515655446004,1.7594817213721399,0.5137607882606972,0.2660414376643093,0.41422117150038845,-1.1729579459695771,-1.1994584470888239,1.7385751465564478,0.6110493371820497
0.15,-1.0364333894937898,1.8951644025655696,0.33628483802021947,0.23329347308511647,0.36476830131569576,-0.9559755660398885,-0.9666060929341386,1.6596243834349216,0.7591101135142176
0.2,-0.8416212335729142,1.8415621958374686,0.5885981168103172,0.21500835136631277,0.3375094689309656,-0.7684975377859087,-0.7733483610799708,1.5914090131179077,0.8819943760092133
0.25,-0.6744897501960817,1.5299008415458957,1.1196644049432507,0.20284664636679053,0.3150719503450745,-0.6150916759474507,-0.6262106131852915,1.5355910712952292,0.9755529284238516
0.3,-0.5244005127080409,1.3217977166805213,1.2327749819614837,0.19362908409406845,0.2999061533665865,-0.47918233681176925,-0.4954230815519048,1.4861393782887216,1.0587150829938812
0.35,-0.38532046640756773,1.2401834715751647,1.2027030215426748,0.18537611592158673,0.2868943714047884,-0.3594176123732491,-0.3695740261945994,1.4425620316280183,1.1387370733427287
0.4,-0.2533471031357997,1.2534992880964637,1.3670316520592678,0.18290491849279014,0.2838482044965178,-0.24285601272668472,-0.25880188778146673,1.4001501673755197,1.209172302004954
0.5,0.0,1.2388346663119592,1.4637287810855923,0.19124148158431256,0.29605123867301997,-0.013249232323916194,-0.028067085651203243,1.3166059158259267,1.3558866182689049
0.6,0.2533471031357997,1.1123589481485396,1.6457553486925462,0.1997982776757808,0.307974571498648,0.21350451661761968,0.2198261484773583,1.2340997624442451,1.5135112419314363
0.65,0.38532046640756773,1.105616287304656,1.6741408414363832,0.20636917685609818,0.31853034352164133,0.34116013572385195,0.3451585711976309,1.187651251056114,1.5932047278526804
0.7,0.5244005127080407,1.173999877419078,1.9148917683095306,0.22128867792168105,0.3411557585343108,0.47845602215223487,0.4832687176751647,1.1376950517993831,1.6810230176056322
0.75,0.6744897501960817,1.266336877059075,1.7698990234821395,0.22602552525858124,0.3487233222969855,0.6332215280493774,0.6372374146522491,1.0813823926819568,1.7789250761355428
0.8,0.8416212335729143,1.2107762103951245,1.5854424860062863,0.24411983899447534,0.37724342351209655,0.8010213237451225,0.8176165650773989,1.020327103648312,1.8936204037522133
0.85,1.0364333894937898,0.7836402812445158,1.9737740875480085,0.2665486855247629,0.40811527100063133,1.0089527667188458,1.0218526952766127,0.9446695958587157,2.023485356598192
0.9,1.2815515655446004,0.9195756239132606,1.8271564715050772,0.29209349338102325,0.4497166249740834,1.2692889899329012,1.273209763190377,0.8499441923601186,2.1833124828773895
0.95,1.6448536269514722,1.1085084920850932,2.2874827136693057,0.36149025218513914,0.5500149538637122,1.6397617498288453,1.6844395885540222,0.7151447348235175,2.444795805282778
