term,slope_below,se_below,slope_above,se_above,change,se_change,z_change
median,1.2308470265476426,0.18945288696527643,1.2725996844513614,0.317664889602945,0.04175265790371885,0.3738798465006074,0.11167399980103238
D05,0.7638776107553792,0.4451549688748804,-0.8694371034772402,0.5551172267110022,-1.6333147142326194,0.7070907010300808,-2.309908349598188
D10,0.5233212289826555,0.2639795453836156,-0.8566876586287857,0.40707552299971106,-1.3800088876114414,0.4927252796677121,-2.800767373945381
D15,0.6705570673428958,0.23255792976043202,-0.9412484480613015,0.3990658097942051,-1.6118055154041973,0.47949588075876476,-3.3614585235928223
D20,0.6296903542283581,0.21187366309490988,-0.5891833975914864,0.33544621118245604,-1.2188737518198445,0.4003694798790135,-3.044372293782664
D30,-0.020280716494684048,0.1777361280922219,-0.11166295429522967,0.28124312334129814,-0.09138223780054562,0.33576342026788364,-0.2721625772326173
D70,-0.013623805115343031,0.17167099754020898,0.7234626986856857,0.3084816457157087,0.7370865038010287,0.35383744649867843,2.0831218151009963
D85,-0.4248473725044983,0.2804148688734096,0.44159284683026334,0.42975184589688725,0.8664402193347616,0.5104162599887891,1.6975168842657797
D90,-0.2471383361296502,0.2483748243424714,0.43739225117570235,0.5224725175576782,0.6845305873053525,0.5701071373111812,1.2007051701436877
D95,-0.20324161947847663,0.37419083693548094,1.0862859556953197,0.564193042810832,1.2895275751737962,0.6658227579392949,1.936743014259309
