variable,kind,n_median,dlogsd_below,se_below,dlogsd_above,se_above,change,se_change,z_change
experienced_wellbeing,ESM,2355.0,-0.032845775562441795,0.01701374926767968,0.04131290652552535,0.018766221259024152,0.07415868208796714,0.02533058871179509,2.927633578979372
life_satisfaction,ESM,1185.0,-0.10478886635384808,0.004519100025162241,-0.03083364814524937,0.012125087721778794,0.07395521820859871,0.012939861564106946,5.715302118357925
good,ESM,1318.0,-0.050197335114888574,0.013384576013662284,-0.005291258613566295,0.011763832969921652,0.04490607650132228,0.017819501710477748,2.5200523129621413
inspired,ESM,1133.0,-0.04390862651629115,0.012910947346254285,-0.007852515276472226,0.020346466562398132,0.03605611123981892,0.02409712146611159,1.4962829187098374
proud,ESM,1107.0,-0.05508773426517714,0.007535219765609051,-0.0005116555923104862,0.011076067617497598,0.05457607867286666,0.013396223750871149,4.073989781584352
interested,ESM,1145.0,-0.02784205335241723,0.015694515550189567,-0.006267267030191613,0.019797062239540787,0.021574786322225616,0.025263441801769485,0.8539923614332902
confident,ESM,777.0,-0.05123329095544801,0.01625374642192263,0.018985147901590983,0.021696173462373257,0.07021843885703899,0.02710919061236525,2.5902078693935784
bad,ESM,1305.0,-0.03775956494275424,0.011372068439916245,-0.0211087521392899,0.006657987099484581,0.016650812803464338,0.013177736255481904,1.263556386366258
bored,ESM,1021.0,-0.052825574037506914,0.0024394736980268396,-0.014751180337147986,0.024438803142392797,0.03807439370035893,0.024560255107714025,1.5502442272434014
upset,ESM,1096.0,-0.03622318121813222,0.014718366073826854,0.0008747146909002196,0.017861303619036185,0.03709789590903244,0.023144253430486206,1.602898793882292
afraid,ESM,1114.0,-0.04808687668946904,0.015183531497610484,0.005127707258351707,0.02761407049801009,0.05321458394782075,0.03151311660575642,1.688648717724739
angry,ESM,1125.0,-0.04282361121409393,0.010066149665424328,0.007862495080324846,0.024723252549001623,0.050686106294418776,0.02669394286516021,1.8987867978309083
sad,ESM,1111.0,-0.0296819924410825,0.013366549913314024,-0.018756931405889393,0.022204464476389612,0.010925061035193109,0.02591723170534159,0.42153657301838426
stressed,ESM,1117.0,-0.018298012294339205,0.014283058563634632,0.03579791341010423,0.02284265595824825,0.05409592570444344,0.026940539956710426,2.0079748138444073
control.life,ESM,1611.0,-0.07372160168834374,0.010261200387880361,0.02265859683139423,0.0193732452291383,0.09638019851973798,0.021922930098610585,4.396319200317401
control.situation,ESM,1610.0,-0.055013420982085275,0.012573172127875492,0.010768408993694228,0.006701816599754263,0.0657818299757795,0.014247771864187289,4.616990684776926
optimistic,ESM,1613.0,-0.06809780440965228,0.014369967928161998,0.00781923050722651,0.02306262117721049,0.07591703491687879,0.027173157229514612,2.7938245922494476
moneyimportance,ESM,646.0,-0.12866298114628236,0.02235490414083551,0.013119392555246311,0.026711810884656524,0.14178237370152866,0.034831918980779676,4.0704726541125815
moneyissuccess,ESM,640.0,-0.07424009299906835,0.014494935922405992,-0.02798865837664138,0.019896721356922227,0.046251434622426965,0.02461671562474695,1.8788629371795984
satisfaction_with_life_scale,INTAKE,2332.0,-0.0668820992990704,0.008150692091771567,-0.06098377354673111,0.01790902097445978,0.005898325752339284,0.019676554928099277,0.29976414946074365
life_satisfaction_1_to_4,INTAKE,2331.0,-0.057814592093549194,0.006738655378781751,-0.0067578070258013465,0.03074360617083039,0.05105678506774785,0.031473461784511485,1.6222170099151147
billtrouble.last15days.b,INTAKE,1191.0,-0.09807798686832608,0.017248005501713456,-0.2904587240984703,0.021873012758257343,-0.1923807372301442,0.027855383338055612,-6.906411406922428
workweek.num,INTAKE,957.0,-0.031471537900556214,0.025177410214952838,0.10720994406692302,0.03600310518022021,0.13868148196747923,0.043933194372251266,3.1566446271221316
toolittletime.b,INTAKE,994.0,0.014031529286636589,0.0054413423826678966,0.014394928331015171,0.011960451713731321,0.00036339904437858277,0.013140038512954078,0.027655858391916175
age,INTAKE,2342.0,0.08877904457721045,0.02263673958337843,0.03817193101192556,0.01936265096160413,-0.05060711356528489,0.02978815588831576,-1.6989005212348594
male,INTAKE,2311.0,0.029893942906695208,0.011400656802047063,0.020002219990425524,0.006978729261720595,-0.009891722916269684,0.013367035483848214,-0.7400087273069744
married,INTAKE,2320.0,0.44752245857172984,0.017396971819832775,-0.05311132359021616,0.016018142162378866,-0.500633782161946,0.023648160749500904,-21.17009383795363
education_level,INTAKE,2249.0,0.03300516441787546,0.009247682565803494,0.04714559627742178,0.020579730594571553,0.014140431859546318,0.022562024381314064,0.6267359533241825
