n_docs,gold_position,model,accuracy,delta_pct_vs_original,wilcoxon_p_lt_01
0,far,llama2,0.5647,0.09,0
0,far,mpt,0.2165,0.79,0
0,mid,llama2,0.5647,0.09,0
0,mid,mpt,0.2165,0.79,0
0,near,llama2,0.5647,0.09,0
0,near,mpt,0.2165,0.79,0
1,far,llama2,0.459,0.09,0
1,far,mpt,0.1911,-3.4,0
1,near,llama2,0.4284,0.02,0
1,near,mpt,0.1825,1.86,0
2,far,llama2,0.3436,-0.55,0
2,far,mpt,0.1945,1.65,0
2,mid,llama2,0.3336,0.42,0
2,mid,mpt,0.1768,-1.92,0
2,near,llama2,0.3964,-0.25,0
2,near,mpt,0.2018,0.79,0
4,far,llama2,0.2745,,0
4,far,mpt,0.2097,-5.34,1
4,mid,llama2,0.284,-0.6,0
4,mid,mpt,0.1717,-3.38,0
4,near,llama2,0.3781,-0.37,0
4,near,mpt,0.1943,-5.97,0
6,far,llama2,0.2884,-0.49,0
6,far,mpt,0.2077,-4.52,1
6,mid,llama2,0.2692,-0.22,0
6,mid,mpt,0.1452,1.93,0
6,near,llama2,0.3886,0.15,0
6,near,mpt,0.1937,2.32,0
8,far,llama2,0.266,0.64,0
8,far,mpt,0.1975,-5.16,1
8,mid,llama2,0.2254,-0.62,0
8,mid,mpt,0.1031,2.81,0
8,near,llama2,0.3736,-0.32,0
8,near,mpt,0.1996,2.61,0
10,far,llama2,0.2567,1.17,0
10,mid,llama2,0.2181,0.05,0
10,near,llama2,0.3713,-0.08,0
12,far,llama2,0.2706,0.67,0
12,mid,llama2,0.2393,0.46,0
12,near,llama2,0.4006,0.37,0
14,far,llama2,0.2594,0.42,0
14,mid,llama2,0.2307,1.17,0
14,near,llama2,0.4141,0.56,0
16,far,llama2,0.2409,-0.17,0
16,mid,llama2,0.2026,0.1,0
16,near,llama2,0.3903,0.36,0
18,far,llama2,0.2357,0.38,0
18,mid,llama2,0.18,0.28,0
18,near,llama2,0.3788,0.18,0
