n_docs,gold_position,model,accuracy,delta_pct_vs_original,wilcoxon_p_lt_01
0,far,llama2,0.5647,0.09,0
0,far,mpt,0.1813,-18.48,0
0,mid,llama2,0.5647,0.09,0
0,mid,mpt,0.1813,-18.48,0
0,near,llama2,0.5647,0.09,0
0,near,mpt,0.1813,-18.48,0
1,far,llama2,0.4689,-0.94,0
1,far,mpt,0.2238,-9.34,0
1,near,llama2,0.4878,0.33,0
1,near,mpt,0.2162,1.71,1
2,far,llama2,0.3765,-0.29,0
2,far,mpt,0.2458,-7.37,0
2,mid,llama2,0.3895,-0.85,0
2,mid,mpt,0.2493,-3.65,0
2,near,llama2,0.503,-0.04,0
2,near,mpt,0.2521,-5.51,0
4,far,llama2,0.3077,1.04,0
4,far,mpt,0.2613,-12.25,0
4,mid,llama2,0.3995,-0.08,0
4,mid,mpt,0.2396,-7.56,0
4,near,llama2,0.5203,-0.35,0
4,near,mpt,0.2643,-10.86,0
6,far,llama2,0.3543,-0.11,0
6,far,mpt,0.2694,-12.7,0
6,mid,llama2,0.4133,-0.12,0
6,mid,mpt,0.2069,-9.47,0
6,near,llama2,0.5663,-0.32,1
6,near,mpt,0.2681,7.8,0
8,far,llama2,0.3095,-0.36,0
8,far,mpt,0.276,-10.12,0
8,mid,llama2,0.3727,-0.19,0
8,mid,mpt,0.1369,-14.39,0
8,near,llama2,0.558,-0.52,1
8,near,mpt,0.2608,-11.63,0
10,far,llama2,0.3392,0.06,0
10,mid,llama2,0.3693,0.49,0
10,near,llama2,0.5592,0.23,1
12,far,llama2,0.3756,0.53,0
12,mid,llama2,0.3658,0.46,0
12,near,llama2,0.5832,-0.07,0
14,far,llama2,0.3548,0.59,0
14,mid,llama2,0.337,-0.06,0
14,near,llama2,0.5871,0.2,0
16,far,llama2,0.3393,-0.24,0
16,mid,llama2,0.3153,-0.19,0
16,near,llama2,0.5721,-0.02,0
18,far,llama2,0.3473,0.2,0
18,mid,llama2,0.2986,0.13,0
18,near,llama2,0.562,0.57,1
