model,config,n_docs,accuracy
llama2,Base,0,0.6091
llama2,Base,10,0.5991
llama2,Base,12,0.6106
llama2,Base,14,0.6103
llama2,Instruct,0,0.091
llama2,Instruct,10,0.0787
llama2,Instruct,12,0.1412
llama2,Instruct,14,0.2287
llama2,Max,0,0.5467
llama2,Max,10,0.6864
llama2,Max,12,0.7255
llama2,Max,14,0.6893
llama3,Base,0,0.1462
llama3,Base,10,0.6607
llama3,Base,12,0.6872
llama3,Base,14,0.6793
llama3,Instruct,0,0.6753
llama3,Instruct,10,0.4946
llama3,Instruct,12,0.3955
llama3,Instruct,14,0.3515
llama3,Max,0,0.7774
llama3,Max,10,0.8036
llama3,Max,12,0.8058
llama3,Max,14,0.8077
