model,config,n_docs,accuracy
llama2,Base,0,0.6091
llama2,Base,10,0.5991
llama2,Base,12,0.6106
llama2,Base,14,0.6103
llama2,FinalP01,0,0.8131
llama2,FinalP01,10,0.7895
llama2,FinalP01,12,0.7895
llama2,FinalP01,14,0.7893
llama2,FinalP02,0,0.7732
llama2,FinalP02,10,0.7053
llama2,FinalP02,12,0.7287
llama2,FinalP02,14,0.7231
llama3,Base,0,0.1462
llama3,Base,10,0.6607
llama3,Base,12,0.6872
llama3,Base,14,0.6793
llama3,FinalP01,0,0.8703
llama3,FinalP01,10,0.867
llama3,FinalP01,12,0.8544
llama3,FinalP01,14,0.8508
llama3,FinalP02,0,0.8024
llama3,FinalP02,10,0.7799
llama3,FinalP02,12,0.7862
llama3,FinalP02,14,0.7978
mistral,Base,0,0.7586
mistral,Base,10,0.7469
mistral,Base,12,0.7378
mistral,Base,14,0.7237
mistral,FinalP01,0,0.8566
mistral,FinalP01,10,0.841
mistral,FinalP01,12,0.8443
mistral,FinalP01,14,0.8436
mistral,FinalP02,0,0.8246
mistral,FinalP02,10,0.8139
mistral,FinalP02,12,0.8209
mistral,FinalP02,14,0.8184
falcon3,Base,0,0.7126
falcon3,Base,10,0.6862
falcon3,Base,12,0.6905
falcon3,Base,14,0.6862
falcon3,FinalP01,0,0.8573
falcon3,FinalP01,10,0.8357
falcon3,FinalP01,12,0.832
falcon3,FinalP01,14,0.8316
falcon3,FinalP02,0,0.7859
falcon3,FinalP02,10,0.7861
falcon3,FinalP02,12,0.7794
falcon3,FinalP02,14,0.773
qwen2.5,Base,0,0.5955
qwen2.5,Base,10,0.533
qwen2.5,Base,12,0.5198
qwen2.5,Base,14,0.5227
qwen2.5,FinalP01,0,0.8706
qwen2.5,FinalP01,10,0.8708
qwen2.5,FinalP01,12,0.8699
qwen2.5,FinalP01,14,0.8683
qwen2.5,FinalP02,0,0.7613
qwen2.5,FinalP02,10,0.7754
qwen2.5,FinalP02,12,0.776
qwen2.5,FinalP02,14,0.7835
