study,n_drug_arms,n_drug_total,n_placebo,duration_wk,drug_arm_sizes
Arvanitis 1997,5,258.0,51.0,6.0,52;51;53;54;48
Beasley 1996,4,258.0,68.0,6.0,68;63;65;62
Beasley_b 1996,2,100.0,49.0,6.0,49;51
Bugarski-Kirola 2014,1,61.0,79.0,4.0,61
Cantillon 2017,1,19.0,37.0,4.0,19
Canuso 2010,2,203.0,107.0,6.0,98;105
Canuso_b 2010,1,208.0,91.0,6.0,208
Casey 2008,1,116.0,114.0,6.0,116
Chouinard 1993,5,113.0,22.0,8.0,21;22;24;24;22
Cooper 2000,2,62.0,28.0,8.0,28;34
Coppola 2011,2,114.0,53.0,6.0,55;59
Correll 2015,3,445.0,178.0,6.0,87;178;180
Cutler 2008,2,427.0,140.0,4.0,283;144
Cutler 2010,4,433.0,117.0,6.0,113;110;109;101
Daniel 1999,2,207.0,91.0,6.0,103;104
Danion 1999,2,158.0,83.0,12.0,84;74
Davidson 2007,3,362.0,120.0,6.0,126;123;113
Downing 2014,1,89.0,152.0,6.0,89
Durgam 2014,3,423.0,148.0,6.0,145;140;138
Durgam 2015,3,455.0,149.0,6.0,150;154;151
Durgam 2016,2,140.0,69.0,6.0,68;72
Egan 2013,1,45.0,78.0,4.0,45
Fabre 1995,1,8.0,4.0,3.0,8
Garcia 2009,4,237.0,61.0,6.0,60;57;62;58
Gopal 2010,3,217.0,132.0,13.0,93;94;30
Hirayasu 2010,2,180.0,138.0,6.0,134;46
Kane 2003,3,132.0,29.0,12.0,44;41;47
Kane 2007,4,357.0,58.0,6.0,90;86;80;101
Kane 2010,3,326.0,122.0,6.0,109;105;112
Kane 2014,1,162.0,167.0,10.0,162
Kane_a 2015,3,340.0,118.0,6.0,81;130;129
Kane_b 2015,2,182.0,88.0,6.0,96;86
Keck 1998,2,84.0,47.0,4.0,43;41
Kinon 2011,1,62.0,122.0,4.0,62
Kinoshita 2016,2,223.0,80.0,6.0,109;114
Klieser 1989,1,20.0,16.0,3.0,20
Kramer 2010,2,98.0,27.0,9.14,51;47
Landbloom 2017,3,154.0,60.0,6.0,52;67;35
Lieberman 2016,1,63.0,61.0,4.0,63
Litman 2014,1,22.0,41.0,4.0,22
Litman 2016,1,30.0,53.0,4.0,30
Loebel 2013,3,279.0,120.0,6.0,93;89;97
Marder 1994,4,258.0,64.0,8.0,66;63;65;64
Marder 2007,3,155.0,37.0,6.0,50;51;54
Meltzer 2004,1,98.0,96.0,6.0,98
Meltzer 2011,3,227.0,71.0,6.0,77;66;84
Moller 2004,1,38.0,41.0,8.0,38
Nakamura 2009,1,52.0,47.0,6.0,52
Nasrallah 2013,3,255.0,73.0,6.0,86;85;84
Nasser 2016,2,175.0,84.0,8.14,85;90
NCT00044044 2010,4,278.0,71.0,6.0,72;71;65;70
NCT00259870a 2008,1,21.0,38.0,,21
NCT00259870b 2008,1,57.0,52.0,,57
NCT01617187 2016,3,252.0,99.0,6.0,96;111;45
Ogasa 2013,2,36.0,15.0,6.0,20;16
Paillere-Martinot 1995,1,10.0,10.0,6.0,10
Pandina 2010,3,476.0,160.0,13.0,161;155;160
Patil 2007,1,34.0,62.0,4.0,34
Potkin 2006,2,271.0,60.0,2.0,132;139
Schmidt 2012,1,71.0,49.0,6.0,71
Shen 2014,1,71.0,71.0,6.0,71
Shopsin 1979,2,26.0,8.0,4.0,12;14
Small 1997,2,186.0,92.0,6.0,94;92
Takahashi 2013,4,318.0,164.0,13.0,159;77;33;49
van Kammen 1996,2,75.0,38.0,5.7,40;35
Zimbroff 1997,5,338.0,71.0,8.0,63;68;72;70;65
