arm_n,coupled,decoupled,method,reliability,rho_true,scenario,truth
,0.005432390546299885,0.005432390546299885,open-label,1.0,0.0,,
,-0.09488175830368781,0.0018976788418865144,open-label,0.9,0.0,,
,-0.16880014793420453,0.0025641224331654396,open-label,0.8,0.0,,
,-0.287852523687084,-0.287852523687084,open-label,1.0,-0.3,,
,-0.31950117995139315,-0.22242826952203165,open-label,0.9,-0.3,,
,-0.34608728118065585,-0.16824733190095456,open-label,0.8,-0.3,,
,-0.14086228030009515,0.0018035236081747712,linear-model,,,null,-0.0033804726850058123
,-0.15152189074002326,-0.009785200845665962,linear-model,,,idiosyncratic rho -0.3,-0.2829429044415484
,-0.45606843718079676,-0.3933626497533474,linear-model,,,via baseline (+0.6 / -0.6),-0.28286576732062985
40,-0.2220252583237658,-0.0030602233587308223,study-level,,,,
80,-0.1493388999060641,-0.006881953867028496,study-level,,,,
130,-0.07645798977142262,0.024016699718192255,study-level,,,,
300,-0.05004696795741572,-0.003652645861601087,study-level,,,,
