rho,threshold,vr_mean,vr_sd,pct_dropped
-0.21,0.9777013859047148,0.97,0.05,56.120605975344716
-0.21,0.9777013859047148,0.97,0.08,53.834586882689386
-0.21,0.9777013859047148,0.97,0.12,52.55858385775354
-0.21,0.9777013859047148,0.86,0.1,88.04050126656571
-0.32,0.9474175425861608,0.97,0.05,32.57608787011898
-0.32,0.9474175425861608,0.97,0.08,38.88641348481218
-0.32,0.9474175425861608,0.97,0.12,42.5364974585352
-0.32,0.9474175425861608,0.86,0.1,80.89886367104359
-0.39,0.920814856526544,0.97,0.05,16.26308142709411
-0.39,0.920814856526544,0.97,0.08,26.93386843780513
-0.39,0.920814856526544,0.97,0.12,34.09483841039055
-0.39,0.920814856526544,0.86,0.1,72.84555277946666
-0.62,0.7846018098373212,0.97,0.05,0.01044662559038477
-0.62,0.7846018098373212,0.97,0.08,1.0238870807079719
-0.62,0.7846018098373212,0.97,0.12,6.117495573684171
-0.62,0.7846018098373212,0.86,0.1,22.543004463772586
