check,corr_d1_d2,implied_r,r,ratio,ratio_predicted,ratio_simulated,rho,rho_predicted,rho_simulated,sd_d1,sigma_C,sigma_within,vr
senn-fig23,0.902985145833694,,0.9,,,,,,,0.19275584071880822,0.18316726032972866,0.06003806188174279,
senn-fig23,0.044034314053635254,,0.02,,,,,,,0.1967785661257444,0.041292712212549716,0.1923972868952042,
identity,,,0.99,,0.14142135623730956,0.14148199788681234,,-0.07071067811865478,-0.06902003939803111,,,,
identity,,,0.95,,0.31622776601683805,0.31584360766524533,,-0.15811388300841903,-0.1562120473007197,,,,
identity,,,0.9,,0.44721359549995787,0.44721294854987764,,-0.22360679774997894,-0.2243810048491064,,,,
identity,,,0.8,,0.6324555320336758,0.6312747991788935,,-0.3162277660168379,-0.3152319134698512,,,,
identity,,,0.6,,0.8944271909999159,0.895201933806877,,-0.4472135954999579,-0.44841368196685705,,,,
identity,,,0.4,,1.0954451150103321,1.096710115501515,,-0.5477225575051661,-0.5483646867446299,,,,
identity,,,0.2,,1.2649110640673518,1.265197299697462,,-0.6324555320336759,-0.6331212610102749,,,,
identity,,,0.0,,1.4142135623730951,1.411309099516219,,-0.7071067811865476,-0.7079623737662777,,,,
implied-r,,0.98,,0.2,,,-0.1,,,,,,
implied-r,,0.9118,,0.42,,,-0.21,,,,,,
implied-r,,0.7952,,0.64,,,-0.32,,,,,,
implied-r,,0.6958,,0.78,,,-0.39,,,,,,
implied-r,,0.23119999999999996,,1.24,,,-0.62,,,,,,
implied-r,,1.9180000000118547e-05,,1.4142,,,-0.7071,,,,,,
general-map,,,0.95,,,,-0.31224989991992014,,,,,,0.95
general-map,,,0.9,,,,-0.3304856717329502,,,,,,0.95
general-map,,,0.8,,,,-0.3880570000581329,,,,,,0.95
general-map,,,0.6,,,,-0.4924345675099267,,,,,,0.95
general-map,,,0.4,,,,-0.5800475344589852,,,,,,0.95
general-map,,,0.95,,,,-0.21996396600685186,,,,,,0.98
general-map,,,0.9,,,,-0.26626327261984933,,,,,,0.98
general-map,,,0.8,,,,-0.3448174626796145,,,,,,0.98
general-map,,,0.6,,,,-0.4651879147424593,,,,,,0.98
general-map,,,0.4,,,,-0.5605651202092756,,,,,,0.98
general-map,,,0.95,,,,-0.15811388300841905,,,,,,1.0
general-map,,,0.9,,,,-0.22360679774997896,,,,,,1.0
general-map,,,0.8,,,,-0.3162277660168379,,,,,,1.0
general-map,,,0.6,,,,-0.447213595499958,,,,,,1.0
general-map,,,0.4,,,,-0.5477225575051662,,,,,,1.0
general-map,,,0.95,,,,-0.09687500000000007,,,,,,1.02
general-map,,,0.9,,,,-0.18137332163356157,,,,,,1.02
general-map,,,0.8,,,,-0.2879220702052266,,,,,,1.02
general-map,,,0.6,,,,-0.42941798287640265,,,,,,1.02
general-map,,,0.4,,,,-0.5350077168653935,,,,,,1.02
general-map,,,0.95,,,,-0.007624928516630405,,,,,,1.05
general-map,,,0.9,,,,-0.11931175180026078,,,,,,1.05
general-map,,,0.8,,,,-0.24615384615384606,,,,,,1.05
general-map,,,0.6,,,,-0.40310368592010404,,,,,,1.05
general-map,,,0.4,,,,-0.5161932250083823,,,,,,1.05
vr-contribution,,,,nan,,,-0.32,,,,,,0.9
vr-contribution,,,,0.3899999999999998,,,-0.32,,,,,,0.95
vr-contribution,,,,0.5705992817228331,,,-0.32,,,,,,0.98
vr-contribution,,,,0.64,,,-0.32,,,,,,1.0
vr-contribution,,,,0.6978888725538237,,,-0.32,,,,,,1.02
vr-contribution,,,,0.7726588119102511,,,-0.32,,,,,,1.05
vr-contribution,,,,0.878927544499285,,,-0.32,,,,,,1.1
