study,year,drug,scale,n_rand,base_mean,n_end,end_mean,end_sd,notes,is_change
CL3-20098-022,2001,agomelatine,HAMD17,133.0,27.6,129.0,14.5,8.2,,False
CL3-20098-022,2001,fluoxetine,HAMD17,137.0,27.5,133.0,13.3,7.6,,False
CL3-20098-022,2001,placebo,HAMD17,149.0,28.0,147.0,15.9,8.6,,False
CL3-20098-023,2001,agomelatine,HAMD17,142.0,25.7,141.0,13.0,8.0,,False
CL3-20098-023,2001,paroxetine,HAMD17,138.0,26.1,137.0,12.2,8.1,,False
CL3-20098-023,2001,placebo,HAMD17,137.0,26.0,137.0,13.8,8.0,,False
Kennedy2006 (CL3-20098-043),2003,agomelatine,HAMD17,107.0,26.5,106.0,14.1,7.7,,False
Kennedy2006 (CL3-20098-043),2003,placebo,HAMD17,105.0,26.7,105.0,16.5,7.4,,False
Olie2007 (CL3-20098-042),2004,agomelatine,HAMD17,118.0,27.4,116.0,13.9,7.7,,False
Olie2007 (CL3-20098-042),2004,placebo,HAMD17,120.0,27.2,119.0,17.0,7.9,,False
Stahl2010 (CAGO178A2302),2010,agomelatine 25mg,HAMD17,168.0,26.8,158.0,15.0,8.04,,False
Stahl2010 (CAGO178A2302),2010,agomelatine 50mg,HAMD17,169.0,26.8,161.0,15.9,8.25,,False
Stahl2010 (CAGO178A2302),2010,placebo,HAMD17,166.0,26.4,163.0,17.1,7.92,,False
Zajecka2010 (CAGO178A2301) (NCT00411099),2010,agomelatine 25mg,HAMD17,170.0,26.7,156.0,15.9,7.74,,False
Zajecka2010 (CAGO178A2301) (NCT00411099),2010,agomelatine 50mg,HAMD17,168.0,27.1,161.0,14.1,7.74,,False
Zajecka2010 (CAGO178A2301) (NCT00411099),2010,placebo,HAMD17,173.0,27.1,167.0,16.6,8.4,,False
CL3-20098-024,2002,agomelatine,HAMD17,301.0,26.4,295.0,12.7,8.2,,False
CL3-20098-024,2002,fluoxetine,HAMD17,148.0,26.5,146.0,12.5,7.4,,False
CL3-20098-024,2002,placebo,HAMD17,158.0,26.9,158.0,13.4,8.4,,False
Hale2010 (CL3-20098-045),2008,agomelatine,HAMD17,252.0,28.5,247.0,-17.3,7.3,,True
Hale2010 (CL3-20098-045),2008,fluoxetine,HAMD17,263.0,28.7,257.0,-16.0,8.4,,True
CL3-20098-026,2001,agomelatine,HAMD17,109.0,23.4,105.0,-10.6,8.1,,True
CL3-20098-026,2001,placebo,HAMD17,109.0,23.0,105.0,-9.6,7.3,,True
Montgomery2004b (CL3-20098-030),2001,agomelatine,MADRS,167.0,23.1,163.0,-11.9,8.1,,True
Montgomery2004b (CL3-20098-030),2001,paroxetine,MADRS,168.0,23.0,161.0,-14.0,7.5,,True
CL3-20098-036,2004,agomelatine,MADRS,137.0,27.9,137.0,-17.8,8.3,,True
CL3-20098-036,2004,venlafaxine,MADRS,140.0,27.9,139.0,-18.1,8.7,,True
CL3-20098-048,2008,agomelatine,HAMD17,213.0,26.3,209.0,-14.0,8.4,,True
CL3-20098-048,2008,paroxetine,HAMD17,199.0,26.2,194.0,-14.5,8.3,,True
"Shu2014 (CL3-20098-052, ChiCTR-TRC-11001668)",2014,agomelatine,HAMD17,314.0,26.8,301.0,12.0,7.4,,False
"Shu2014 (CL3-20098-052, ChiCTR-TRC-11001668)",2014,fluoxetine,HAMD17,314.0,26.8,308.0,11.8,8.0,,False
Quera-Salva2010 (CL3-20098-056),2010,agomelatine,HAMD17,71.0,26.1,68.0,11.4,5.9,,False
Quera-Salva2010 (CL3-20098-056),2010,escitalopram,HAMD17,67.0,26.1,61.0,12.7,6.7,,False
CL3-20098-062,2010,agomelatine,HAMD17,202.0,26.2,198.0,-14.4,7.1,,True
CL3-20098-062,2010,duloxetine,HAMD17,216.0,26.3,212.0,-16.1,7.2,,True
Corruble2013 (CL3-20098-063),2008,agomelatine,HAMD17,164.0,26.8,161.0,-18.7,6.9,,True
Corruble2013 (CL3-20098-063),2008,escitalopram,HAMD17,160.0,26.6,160.0,-18.3,6.8,,True
CL3-20098-070,2011,agomelatine,HAMD17,151.0,26.8,148.0,-13.4,8.3,,True
CL3-20098-070,2011,placebo,HAMD17,71.0,26.7,70.0,-10.7,7.8,,True
Lemoine2007 (CL3-20098-035),2004,agomelatine,HAMD17,165.0,25.9,165.0,9.9,6.6,,False
Lemoine2007 (CL3-20098-035),2004,venlafaxine,HAMD17,167.0,26.0,167.0,11.0,8.2,,False
CAGO178A2303 (NCT00463242),unpublished,agomelatine,HAMD17,169.0,27.2,162.0,17.1,7.382194795587555,,False
CAGO178A2303 (NCT00463242),unpublished,paroxetine,HAMD17,168.0,27.0,163.0,14.0,7.532615747534185,,False
CAGO178A2303 (NCT00463242),unpublished,placebo,HAMD17,166.0,26.9,158.0,17.3,7.918977206685217,,False
Loo2002 (CL2-014),2002,agomelatine,HAMD17,137.0,27.4,135.0,12.77,8.23,,False
Loo2002 (CL2-014),2002,placebo,HAMD17,139.0,27.4,136.0,15.34,8.87,,False
Loo2002 (CL2-014),2002,paroxetine,HAMD17,147.0,27.3,144.0,13.09,8.37,,False
"Kennedy2014 (EudraCT 2009-011238-84, CL3-20098-069)",2014,agomelatine 25mg,HAMD17,138.0,26.7,138.0,14.0,6.6,,False
"Kennedy2014 (EudraCT 2009-011238-84, CL3-20098-069)",2014,agomelatine 25-50mg,HAMD17,137.0,26.7,136.0,13.9,6.3,,False
"Kennedy2014 (EudraCT 2009-011238-84, CL3-20098-069)",2014,placebo,HAMD17,141.0,26.6,141.0,18.7,7.3,,False
Heun2013 (lSRCTl\l5750736O),2013,agomelatine,HAMD17,151.0,26.8,148.0,13.4,7.5,,False
Heun2013 (lSRCTl\l5750736O),2013,placebo,HAMD17,71.0,26.7,70.0,16.1,7.6,,False
Georgotas1982,1981,amitriptyline,HAMD21,15.0,28.5,15.0,8.5,8.13,,False
Georgotas1982,1981,placebo,HAMD21,18.0,28.6,18.0,17.4,10.18,,False
Raft1981,1981,placebo,HAMD17,7.0,27.2,6.0,25.41,7.52,,False
Shipley1981,1981,amitriptyline,HAMD17,53.0,38.5,53.0,9.3,10.9,,False
Shipley1981,1981,placebo,HAMD17,23.0,44.2,23.0,31.6,14.9,,False
Roffman1982,1982,amitriptyline,HAMD21,95.0,24.2,95.0,14.8,7.6,,False
Roffman1982,1982,placebo,HAMD21,94.0,24.5,93.0,19.0,9.5,,False
Claghorn1983,1983,amitriptyline,HAMD21,85.0,26.51,68.0,10.7,8.59,,False
Claghorn1983,1983,placebo,HAMD21,87.0,27.11,80.0,16.17,8.59,,False
Hormazabal1985,1985,amitriptyline,HAMD21,20.0,36.7,17.0,11.5,8.59,,False
Hormazabal1985,1985,placebo,HAMD21,20.0,35.8,16.0,20.0,8.59,,False
Rickels1985,1985,amitriptyline,HAMD21,124.0,25.48,119.0,14.5,8.2,,False
Rickels1985,1985,placebo,HAMD21,130.0,26.38,126.0,18.7,9.5,,False
Amsterdam1986,1986,amitriptyline,HAMD21,55.0,24.5,55.0,12.1,8.59,,False
Amsterdam1986,1986,placebo,HAMD21,54.0,23.4,54.0,17.7,8.59,,False
Hicks1988,1988,amitriptyline,HAMD17,16.0,30.8,14.0,9.2,7.52,,False
Paykel1988,1988,amitriptyline,HAMD17,45.0,16.2,45.0,5.67,7.52,,False
Paykel1988,1988,placebo,HAMD17,55.0,15.8,55.0,9.46,7.52,,False
Carman1991,1991,amitriptyline,HAMD17,50.0,27.6,48.0,-13.5,7.76,,True
Carman1991,1991,placebo,HAMD17,50.0,26.7,48.0,-7.5,7.76,,True
Katz1993a,1993,amitriptyline,HAMD17,95.0,24.3,95.0,-12.9,7.76,,True
Katz1993a,1993,placebo,HAMD17,94.0,24.5,94.0,-8.7,7.76,,True
Katz1993b,1993,amitriptyline,HAMD17,93.0,23.6,93.0,-13.7,7.76,,True
Katz1993b,1993,placebo,HAMD17,104.0,22.2,104.0,-8.0,7.76,,True
Wilcox1994,1994,amitriptyline,HAMD17,50.0,23.8,39.0,11.7,7.52,,False
Wilcox1994,1994,placebo,HAMD17,49.0,23.5,42.0,17.4,7.52,,False
Mynors-Wallis1995,1995,amitriptyline,HAMD17,31.0,19.1,27.0,10.3,6.5,,False
Mynors-Wallis1995,1995,placebo,HAMD17,30.0,18.4,26.0,13.8,5.7,,False
Feighner1984,1984,bupropion,HAMD21,45.0,31.0,34.0,12.3,8.2,,False
Feighner1984,1984,placebo,HAMD21,22.0,28.0,15.0,21.0,5.9,,False
Lineberry1990 (WELL 84A),1990,bupropion,HAMD21,112.0,26.54,110.0,14.52,8.77,,False
Lineberry1990 (WELL 84A),1990,placebo,HAMD21,112.0,27.02,106.0,18.35,9.87,,False
Feighner1991,1991,fluoxetine,HAMD17,62.0,26.100000381469727,60.0,13.0,7.52,,False
Feighner1991,1991,bupropion,HAMD17,61.0,25.299999237060547,59.0,10.8999996185303,7.52,,False
Weisler1994,1994,bupropion,HAMD21,63.0,25.8,59.0,13.3,8.59,,False
Weisler1994,1994,trazodone,HAMD21,61.0,24.9,52.0,14.4,8.59,,False
"Reimherr1998 (WELL203, FDA203)",1998,placebo,HAMD17,121.0,23.21,117.0,-8.06,8.14,,True
"Reimherr1998 (WELL203, FDA203)",1998,bupropion,HAMD17,120.0,23.41,113.0,-10.18,8.07,,True
Settle1999 (WELL212),1999,bupropion,HAMD21,150.0,24.4,144.0,-11.11,8.19,,True
Settle1999 (WELL212),1999,placebo,HAMD21,154.0,23.88,148.0,-9.78,8.01,,True
Coleman2001 (AK1A4007),2001,fluoxetine,HAMD21,154.0,24.5,146.0,-12.8,9.67,,True
Coleman2001 (AK1A4007),2001,bupropion,HAMD21,150.0,24.6,136.0,-12.7,9.33,,True
Coleman2001 (AK1A4007),2001,placebo,HAMD21,152.0,24.4,145.0,-11.4,9.63,,True
Caligiuri2003,2003,bupropion,HAMD17,7.0,18.4,7.0,-8.6,7.0,,True
Caligiuri2003,2003,sertraline,HAMD17,9.0,18.4,9.0,-9.1,7.8,,True
Tomarken2004,2004,bupropion,HAMD17,10.0,21.7,9.0,12.6,7.52,,False
Tomarken2004,2004,placebo,HAMD17,9.0,21.7,9.0,16.3,7.52,,False
Thase2006 (WELL 100368),2006,bupropion,HAMD17,171.0,24.9,160.0,-11.92,7.46,,True
Thase2006 (WELL 100368),2006,venlafaxine,HAMD17,177.0,24.1,164.0,-11.93,7.68,,True
Clayton2006b (WELL AK130927),2006,escitalopram,HAMD17,138.0,23.8,133.0,-14.2,8.07,,True
Clayton2006b (WELL AK130927),2006,bupropion,HAMD17,141.0,24.5,134.0,-13.2,6.94,,True
Clayton2006b (WELL AK130927),2006,placebo,HAMD17,141.0,24.4,130.0,-12.1,7.98,,True
Clayton2006a (WELL AK130926),2006,bupropion,HAMD17,138.0,,129.0,-13.1,7.95,base_mean:flagged-or-absent:*,True
Clayton2006a (WELL AK130926),2006,escitalopram,HAMD17,149.0,,133.0,-12.9,8.07,base_mean:flagged-or-absent:*,True
Clayton2006a (WELL AK130926),2006,placebo,HAMD17,137.0,,126.0,-11.9,7.86,base_mean:flagged-or-absent:*,True
Hewett2009 (WXL101497),2009,bupropion,MADRS,188.0,30.4,187.0,-16.0,9.03,,True
Hewett2009 (WXL101497),2009,venlafaxine,MADRS,189.0,30.0,185.0,-17.1,9.25,,True
Hewett2009 (WXL101497),2009,placebo,MADRS,199.0,30.4,197.0,-13.5,9.12,,True
Hewett2010a (AK130940) (NCT00093288),2010,bupropion,MADRS,212.0,29.5,210.0,-13.9,9.56430865248503,,True
Hewett2010a (AK130940) (NCT00093288),2010,placebo,MADRS,208.0,29.8,204.0,-12.4,9.712342662818278,,True
Hewett2010b (AK130939),2010,venlafaxine,MADRS,198.0,30.1,193.0,-17.0,10.56,,True
Hewett2010b (AK130939),2010,placebo,MADRS,189.0,30.6,186.0,-13.2,10.64,,True
Wellbutrin 06,unpublished,bupropion,HAMD21,56.0,28.5,48.0,14.9,7.582805938707398,,False
Wellbutrin 06,unpublished,placebo,HAMD21,29.0,29.3,27.0,19.6,7.58,,False
GSK14,unpublished,bupropion,HAMD21,77.0,31.2,60.0,16.5,8.59,,False
GSK14,unpublished,placebo,HAMD21,40.0,30.3,26.0,21.8,8.59,,False
845,unpublished,bupropion,HAMD21,56.0,24.6,42.0,16.1,9.72,,False
845,unpublished,placebo,HAMD21,52.0,26.8,40.0,18.0,10.12,,False
WELL 029,unpublished,bupropion,HAMD21,25.0,26.6,21.0,15.5,8.026895688079302,,False
WELL 029,unpublished,placebo,HAMD21,24.0,26.2,18.0,15.2,8.026895688079302,,False
Wellbutrin 25,unpublished,bupropion 300mg,HAMD21,45.0,32.4,34.0,16.1,7.9,,False
Wellbutrin 25,unpublished,bupropion 450mg,HAMD21,40.0,34.8,36.0,15.1,10.5,,False
Wellbutrin 25,unpublished,placebo,HAMD21,43.0,33.6,39.0,20.5,11.6,,False
Study 205 (FDA) (WELL 205),unpublished,bupropion 200mg,HAMD17,120.0,23.2,114.0,-9.6,8.014733023531498,,True
Study 205 (FDA) (WELL 205),unpublished,bupropion 300mg,HAMD17,120.0,23.6,111.0,-9.0,8.381824257707574,,True
Study 205 (FDA) (WELL 205),unpublished,bupropion 400mg,HAMD17,119.0,24.2,111.0,-9.3,7.24993466998919,,True
Study 205 (FDA) (WELL 205),unpublished,placebo,HAMD17,124.0,23.4,116.0,-8.3,7.882163983742754,,True
WELL AK1A4006,unpublished,fluoxetine,HAMD21,155.0,25.3,146.0,-13.9,10.87,,True
WELL AK1A4006,unpublished,bupropion,HAMD21,158.0,25.6,151.0,-12.0,9.83,,True
WELL AK1A4006,unpublished,placebo,HAMD21,154.0,25.2,148.0,-12.2,9.73,,True
WELL AK140016,unpublished,bupropion,HAMD17,69.0,21.9,66.0,10.4,6.8,,False
WELL AK140016,unpublished,paroxetine,HAMD17,71.0,22.3,66.0,10.3,7.3,,False
AK1102365,unpublished,bupropion,HAMD17,166.0,19.4,160.0,15.4,8.32,,False
AK1102365,unpublished,placebo,HAMD17,159.0,19.8,155.0,15.8,8.04,,False
Koshino2013 (NCT01138007),2013,bupropion,MADRS,192.0,32.1,188.0,-12.9,10.420594992609587,,True
Koshino2013 (NCT01138007),2013,placebo,MADRS,187.0,31.9,186.0,-13.9,10.501399906679108,,True
Study 89306 (FDA),unpublished,citalopram 20mg,MADRS,88.0,32.7,88.0,-17.94,12.910667369655751,,True
Study 89306 (FDA),unpublished,citalopram 40mg,MADRS,97.0,31.3,97.0,-16.04,13.526314144378016,,True
Study 89306 (FDA),unpublished,placebo,MADRS,89.0,33.14,88.0,-15.95,13.218490757016884,,True
Montgomery1992 (Study 89303 FDA),unpublished,citalopram 20mg,HAMD17,70.0,24.29,68.0,-11.51,7.76,,True
Montgomery1992 (Study 89303 FDA),unpublished,citalopram 40mg,HAMD17,64.0,22.98,61.0,-13.31,9.816082302122094,,True
Montgomery1992 (Study 89303 FDA),unpublished,placebo,HAMD17,66.0,23.72,64.0,-10.56,7.76,,True
Feighner1999 (Study 91206 FDA),1999,citalopram 20mg,HAMD21,130.0,24.24,128.0,-9.94,7.513893379557667,,True
Feighner1999 (Study 91206 FDA),1999,citalopram 40mg,HAMD21,131.0,24.44,120.0,-12.22,7.437770216302136,,True
Feighner1999 (Study 91206 FDA),1999,citalopram 60mg,HAMD21,129.0,24.52,110.0,-12.05,7.431923943767564,,True
Feighner1999 (Study 91206 FDA),1999,placebo,HAMD21,129.0,24.62,124.0,-9.31,7.461195846542456,,True
Andersen1986,1986,citalopram,HAMD17,57.0,22.5,50.0,12.05,7.52,,False
Andersen1986,1986,clomipramine,HAMD17,57.0,22.0,52.0,9.21,7.52,,False
Shaw1986,1986,citalopram,HAMD17,24.0,25.67049808429119,24.0,10.6,8.2,,False
Shaw1986,1986,amitriptyline,HAMD17,20.0,26.4750957854406,20.0,11.1,6.2,,False
Timmerman1993 (Study 89422 - FDA and Haffmans 1996),1993,fluvoxamine,HAMD17,109.0,24.5,109.0,18.0,7.52,,False
Timmerman1993 (Study 89422 - FDA and Haffmans 1996),1993,citalopram,HAMD17,108.0,24.7,108.0,16.6,7.52,,False
Patris1996 (Study 91301 - FDA),1996,fluoxetine,MADRS,184.0,29.399999618530273,161.0,10.1,8.76,,False
Patris1996 (Study 91301 - FDA),1996,citalopram,MADRS,173.0,29.700000762939453,153.0,9.0,8.66,,False
Bougerol1997 (Study 91302 - FDA),1997,fluoxetine,MADRS,158.0,31.7999992370605,149.0,11.3,9.64000034332275,,False
Bougerol1997 (Study 91302 - FDA),1997,citalopram,MADRS,158.0,31.2000007629394,147.0,11.5,9.6899995803833,,False
Kyle1998 (Study 92032 - FDA),1998,citalopram,MADRS,179.0,27.8,179.0,12.7,9.96,,False
Kyle1998 (Study 92032 - FDA),1998,amitriptyline,MADRS,186.0,29.4,186.0,14.3,9.96,,False
Stahl2000,2000,citalopram,HAMD21,107.0,26.5,103.0,-13.4,6.1,,True
Stahl2000,2000,sertraline,HAMD21,108.0,26.6,106.0,-11.7,6.1,,True
Stahl2000,2000,placebo,HAMD21,108.0,26.4,107.0,-10.2,6.1,,True
Berlanga2006,2006,reboxetine,HAMD21,46.0,26.99,42.0,-14.29,4.82,,True
Berlanga2006,2006,citalopram,HAMD21,55.0,27.15,44.0,-15.38,4.22,,True
Hsu2011,2011,citalopram,MADRS,25.0,36.6,21.0,10.8,10.0,,False
Hsu2011,2011,sertraline,MADRS,26.0,38.2,21.0,16.7,11.3,,False
"Liebowitz2008 (Study 332, NCT00277823)",2008,desvenlafaxine 50mg,HAMD17,151.0,23.37,150.0,-11.5,7.1,,True
"Liebowitz2008 (Study 332, NCT00277823)",2008,desvenlafaxine 100mg,HAMD17,148.0,23.35,147.0,-10.9,7.15,,True
