study,scale,is_change,drug,year,n_drug,m_drug,sd_drug,n_pbo,m_pbo,sd_pbo,base_drug,base_pbo,lnvr,lnvr_v,lnmr,g,g_v
003-008 (FDA),HAMD21,True,mirtazapine 15mg,unpublished,30.0,-7.6,7.7,28.0,-9.6,7.7,26.0,25.8,-0.0012771392081736901,0.035759897828863345,-0.2336148511815052,0.25624599615631005,0.0677729319058882
003-008 (FDA),HAMD21,True,mirtazapine 30mg,unpublished,28.0,-7.3,7.7,28.0,-9.6,7.7,25.5,25.8,0.0,0.037037037037037035,-0.27388875031944515,0.294533373603141,0.0702301033622723
003-042,HAMD21,False,mirtazapine 15mg,unpublished,69.0,15.6,9.7,66.0,17.8,9.0,25.3,25.9,0.0745619416572806,0.015045248868778281,-0.1319275430425482,-0.23360413760060567,0.029513093670826156
003-042,HAMD21,False,mirtazapine 30mg,unpublished,69.0,14.6,8.2,66.0,17.8,9.0,24.7,25.9,-0.09342978958184919,0.015045248868778281,-0.19817692858374883,-0.36997876709049343,0.029819055804366005
003-042,HAMD21,False,mirtazapine 45mg,unpublished,69.0,15.5,8.7,66.0,17.8,9.0,25.0,25.9,-0.03424091819151856,0.015045248868778281,-0.1383584333728385,-0.25848041761479523,0.02955859481706238
003-048,HAMD17,False,fluoxetine,unpublished,179.0,12.3,7.08,59.0,13.2,7.73,22.8,23.0,-0.09364665578482968,0.011429678419217357,-0.07061756721395329,-0.12382579903959758,0.022424863688715064
03A0A-004A (FDA),HAMD17,True,nefazodone 150-300mg,unpublished,77.0,-8.3,7.96,77.0,-8.9,7.96,23.2,23.5,0.0,0.013157894736842105,-0.06979576193554185,0.07500434627834389,0.02573623849753962
03A0A-004A (FDA),HAMD17,True,nefazodone 300-600mg,unpublished,76.0,-9.5,7.96,77.0,-8.9,7.96,23.6,23.5,8.771929824561483e-05,0.01324561403508772,0.06524052186840094,-0.07500187504687612,0.025903848402758327
29060 07 001,HAMD21,True,paroxetine,unpublished,12.0,-13.08,10.219099764656375,11.0,-10.91,9.386048156705781,30.5,28.3,0.08048869264594259,0.09545454545454546,0.18140454618407323,-0.21274746165590136,0.16287538147075817
29060 07 001,HAMD21,True,amitriptyline,unpublished,13.0,-13.31,11.105097928429087,11.0,-10.91,9.386048156705781,30.4,28.3,0.15984659432858672,0.09166666666666667,0.19883583256204085,-0.2236906016981337,0.15751723732581105
845,HAMD21,False,bupropion,unpublished,42.0,16.1,9.72,40.0,18.0,10.12,24.6,26.8,-0.04095343625626496,0.025015634771732333,-0.11155248590574733,-0.18978810986580985,0.04811670085891304
AK1102365,HAMD17,False,bupropion,unpublished,160.0,15.4,8.32,155.0,15.8,8.04,19.4,19.8,0.03413107248353946,0.006391407334803562,-0.02564243061333767,-0.048762020909383405,0.01264454704366981
Amsterdam1986,HAMD21,False,amitriptyline,1986,55.0,12.1,8.59,54.0,17.7,8.59,24.5,23.4,-0.0001747030048916843,0.0186932215234102,-0.38035918697708804,-0.6473405981030171,0.03811721084100514
"Asnis2013 (LVM-MD-01, NCT00969709)",HAMD17,True,levomilnacipran 40mg,2013,176.0,-9.6,9.153884421380903,175.0,-8.4,8.86326689206638,24.7,24.6,0.03224647540236415,0.005730706075533661,0.13353139262452257,-0.1328965135766529,0.011372335371995035
"Asnis2013 (LVM-MD-01, NCT00969709)",HAMD17,True,levomilnacipran 80mg,2013,177.0,-10.5,9.179852939998549,175.0,-8.4,8.86326689206638,24.9,24.6,0.035063110403969006,0.0057144723092998955,0.22314355131420976,-0.23221752550959546,0.0113920234508935
"Asnis2013 (LVM-MD-01, NCT00969709)",HAMD17,True,levomilnacipran 120mg,2013,176.0,-10.8,9.419214404609335,175.0,-8.4,8.86326689206638,25.0,24.6,0.060819847846420125,0.005730706075533661,0.25131442828090617,-0.26183796880383686,0.011444941331026467
"Bakish2014 (LVM-MD-10, NCT01377194)",MADRS,True,levomilnacipran 40mg,2014,185.0,-14.6,10.745161701901,185.0,-11.3,10.473132291726293,30.8,31.0,0.025642430613337652,0.005434782608695652,0.2562188029959957,-0.3103924631004471,0.01089712809951664
"Bakish2014 (LVM-MD-10, NCT01377194)",MADRS,True,levomilnacipran 80mg,2014,187.0,-14.4,10.803087521630102,185.0,-11.3,10.473132291726293,31.2,31.0,0.030989607240131584,0.005405563347358579,0.24242548086366003,-0.29075473221776027,0.010823198499568656
Barber2011,HAMD17,False,sertraline,2011,55.0,13.7,9.0,50.0,14.0,10.7,19.0,19.3,-0.1739639865050348,0.019463340891912317,-0.02166149678117942,-0.030248629648457988,0.03763083072204054
Binnemann2008 (NCT00143091),HAMD17,True,sertraline,2008,30.0,-13.42,7.613,31.0,-10.18,7.572,23.3,23.55,0.005974791620677277,0.0339080459770115,0.27632112042115914,-0.42130695122965717,0.06539348590470058
Bjerkenstedt2005,HAMD21,False,fluoxetine,2005,54.0,14.9,8.4,55.0,15.5,6.7,23.8,25.2,0.22629888245723928,0.0186932215234102,-0.03947881097378746,-0.07849806751769833,0.03621484364250004
Bosc1997a (Study 014 - Andreoli2002),HAMD21,True,reboxetine,1997,126.0,-13.45,8.45,128.0,-8.64,8.45,26.8,27.4,6.29921259842521e-05,0.007937007874015748,0.44257652323188373,-0.5675349476739744,0.016290587578171062
Bosc1997a (Study 014 - Andreoli2002),HAMD21,True,fluoxetine,1997,127.0,-13.38,8.45,128.0,-8.64,8.45,26.9,27.4,3.124609423822006e-05,0.007905261842269716,0.4373584718841182,-0.5592822151598688,0.016208070661856224
"Boulenger2014 (13267A, NCT01140906)",MADRS,True,vortioxetine 15mg,2014,149.0,-17.23,9.643178936429624,158.0,-11.7,9.553051868382166,31.8,31.5,0.009583813642518601,0.006563091754174557,0.3870632087361279,-0.5748101413589489,0.013515403536248092
"Boulenger2014 (13267A, NCT01140906)",MADRS,True,vortioxetine 20mg,2014,151.0,-18.79,9.584800467406716,158.0,-11.7,9.553051868382166,31.2,31.5,0.0034665082547764544,0.006518046709129512,0.47373597162166353,-0.7391553373250391,0.013773850705396492
