study;year;scale;weeks;baseline;k_ad_arms;drugs;cls;all_n;all_sd;all_m;pooled_sd;pooled_m;placebo_n;placebo_sd;placebo_m
CL3-20098-026;2001.0;HAMD17;6.0;23.4;1;agomelatine;atypical;105.0;8.1;10.6;8.1;10.6;105.0;7.3;9.6
CL3-20098-070;2011.0;HAMD17;8.0;26.8;1;agomelatine;atypical;148.0;8.3;13.4;8.3;13.4;70.0;7.8;10.7
Carman1991;1991.0;HAMD17;6.0;27.6;1;amitriptyline;tricyclic;48.0;7.76;13.5;7.76;13.5;48.0;7.76;7.5
Katz1993a;1993.0;HAMD17;4.0;24.3;1;amitriptyline;tricyclic;95.0;7.76;12.9;7.76;12.9;94.0;7.76;8.7
Katz1993b;1993.0;HAMD17;4.0;23.6;1;amitriptyline;tricyclic;93.0;7.76;13.7;7.76;13.7;104.0;7.76;8.0
Reimherr1998 (WELL203, FDA203);1998.0;HAMD17;8.0;23.41;1;bupropion;atypical;113.0;8.07;10.18;8.07;10.18;117.0;8.14;8.06
Settle1999 (WELL212);1999.0;HAMD21;8.0;24.4;1;bupropion;atypical;144.0;8.19;11.11;8.19;11.11;148.0;8.01;9.78
Coleman1999 (AK1A4002);1999.0;HAMD31;8.0;34.8;2;bupropion|sertraline;SSRI|atypical;227.0;14.91;20.25;14.910881766769215;20.279735682819382;117.0;15.14;17.2
Croft1999 (AK1A4001);1999.0;HAMD29;8.0;33.1;2;bupropion|sertraline;SSRI|atypical;232.0;12.92;18.1;12.898235054939398;18.099999999999998;116.0;12.92;13.9
Coleman2001 (AK1A4007);2001.0;HAMD21;8.0;24.5;2;bupropion|fluoxetine;SSRI|atypical;282.0;9.5;12.75;9.490788962827185;12.75177304964539;145.0;9.63;11.4
Clayton2006b (WELL AK130927);2006.0;HAMD17;8.0;23.8;2;bupropion|escitalopram;SSRI|atypical;267.0;7.505000000000001;13.7;7.526643068357912;13.69812734082397;130.0;7.98;12.1
Clayton2006a (WELL AK130926);2006.0;HAMD17;8.0;;2;bupropion|escitalopram;SSRI|atypical;262.0;8.01;13.0;7.9964135134338505;12.998473282442747;126.0;7.86;11.9
Jefferson2006;2006.0;IDS-IVR-30;8.0;45.9;1;bupropion;atypical;133.0;16.15;21.3;16.15;21.3;137.0;16.39;17.6
Hewett2009 (WXL101497);2009.0;MADRS;8.0;30.4;2;bupropion|venlafaxine;SNRI|atypical;372.0;9.14;16.55;9.144340324255221;16.547043010752688;197.0;9.12;13.5
Hewett2010a (AK130940) (NCT00093288);2010.0;MADRS;10.0;29.5;1;bupropion;atypical;210.0;9.56430865248503;13.9;9.56430865248503;13.9;204.0;9.712342662818278;12.4
Hewett2010b (AK130939);2010.0;MADRS;8.0;30.1;1;venlafaxine;SNRI;193.0;10.56;17.0;10.56;17.0;186.0;10.64;13.2
Study 205 (FDA) (WELL 205);;HAMD17;8.0;23.2;3;bupropion|bupropion|bupropion;atypical;336.0;7.882163983742754;9.3;7.877556972329091;9.30267857142857;116.0;7.882163983742754;8.3
WELL AK1A4006;;HAMD21;8.0;25.3;2;bupropion|fluoxetine;SSRI|atypical;297.0;10.35;12.95;10.380440942566779;12.934006734006735;148.0;9.73;12.2
Koshino2013 (NCT01138007);2013.0;MADRS;8.0;32.1;1;bupropion;atypical;188.0;10.420594992609587;12.9;10.420594992609587;12.900000000000002;186.0;10.501399906679108;13.9
Study 89306 (FDA);;MADRS;6.0;32.7;2;citalopram|citalopram;SSRI;185.0;13.218490757016884;16.990000000000002;13.235423476159534;16.943783783783783;88.0;13.218490757016884;15.95
Montgomery1992 (Study 89303 FDA);;HAMD17;6.0;24.29;2;citalopram|citalopram;SSRI;129.0;8.788041151061048;12.41;8.803448290701683;12.361162790697676;64.0;7.76;10.56
Feighner1999 (Study 91206 FDA);1999.0;HAMD21;6.0;24.24;3;citalopram|citalopram|citalopram;SSRI;358.0;7.461195846542456;11.403333333333334;7.517118707829236;11.352569832402235;124.0;7.461195846542456;9.31
Mendels1999 (Study 85A - FDA);1999.0;HAMD24;4.0;33.52;1;citalopram;SSRI;78.0;9.837218170405182;12.9;9.837218170405182;12.9;82.0;9.84;9.58
Stahl2000;2000.0;HAMD21;8.0;26.5;2;citalopram|sertraline;SSRI;209.0;6.1;12.55;6.144666772729314;12.537799043062199;107.0;6.1;10.2
Roose2004 (CIT-MD-03);2004.0;HAMD24;8.0;24.4;1;citalopram;SSRI;84.0;8.25;10.0;8.25;10.0;90.0;7.59;9.2
Liebowitz2008 (Study 332, NCT00277823);2008.0;HAMD17;8.0;23.37;2;desvenlafaxine|desvenlafaxine;SNRI;297.0;7.125;11.2;7.119088888126878;11.203030303030303;150.0;7.1;9.53
Boyer2008 (Study 333, NCT00300378)(EUCTR2005-005463-28, 3151A1-333-EU);2008.0;HAMD17;8.0;24.26;2;desvenlafaxine|desvenlafaxine;SNRI;322.0;7.548784827078341;13.405000000000001;7.541141682723579;13.400434782608697;161.0;7.613146524269712;10.78
Lieberman2008a (Study 309)(EUCTR2004-000562-13, 3151A1-309-EU, NCT00090649);2008.0;HAMD17;8.0;25.8;1;venlafaxine;SNRI;127.0;7.78;13.8;7.78;13.8;120.0;7.78;12.5
Lieberman2008b (Study 317);2008.0;HAMD17;8.0;25.1;1;venlafaxine;SNRI;115.0;8.15;12.6;8.15;12.6;125.0;8.16;9.78
Tourian2009 (NCT00384033);2009.0;HAMD17;8.0;23.0;3;desvenlafaxine|desvenlafaxine|duloxetine;SNRI;455.0;7.760000000000001;10.200000000000001;7.748397625302335;10.203296703296703;160.0;7.76;8.7
Dunlop2011 (NCT00824291);2011.0;HAMD17;12.0;22.0;1;desvenlafaxine;SNRI;285.0;7.6;12.61;7.6;12.61;142.0;7.1;10.5
Clayton2013 (NCT01121484);2013.0;HAMD17;8.0;22.8;1;desvenlafaxine;SNRI;216.0;7.76;9.9;7.76;9.9;216.0;7.76;8.1
Clayton2015;2015.0;HAMD17;8.0;23.4;2;desvenlafaxine|desvenlafaxine;SNRI;592.0;6.700202755736478;11.475;6.6968988424761875;11.478293918918919;294.0;6.86285654811464;9.71
DeMartinis2007 (Study 306, NCT00072774);2007.0;HAMD17;8.0;23.2;1;desvenlafaxine;SNRI;114.0;7.04;10.5;7.04;10.5;118.0;6.84;7.7
Goldstein2002 (HMAQ - Study Group A);2002.0;HAMD17;8.0;18.47;2;duloxetine|fluoxetine;SNRI|SSRI;101.0;6.865;8.74;6.885379545467955;9.083069306930692;66.0;6.74;6.61
Study F1J-MC-HMAQ - Study Group B (starting page in the pdf document: 147);;HAMD17;8.0;17.88;2;duloxetine|fluoxetine;SNRI|SSRI;118.0;6.872588454921476;7.8149999999999995;6.79997927847905;7.8839830508474575;72.0;6.9579307268756265;7.1
Goldstein2004a (HMAT - Study Group A, ID#4091);2004.0;HAMD17;8.0;17.47;3;duloxetine|duloxetine|paroxetine;SNRI|SSRI;258.0;6.395645991124925;6.63;6.397745420213175;6.632209302325582;89.0;6.415107169798491;4.78
Goldstein2004b (HMAT  - Study Group B, ID#4091);2004.0;HAMD17;8.0;18.63;3;duloxetine|duloxetine|paroxetine;SNRI|SSRI;254.0;7.453058744336147;7.416666666666667;7.488826739929315;7.426062992125983;88.0;7.598473530913957;4.99
Detke2002a (HMBH -  Study Group A);2002.0;HAMD17;8.0;21.5;1;duloxetine;SNRI;121.0;7.699999999999999;10.91;7.699999999999999;10.910000000000002;115.0;7.3994256533868885;6.05
Detke2002b (HMBH - Study Group B);2002.0;HAMD17;8.0;20.28;1;duloxetine;SNRI;123.0;7.874280919550686;10.46;7.874280919550686;10.46;136.0;7.813475539092703;8.29
Detke2004 (HMAY Study Group A);2004.0;HAMD17;8.0;19.88;3;duloxetine|duloxetine|paroxetine;SNRI|SSRI;271.0;5.508496180635899;10.703333333333333;5.499159954484143;10.69959409594096;93.0;5.496880933765984;8.07
Raskin2007 (HMBV) (NCT00062673);2007.0;HAMD17;8.0;18.76;1;duloxetine;SNRI;201.0;6.805174501803756;6.49;6.805174501803756;6.49;102.0;6.362688111168109;3.72
Nierenberg2007 (F1J-MC-HMCR, NCT00073411, Pigott2007);2007.0;HAMD17;8.0;17.8;2;duloxetine|escitalopram;SNRI|SSRI;547.0;6.78;7.415;6.77819170530958;7.414643510054845;137.0;6.79;5.97
