id,idnoyear,year,tx,ct,d,criterion_percent,sd0tx,sd0ct,mu1tx,mu1ct,sd1tx,sd1ct,ntx,nct,duration,responder,statstest,diagnosis,reference,doi,path
Barbato2007,Barbato,2007,Olanzapine,PBO,,,,,-22,-10.7,18.2,19.4,148,145,6,,,Schizophrenia in acute exacerbation (DSM-IV),"Barbato L, Newcomer J, Heisterberg J, Yeung P, Shapira N.  Efficacy  and  metabolic profile of bifeprunox in patients with schizophrenia. 11th International Congress  on  Schizophrenia Research; 2007 Mar 28-Apr 1, Colorado Springs, Colorado, USA  2007.",,
Barbato2007,Barbato,2007,Haloperidol,PBO,,,,,-18.9,-14.7,20.9,17.1,50,51,6,,,Schizophrenia in acute exacerbation (DSM-IV),"Barbato L, Newcomer J, Heisterberg J, Yeung P, Shapira N.  Efficacy  and  metabolic profile of bifeprunox in patients with schizophrenia. 11th International Congress  on  Schizophrenia Research; 2007 Mar 28-Apr 1, Colorado Springs, Colorado, USA  2007.",,
Beasley1996,Beasley,1996,Olanzapine,PBO,,,15.9,13.6,-12.3,2.8,21.8,20.6,49,49,6,0,ANCOVA,Schizophrenia with an acute exacerbation (DSM-III-R),"Beasley CM, Sanger T, Satterlee W. Olanzapine versus placebo: results of a double-blind fixed dose olanzapine trial. Psychopharmacology 1996; 124:  159-67.",10.1007/bf02245617,/home/stephanie/Desktop/response/lib/Beasley1996.pdf
Bugarski2014,Bugarski,2014,Olanzapine,PBO,0.44,30,9.5,8.7,-14.9,-11.9,16.77,16.89,61,79,4,1,ANCOVA,Acute episode of schizoaffective disorder (DSM-IV),"Bugarski-Kirola D, Wang A, Abi-Saab D, Blattler T. A phase II/III trial of bitopertin monotherapy compared with placebo in patients with an acute exacerbation of schizophrenia - results from the CandleLyte study. European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology 2014; 24(7):  1024-36.",10.1016/j.euroneuro.2014.03.007,/home/stephanie/Desktop/response/lib/Bugarski-Kirola2014.pdf
Canuso2010,Canuso,2010,Paliperidone,PBO,0.49,30,12.8,12.5,-28.9,-21.7,20.8,21.4,203,107,6,1,ANCOVA,Acute episode of schizoaffective disorder (DSM-IV),"Canuso CM, Lindenmayer JP, Kosik-Gonzalez C, et al. A randomized, double-blind, placebo-controlled study of 2 dose ranges of paliperidone extended-release in the treatment of subjects with schizoaffective disorder. JClinPsychiatry 2010; 71(5):  587-98.",10.4088/jcp.09m05564yel,/home/stephanie/Desktop/response/lib/Canuso2009.pdf
Canuso2010a,Canuso,2010,Paliperidone,PBO,0.49,30,13.07,12.54,-20,-10.8,18.9,18.7,211,93,6,1,ANCOVA,Acute episode of schizoaffective disorder (DSM-IV),"Canuso CM, Schooler N, Carothers J, et al. Paliperidone extended-release in schizoaffective disorder: a randomized, controlled study comparing a flexible dose with placebo   in patients treated with and without antidepressants and/or mood stabilizers. J Clin Psychopharmacol 2010; 30(5): 487-95.",10.1097/jcp.0b013e3181eeb600,/home/stephanie/Desktop/response/lib/Canuso2010.pdf
Casey2008,Casey,2008,Risperidone,PBO,-0.63,20,11.6,12.3,-15.7,-5.3,14.9,16.3,116,114,6,1,ANCOVA,Acute exacerbation of schizophrenia (DSM-IV-TR),"Casey DE, Sands EE, Heisterberg J, Yang HM. Efficacy and safety of bifeprunox in patients with an acute exacerbation of schizophrenia: results from a randomized, double-blind, placebo-controlled, multicenter, dose-finding study. Psychopharmacology (Berl) 2008; 200(3): 317-31.",10.1007/s00213-008-1207-7,/home/stephanie/Desktop/response/lib/Casey2008.pdf
Chouinard1993,Chouinard,1993,Haloperidol,PBO,,20,23.5,19.7,-9.3,4.6,27.7,17.7,21,22,8,1,ANOVA,Chronic schizophrenia (DSM-III-R),"Chouinard G, Jones B, Remington G. Canadian placebo-controlled study of fixed doses of risperidone and haloperidol in the treatment of chronic schizophrenic patients. JClinPsychopharmacol 1993; 13: 25-40.",10.1097/00004714-199302000-00004,/home/stephanie/Desktop/response/lib/Chouinard1993.pdf
Chouinard1993,Chouinard,1993,Risperidone,PBO,,20,20.9,19.7,-25.7,4.6,29.6,17.7,22,22,8,1,ANOVA,Chronic schizophrenia (DSM-III-R),"Chouinard G, Jones B, Remington G. Canadian placebo-controlled study of fixed doses of risperidone and haloperidol in the treatment of chronic schizophrenic patients. JClinPsychopharmacol 1993; 13: 25-40.",10.1097/00004714-199302000-00004,/home/stephanie/Desktop/response/lib/Chouinard1993.pdf
Coppola2011,Coppola,2008,Paliperidone,PBO,,,,,-15,-11.7,26.02,22.84,70,63,6,,ANCOVA,Acute episode of schizoaffective disorder (DSMIV),"Coppola D, Melkote R, Lannie C, et al. Efficacy and safety of paliperidone  extended release 1.5 mg/day - a double-blind, placebo- and active-controlled, study in the treatment of patients with schizophrenia. PsychopharmacolBull 2011; 44: 1-19.",,/home/stephanie/Desktop/response/lib/Coppola2011.pdf
Correll2016,Correll,2016,Aripiprazole,PBO,,30,10.7,9.9,-20.97,-17.28,21.32,20.13,50,93,6,1,ANCOVA,Schizophrenia (DSM-IV.TR),"Correll CU, Skuban A, Hobart M, et al. Efficacy of brexpiprazole in patients with acute schizophrenia: Review of three randomized, double-blind, placebo-controlled studies. Schizophrenia research 2016; 174(1-3): 82-92.",10.1016/j.schres.2016.04.012,/home/stephanie/Desktop/response/lib/Correll2016.pdf
Correll2016,Correll,2016,Brexpiprazole,PBO,,30,10.5,9.9,-19,-17.28,18.55,20.13,90,93,6,1,MMRM,Schizophrenia (DSM-IV.TR),"Correll CU, Skuban A, Hobart M, et al. Efficacy of brexpiprazole in patients with acute schizophrenia: Review of three randomized, double-blind, placebo-controlled studies. Schizophrenia research 2016; 174(1-3): 82-92.",10.1016/j.schres.2016.04.012,/home/stephanie/Desktop/response/lib/Correll2016.pdf
Daniel1999,Daniel,1999,Ziprasidone,PBO,,30,,22.3,-17,-6,19.28,23.85,51,91,6,1,ANCOVA,Acute exacerbation of (sub-) chronic schizophrenia or schizoaffective disorder (DSM-III-R),"Daniel DG, Zimbroff DL, Potkin SG, Reeves KR, Harrigan EP, Lakshminarayanan M. Ziprasidone 80 mg/day and 160 mg/day in the acute exacerbation of schizophrenia and schizoaffective disorder: A 6-week placebo-controlled trial. Neuropsychopharmacology 1999; 20(5): 491-505.",10.1016/s0893-133x(98)00090-6,/home/stephanie/Desktop/response/lib/Daniel1999.pdf
Davidson2007,Davidson,2007,Olanzapine,PBO,,30,12.2,12.7,-18.1,-2.8,20.25,20.89,126,120,6,1,ANCOVA,Acute episode of schizophrenia (DSM-IV),"Davidson M, Emsley R, Kramer M, et al. Efficacy, safety and early response of paliperidone extended-release tablets (paliperidone ER): results of a 6-week, randomized, placebo-controlled study. SchizophrRes 2007; 93(1-3): 117-30.",10.1016/j.schres.2007.03.003,/home/stephanie/Desktop/response/lib/Davidson2007.pdf
Davidson2007,Davidson,2007,Paliperidone,PBO,,30,13.2,12.7,-16.3,-2.8,21.81,20.89,123,120,6,1,ANCOVA,Acute episode of schizophrenia (DSM-IV),"Davidson M, Emsley R, Kramer M, et al. Efficacy, safety and early response of paliperidone extended-release tablets (paliperidone ER): results of a 6-week, randomized, placebo-controlled study. SchizophrRes 2007; 93(1-3): 117-30.",10.1016/j.schres.2007.03.003,/home/stephanie/Desktop/response/lib/Davidson2007.pdf
Durgam2014,Durgam,2014,Risperidone,PBO,,30,9.4,9.73,-29.3,-13.3,19.97,21.89,138,148,6,1,MMRM,"Schizophrenia (DSM-IV-TR), all subtypes","Durgam S, Starace A, Li D, et al. An evaluation of the safety and efficacy of cariprazine    in patients with acute exacerbation of schizophrenia: a phase II, randomized clinical trial.  Schizophr Res 2014; 152(2-3): 450-7.",10.1016/j.schres.2013.11.041,/home/stephanie/Desktop/response/lib/Durgam2014.pdf
Durgam2015,Durgam,2015,Aripiprazole,PBO,,30,9,9.1,-21.2,-14.3,17.15,18.3,150,149,6,1,MMRM,"Schizophrenia (DSM-IV-TR), acute exacerbation","Durgam S, Cutler AJ, Lu K, et al. Cariprazine in acute exacerbation of schizophrenia: a fixed-dose, phase 3, randomized, double-blind, placebo- and active-controlled trial. The Journal    of clinical psychiatry 2015; 76(12): e1574-82.",10.4088/JCP.15m09997,/home/stephanie/Desktop/response/lib/Durgam2015.pdf
Durgam2016,Durgam,2016,Carphenazine,PBO,,20,10.66,10.5,-14.53,-9.74,18.11,18.07,122,126,6,1,MMRM,Schizophrenia (DSM-IV-TR),"Durgam S, Litman RE, Papadakis K, Li D, Nemeth G, Laszlovszky I. Cariprazine in the treatment of schizophrenia: a proof-of-concept trial. International clinical psychopharmacology 2016; 31(2): 61-8.",10.1097/yic.0000000000000110,/home/stephanie/Desktop/response/lib/Durgam2016.pdf
Egan2013,Egan,2013,Olanzapine,PBO,-0.16,20,11.2,12.9,-17,-12.7,20.19,20.27,45,78,4,1,constrained longitudinal data analysis,Schizophrenia (DSM-IV-TR),"Egan MF, Zhao X, Smith A, et al. Randomized controlled study of the T-type calcium channel antagonist MK-8998 for the treatment of acute psychosis in patients with schizophrenia. Hum Psychopharmacol 2013; 28(2): 124-33.",10.1002/hup.2289,/home/stephanie/Desktop/response/lib/Egan2016.pdf
Garcia2009,Garcia,2009,Blonanserin,PBO,,20,,,-26.02,-12.58,23.7,23.2,179,61,6,1,ANCOVA,Schizophrenia (acute exacerbation) (DSM-IV-TR),"Garcia E, Robert M, Peris F, Nakamura H, Sato N, Terazawa Y. The efficacy and safety    of blonanserin compared with haloperidol in acute-phase schizophrenia: a randomized, double- blind, placebo-controlled, multicentre study. CNSDrugs 2009; 23(7):  615-25.",10.2165/00023210-200923070-00006,/home/stephanie/Desktop/response/lib/Garcia2009.pdf
Garcia2009,Garcia,2009,Haloperidol,PBO,,20,,,-28.16,-12.58,23.23,23.2,58,61,6,1,ANCOVA,Schizophrenia (acute exacerbation) (DSM-IV-TR),"Garcia E, Robert M, Peris F, Nakamura H, Sato N, Terazawa Y. The efficacy and safety    of blonanserin compared with haloperidol in acute-phase schizophrenia: a randomized, double- blind, placebo-controlled, multicentre study. CNSDrugs 2009; 23(7):  615-25.",10.2165/00023210-200923070-00006,/home/stephanie/Desktop/response/lib/Garcia2009.pdf
Hera021,Hera021,2009,Amisulpride,PBO,,,,,-16.7,-13.2,19.1,20.1,208,106,6,,,Schizophrenia (DSM-IV),"041-021 SH. A multicenter, randomized, double-blind, fixed-dose, 6-week trial of the efficacy and safety of asenapine compared with placebo using olanzapine postive control  in subjects with an acute exacerbation of schizophrenia. Center for drug evaluation and researchApplication number 22-117Medical review(s)http://wwwfgagov  2009.",,
Hera021,Hera021,2009,Olanzapine,PBO,,,,,-19.9,-13.2,19.3,20.1,103,106,6,,,Schizophrenia (DSM-IV),"041-021 SH. A multicenter, randomized, double-blind, fixed-dose, 6-week trial of the efficacy and safety of asenapine compared with placebo using olanzapine postive control  in subjects with an acute exacerbation of schizophrenia. Center for drug evaluation and researchApplication number 22-117Medical review(s)http://wwwfgagov  2009.",,
Hera022,Hera022,2009,Amisulpride,PBO,,,,,-11.6,-15.6,19.45,19.15,85,89,6,,,Schizophrenia with acute exacerbation (DSM-IV),"041-022 SH. A multicenter, randomized, double-blind, flexible-dose, 6-week trial of the efficacy and safety of asenapine compared with placebo using olanzapine postive control  in subjects with an acute exacerbation of schizophrenia. Center for drug evaluation and researchApplication number 22-117Medical review(s)http://wwwfgagov  2009.",,
Hera022,Hera022,2009,Olanzapine,PBO,,,,,-15.9,-15.6,19.55,19.15,85,89,6,,,Schizophrenia with acute exacerbation (DSM-IV),"041-022 SH. A multicenter, randomized, double-blind, flexible-dose, 6-week trial of the efficacy and safety of asenapine compared with placebo using olanzapine postive control  in subjects with an acute exacerbation of schizophrenia. Center for drug evaluation and researchApplication number 22-117Medical review(s)http://wwwfgagov  2009.",,
Hirayasu2010,Hirayasu,2010,Olanzapine,PBO,,,,,-9.9,3.8,16.83,18.88,46,138,6,,,Schizophrenia (DSM-IV),"Hirayasu Y, Tomioka M, Iizumi M, Kikuchi H. A double-blind, placebo-controlled, comparative study of paliperidone extended release (ER) tablets in patients with schizophrenia. JpnJClinPsychopharmacol 2010; 13: 2077-103.",,
Hirayasu2010,Hirayasu,2010,Paliperidone,PBO,,,,,-9.1,3.8,18.39,18.88,134,138,6,,,Schizophrenia (DSM-IV),"Hirayasu Y, Tomioka M, Iizumi M, Kikuchi H. A double-blind, placebo-controlled, comparative study of paliperidone extended release (ER) tablets in patients with schizophrenia. JpnJClinPsychopharmacol 2010; 13: 2077-103.",,
Kane2002,Kane,2002,Aripiprazole,PBO,,30,25.7,16.47,-13.44,-2.9,24.84,24.28,199,102,4,1,ANCOVA,Schizophrenia or schizoaffective disorder with acute relapse (DSM-IV),"Kane JM, Carson WH, Saha AR, et al. Efficacy and safety of aripiprazole and haloperidol versus placebo in patients with schizophrenia and schizoaffective disorder. JClinPsychiatry 2002; 63(9): 763-71.",10.4088/jcp.v63n0903,/home/stephanie/Desktop/response/lib/Kane2002.pdf
Kane2002,Kane,2002,Haloperidol,PBO,,30,17.34,16.47,-13.8,-2.9,23.13,24.28,99,102,4,1,ANCOVA,Schizophrenia or schizoaffective disorder with acute relapse (DSM-IV),"Kane JM, Carson WH, Saha AR, et al. Efficacy and safety of aripiprazole and haloperidol versus placebo in patients with schizophrenia and schizoaffective disorder. JClinPsychiatry 2002; 63(9): 763-71.",10.4088/jcp.v63n0903,/home/stephanie/Desktop/response/lib/Kane2002.pdf
Kane2007,Kane,2007,Olanzapine,PBO,,30,10.7,10.7,-19.9,-4.1,19,23.16,128,126,6,1,ANCOVA,Acute episode of schizophrenia (DSM-IV),"Kane J, Canas F, Kramer M, et al. Treatment of schizophrenia with paliperidone extended-release tablets: a 6-week placebo-controlled trial. SchizophrRes 2007; 90(1-3):  147-61.",10.1016/j.schres.2006.09.012,/home/stephanie/Desktop/response/lib/Kane2007.pdf
Kane2007,Kane,2007,Paliperidone,PBO,,30,11.03,10.7,-19.5,-4.1,21.05,23.16,374,126,6,1,ANCOVA,Acute episode of schizophrenia (DSM-IV),"Kane J, Canas F, Kramer M, et al. Treatment of schizophrenia with paliperidone extended-release tablets: a 6-week placebo-controlled trial. SchizophrRes 2007; 90(1-3):  147-61.",10.1016/j.schres.2006.09.012,/home/stephanie/Desktop/response/lib/Kane2007.pdf
Kane2010,Kane,2010,Amisulpride,PBO,,20,,,-20.4,-14.6,17.5,17.8,214,122,6,1,MMRM,Schizophrenia and acute exacerbation (DSM-IV-TR),"Kane JM, Cohen M, Zhao J, Alphs L, Panagides J. Efficacy and safety of asenapine in a placebo- and haloperidol-controlled trial in patients with acute exacerbation of schizophrenia. JClinPsychopharmacol 2010; 30(2): 106-15.",10.1097/jcp.0b013e3181d35d6b,/home/stephanie/Desktop/response/lib/Kane2010.pdf
Kane2015,Kane,2015,Carphenazine,PBO,,30,9.3,9,-22.8,-16,19.39,19.26,147,145,6,1,MMRM,Schizophrenia (DSM-IV-TR),"Kane JM, Zukin S, Wang Y, et al. Efficacy and Safety of Cariprazine in Acute Exacerbation of Schizophrenia: Results From an International, Phase III Clinical Trial. Journal of clinical psychopharmacology 2015; 35(4): 367-73.",10.1097/jcp.0000000000000346,/home/stephanie/Desktop/response/lib
